dominant_type_share,p90_long_over_bin_long,p90_mid_over_bin_mid,thin_item_share,max_face_area_load_over_floor,tight_bin_large_piece_interaction,spare_x_count,near_limit_long_share,vol_cv,height_pressure_share,long_wide_item_share,spare_x_volcv,two_dim_large_share,spare_x_p90long,cube_item_share,near_limit_mid_share,spare_x_avgvol,long_thin_item_share,three_dim_near_limit_share,vol_top3_concentration,spare_x_wlstd
0.125,0.5383333333333333,0.5333333333333333,0.75,1.8026666666666666,0.0,194312,0.0,0.31424960845033323,0.0,0.25,-7632.494490041693,0.125,13075.578333333333,0.125,0.25,62881184.875,0.125,0.0,0.490608855197721,802039.03006967
0.07142857142857142,0.5133333333333334,0.5333333333333333,0.5,2.8473333333333333,0.0044374814814814876,120554,0.0,0.3864513206783552,0.0,0.14285714285714285,-3327.345871040638,0.07142857142857142,4420.313333333334,0.2857142857142857,0.21428571428571427,22381834.216746,0.07142857142857142,0.0,0.32089367666052926,242899.81683504
0.1111111111111111,0.5333333333333333,0.5666666666666667,0.7777777777777778,2.1213333333333333,0.0,165393,0.0,0.5386631445981904,0.0,0.2222222222222222,-9898.473945136348,0.2222222222222222,9801.066666666666,0.1111111111111111,0.4444444444444444,54361207.886847004,0.0,0.0,0.5192502723209255,698282.13244707
0.1,0.5333333333333333,0.5366666666666667,0.6,2.1306666666666665,0.0,173390,0.0,0.5788734773748437,0.0,0.2,-10036.50835072504,0.2,9247.466666666667,0.3,0.3,47961407.9,0.0,0.0,0.4997650121109143,625661.01316222
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.678,0.0,137709,0.0,0.5030552309432307,0.0,0.2727272727272727,-6297.245380947362,0.2727272727272727,6676.8,0.18181818181818182,0.45454545454545453,36966330.820458,0.0,0.0,0.44770789076690987,442457.49068352
0.1,0.535,0.5366666666666667,0.3,2.188,0.0,125050,0.0,0.48771970779409296,0.0,0.3,-6098.447226257338,0.2,6690.175,0.3,0.2,40634997.5,0.0,0.0,0.45754731497153406,441265.38557999994
0.1,0.535,0.5066666666666666,0.3,2.0893333333333333,0.0,147930,0.0,0.37792015365852644,0.0,0.2,-5590.194912916923,0.1,7914.255,0.3,0.1,44685215.099999994,0.0,0.0,0.4164597609825537,425600.57734827
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.6363636363636364,2.550666666666667,0.0,138886,0.0,0.5512125222213332,0.0,0.2727272727272727,-6959.058093044332,0.2727272727272727,6733.866666666667,0.2727272727272727,0.45454545454545453,37159465.817034,0.0,0.0,0.44918761969481685,444891.12486
0.1111111111111111,0.5066666666666666,0.5399999999999999,0.6666666666666666,1.9486666666666668,0.0,175725,0.0,0.5707366747971601,0.0,0.1111111111111111,-11143.062838739754,0.1111111111111111,9892.666666666666,0.2222222222222222,0.3333333333333333,55266597.2309,0.0,0.0,0.5332286555446516,688319.19254725
0.125,0.5383333333333333,0.5,0.375,1.5373333333333334,0.0,192192,0.0,0.4702758202860995,0.0,0.25,-11297.436030732968,0.125,12932.92,0.25,0.0,62990928.0,0.0,0.0,0.5423340961098398,800235.7612048801
0.25,0.5433333333333333,0.5766666666666667,0.875,2.052,0.0,177424,0.0,0.3951617288588304,0.0,0.125,-8763.501660902282,0.125,12050.046666666667,0.0,0.625,63268289.5,0.125,0.0,0.5145035492069057,631594.86094952
0.1,0.5333333333333333,0.5700000000000001,0.5,2.4286666666666665,0.0,115940,0.0,0.5097573461464083,0.0,0.2,-5909.616913875312,0.2,6183.466666666666,0.1,0.4,38730916.4,0.0,0.0,0.48670897443573014,391264.39843436
0.07142857142857142,0.5233333333333333,0.5666666666666667,0.7142857142857143,2.9046666666666665,0.0,145866,0.0,0.42806883885929586,0.0,0.07142857142857142,-4459.621163236145,0.07142857142857142,5452.61,0.21428571428571427,0.35714285714285715,25735674.218751002,0.07142857142857142,0.0,0.3474162112142506,303957.73659752996
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.267333333333333,0.0,220121,0.0,0.40599835057472683,0.0,0.09090909090909091,-8124.026995000284,0.09090909090909091,10672.533333333333,0.2727272727272727,0.45454545454545453,45459534.460002996,0.09090909090909091,0.0,0.4060586658129577,533358.5025241299
0.1111111111111111,0.5366666666666667,0.5399999999999999,0.6666666666666666,2.1846666666666668,0.0,147600,0.0,0.4774193360084383,0.0,0.3333333333333333,-7829.19969120238,0.2222222222222222,8801.333333333334,0.1111111111111111,0.3333333333333333,52115555.559200004,0.0,0.0,0.47472027972027975,636383.374192
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.5555555555555556,1.766,0.0,203607,0.0,0.5000670690570458,0.0,0.1111111111111111,-11312.51723620849,0.1111111111111111,12216.419999999998,0.3333333333333333,0.3333333333333333,56248318.992459,0.0,0.0,0.5347901863520579,698164.97742534
0.16666666666666666,0.5333333333333333,0.5666666666666667,0.6666666666666666,2.7226666666666666,0.0,149136,0.0,0.4253365276996601,0.0,0.08333333333333333,-5285.657029723677,0.08333333333333333,6628.266666666666,0.16666666666666666,0.4166666666666667,33733734.662524,0.08333333333333333,0.0,0.4163698882475746,370280.75738888
0.1,0.5333333333333333,0.5666666666666667,0.7,2.4066666666666667,0.0,126340,0.0,0.44525189833658346,0.0,0.2,-5624.867231686059,0.2,6738.133333333333,0.2,0.4,40891204.4,0.0,0.0,0.440369523574121,376980.4971702
0.14285714285714285,0.5333333333333333,0.5566666666666668,0.7142857142857143,3.052,0.018844444444444455,103740,0.0,0.4146883152691208,0.0,0.07142857142857142,-3072.425727828916,0.07142857142857142,3952.0,0.14285714285714285,0.2857142857142857,19895850.0,0.07142857142857142,0.0,0.3553072625698324,215018.2499829
0.16666666666666666,0.5333333333333333,0.55,0.6666666666666666,1.4613333333333334,0.0,144696,0.0,0.3755298650941218,0.0,0.16666666666666666,-9055.902696744746,0.16666666666666666,12861.866666666667,0.0,0.16666666666666666,83939757.341372,0.0,0.0,0.6395326565791993,272048.30286968
0.14285714285714285,0.5333333333333333,0.5466666666666666,0.8571428571428571,1.8406666666666667,0.0,147469,0.0,0.4763281467021612,0.0,0.2857142857142857,-10034.328738427728,0.2857142857142857,11235.733333333334,0.0,0.42857142857142855,72028073.0,0.0,0.0,0.5889775623615928,688746.61148499
0.125,0.43833333333333335,0.52,0.25,1.3013333333333332,0.0,206016,0.0,0.5112201590456382,0.0,0.0,-13164.43031558423,0.0,11287.960000000001,0.5,0.125,61959312.0,0.0,0.0,0.577930174563591,499361.26279608
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.5555555555555556,1.8646666666666667,0.0,183015,0.0,0.6531269396135164,0.0,0.2222222222222222,-13280.683190101243,0.2222222222222222,10980.899999999998,0.3333333333333333,0.4444444444444444,55729197.231259994,0.0,0.0,0.5779444557064667,796031.1875502
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.8888888888888888,2.1353333333333335,0.0,186057,0.0,0.4218080427773446,0.0,0.2222222222222222,-8719.615860293268,0.2222222222222222,11163.419999999998,0.1111111111111111,0.4444444444444444,55879119.0,0.1111111111111111,0.0,0.47215028569079626,503511.34488552
0.15384615384615385,0.5333333333333333,0.5666666666666667,0.6153846153846154,2.768,0.003365925925925935,113308,0.0,0.5711088207651702,0.0,0.07692307692307693,-4977.213372968458,0.07692307692307693,4648.533333333333,0.23076923076923078,0.46153846153846156,24327026.460868,0.0,0.0,0.423244405247492,318073.22603396
0.25,0.45666666666666667,0.5333333333333333,0.75,0.9866666666666667,0.0,134608,0.0,0.36607318635600017,0.0,0.0,-12318.728794065762,0.0,15367.746666666666,0.0,0.5,95470724.0,0.25,0.0,0.8167077899189285,996741.0509898801
1.0,0.43333333333333335,0.4666666666666667,0.0,0.24266666666666667,0.0,40632,0.0,0.0,0.0,0.0,0.0,0.0,17607.2,0.0,0.0,177480576.0,0.0,0.0,1.0,0.0
0.1111111111111111,0.5533333333333333,0.5666666666666667,0.5555555555555556,2.01,0.0,169110,0.0,0.3357393206873583,0.0,0.3333333333333333,-6308.206096394775,0.2222222222222222,10397.133333333333,0.3333333333333333,0.2222222222222222,54720655.55138,0.0,0.0,0.4299122472338802,504319.7694706
0.1111111111111111,0.43666666666666665,0.5133333333333333,0.2222222222222222,1.544,0.0,192456,0.0,0.5043598736427509,0.0,0.0,-10784.727178102943,0.0,9337.68,0.4444444444444444,0.1111111111111111,56111616.0,0.0,0.0,0.5326897018970189,511647.09505272005
0.08333333333333333,0.5283333333333334,0.5633333333333332,0.5,2.6313333333333335,0.0,131376,0.0,0.34203859147576016,0.0,0.16666666666666666,-3744.2964608851466,0.08333333333333333,5784.1933333333345,0.25,0.25,31066774.670316,0.0,0.0,0.34291671561141784,312795.63950543996
0.07692307692307693,0.5266666666666667,0.5666666666666667,0.6923076923076923,2.6586666666666665,0.0,142272,0.0,0.5654654419841759,0.0,0.07692307692307693,-6187.888331632837,0.07692307692307693,5763.840000000001,0.23076923076923078,0.38461538461538464,28669912.618752003,0.0,0.0,0.40547921071176884,396627.10196544003
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.8181818181818182,2.6046666666666667,0.0,152768,0.0,0.42325397109524693,0.0,0.18181818181818182,-5877.727896599694,0.18181818181818182,7406.933333333333,0.09090909090909091,0.36363636363636365,39280314.176768,0.09090909090909091,0.0,0.41893803034199023,343127.84424576
0.5,0.5233333333333333,0.5266666666666667,0.0,0.584,0.0,67952,0.0,0.2935160223793216,0.0,0.5,-9972.206860337452,0.5,17780.773333333334,0.0,0.5,187275712.0,0.0,0.0,1.0,736146.66677992
0.1111111111111111,0.5399999999999999,0.5733333333333334,0.8888888888888888,2.348,0.0,157122,0.0,0.37595624172967385,0.0,0.2222222222222222,-6563.068111874916,0.2222222222222222,9427.319999999998,0.0,0.4444444444444444,53425359.551676,0.1111111111111111,0.0,0.47324086849175806,421288.07231924
0.07692307692307693,0.5166666666666667,0.5533333333333333,0.38461538461538464,2.3946666666666667,0.0,147602,0.0,0.46471382134382605,0.0,0.15384615384615385,-5275.896013716457,0.07692307692307693,5866.233333333334,0.38461538461538464,0.15384615384615385,29385898.767484,0.0,0.0,0.3496700945134637,328818.64308972
0.1,0.5333333333333333,0.5666666666666667,0.7,2.0926666666666667,0.0,179800,0.0,0.6094282887287354,0.0,0.1,-10956.911203053935,0.1,9589.333333333334,0.2,0.5,48581960.0,0.0,0.0,0.50099925980755,693825.4107096
0.1111111111111111,0.4666666666666667,0.5133333333333333,0.3333333333333333,1.6213333333333333,0.0,197208,0.0,0.4856671660588285,0.0,0.1111111111111111,-10641.45327551499,0.1111111111111111,10225.6,0.4444444444444444,0.1111111111111111,56211583.992696,0.0,0.0,0.522002772002772,438176.59258824
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.45454545454545453,2.0453333333333332,0.0,175428,0.0,0.6085729144007179,0.0,0.09090909090909091,-9704.91226594825,0.09090909090909091,8505.6,0.45454545454545453,0.36363636363636365,42120117.816732,0.0,0.0,0.48072421864243425,566966.27151
0.08333333333333333,0.5333333333333333,0.53,0.3333333333333333,2.4446666666666665,0.0007703703703703694,107220,0.0,0.5238019868341331,0.0,0.25,-4679.6469503761455,0.16666666666666666,4765.333333333333,0.3333333333333333,0.16666666666666666,26853397.919645,0.0,0.0,0.4122556495216969,316629.75198795
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.5454545454545454,2.6746666666666665,0.0,121759,0.0,0.4280352705428638,0.0,0.18181818181818182,-4737.494374368416,0.18181818181818182,5903.466666666666,0.09090909090909091,0.36363636363636365,34143839.913116,0.09090909090909091,0.0,0.411747369661961,302303.13384586
0.1111111111111111,0.5333333333333333,0.5666666666666667,0.6666666666666666,2.078666666666667,0.0,154638,0.0,0.5492426609566708,0.0,0.1111111111111111,-9436.538157896563,0.1111111111111111,9163.733333333334,0.1111111111111111,0.5555555555555556,53107652.890797995,0.0,0.0,0.524013228844633,691583.56986994
0.08333333333333333,0.5333333333333333,0.5333333333333333,0.75,3.0073333333333334,0.024000000000000007,83700,0.0,0.3232263327731436,0.0,0.25,-2254.1804447599034,0.16666666666666666,3720.0,0.0,0.25,22102031.25,0.08333333333333333,0.0,0.35124260355029585,198535.85281125
0.09090909090909091,0.45,0.5666666666666667,0.45454545454545453,2.086,0.0,192929,0.0,0.42845344248037,0.0,0.0,-7514.216474220729,0.0,7892.55,0.36363636363636365,0.2727272727272727,43785316.264755,0.0,0.0,0.4202323294854521,404170.98940518
0.08333333333333333,0.4783333333333334,0.5666666666666667,0.5,2.4113333333333333,0.0,144948,0.0,0.5590186616962615,0.0,0.08333333333333333,-6751.827395967446,0.08333333333333333,5777.788333333334,0.4166666666666667,0.4166666666666667,33137729.920693,0.0,0.0,0.42422769660702897,409131.33558484
0.18181818181818182,0.5333333333333333,0.5666666666666667,0.9090909090909091,2.7666666666666666,0.0,144254,0.0,0.37656820049641937,0.0,0.18181818181818182,-4937.9388131095475,0.18181818181818182,6994.133333333333,0.0,0.45454545454545453,38013909.458122,0.09090909090909091,0.0,0.40876873863137425,351173.3558791
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.3673333333333333,0.0,166991,0.0,0.5424511240252592,0.0,0.09090909090909091,-8234.408062703435,0.09090909090909091,8096.533333333333,0.18181818181818182,0.36363636363636365,41152930.820942,0.0,0.0,0.4555484758040176,547452.3692415401
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.6363636363636364,2.2293333333333334,0.0,185185,0.0,0.5818821928922946,0.0,0.09090909090909091,-9795.404835148887,0.09090909090909091,8978.666666666666,0.2727272727272727,0.36363636363636365,43105252.265075,0.0,0.0,0.44864193147523523,632544.8075219
0.07692307692307693,0.5466666666666666,0.56,0.6923076923076923,3.2546666666666666,0.05365837037037037,59579,0.0,0.35478821689692314,0.0,0.3076923076923077,-1625.639609821702,0.23076923076923078,2505.373333333333,0.07692307692307693,0.3076923076923077,14248547.0,0.07692307692307693,0.0,0.3355518717371403,137329.67602744
0.16666666666666666,0.55,0.5833333333333334,0.5,1.3886666666666667,0.0,153384,0.0,0.47329852900575264,0.0,0.16666666666666666,-12098.930296974055,0.16666666666666666,14060.2,0.16666666666666666,0.3333333333333333,82810317.324812,0.0,0.0,0.6977773204363038,657926.6627626
0.08333333333333333,0.5333333333333333,0.5666666666666667,0.6666666666666666,2.6493333333333333,0.0,145464,0.0,0.5637319240928951,0.0,0.16666666666666666,-6832.994651929981,0.16666666666666666,6465.066666666667,0.25,0.5,33212259.662626002,0.0,0.0,0.4335726017397652,445404.24357594
0.125,0.5383333333333333,0.52,0.5,1.6246666666666667,0.0,182688,0.0,0.33974359947065896,0.0,0.25,-7758.045093912498,0.125,12293.38,0.375,0.125,63267138.0,0.0,0.0,0.48177224327738677,649394.39334792
0.1,0.4883333333333333,0.5666666666666667,0.7,1.9226666666666667,0.0,228240,0.0,0.3823867676818295,0.0,0.0,-8727.213198802394,0.0,11145.72,0.3,0.4,50614502.4,0.0,0.0,0.4298791486291486,691766.05501296
0.125,0.5333333333333333,0.5666666666666667,0.75,1.836,0.0,172400,0.0,0.5939951511977003,0.0,0.125,-12800.001513159244,0.125,11493.333333333334,0.125,0.625,63168437.5,0.0,0.0,0.57727078891258,885629.34657
