volume_top3_share,multi_dim_near_limit_share,side_wall_area_load
0.0,0.0,0.0
0.490608855197721,0.125,0.8844444444444445
0.32089367666052926,0.07142857142857142,1.5055555555555555
0.5192502723209255,0.2222222222222222,1.0805555555555555
0.4997650121109143,0.2,1.1333333333333333
0.44770789076690987,0.2727272727272727,1.291111111111111
0.45754731497153406,0.2,1.2905555555555555
0.4164597609825537,0.1,1.2327777777777778
0.44918761969481685,0.2727272727272727,1.2616666666666667
0.5332286555446516,0.1111111111111111,1.0872222222222223
0.5423340961098398,0.125,0.9344444444444444
0.5145035492069057,0.125,0.905
0.48670897443573014,0.2,1.3022222222222222
0.3474162112142506,0.07142857142857142,1.4977777777777779
0.4060586658129577,0.09090909090909091,1.045
0.47472027972027975,0.2222222222222222,1.1677777777777778
0.5347901863520579,0.1111111111111111,0.9555555555555556
0.0,0.0,0.0
0.4163698882475746,0.08333333333333333,1.34
0.440369523574121,0.2,1.2761111111111112
0.3553072625698324,0.07142857142857142,1.6294444444444445
0.6395326565791993,0.16666666666666666,0.8961111111111111
0.5889775623615928,0.2857142857142857,0.9677777777777777
0.577930174563591,0.0,0.8044444444444444
0.5779444557064667,0.2222222222222222,1.0133333333333334
0.47215028569079626,0.2222222222222222,0.9961111111111111
0.423244405247492,0.07692307692307693,1.4972222222222222
0.8167077899189285,0.0,0.4361111111111111
0.0,0.0,0.0
1.0,0.0,0.17333333333333334
0.4299122472338802,0.2222222222222222,1.0622222222222222
0.5326897018970189,0.0,0.9777777777777777
0.34291671561141784,0.08333333333333333,1.3744444444444444
0.40547921071176884,0.07692307692307693,1.4755555555555555
0.41893803034199023,0.18181818181818182,1.301111111111111
1.0,0.5,0.40444444444444444
0.47324086849175806,0.2222222222222222,1.1177777777777778
0.3496700945134637,0.07692307692307693,1.4222222222222223
0.50099925980755,0.1,1.1177777777777778
0.522002772002772,0.1111111111111111,0.9466666666666667
0.0,0.0,0.0
0.48072421864243425,0.09090909090909091,1.1894444444444445
0.0,0.0,0.0
0.4122556495216969,0.16666666666666666,1.4738888888888888
