spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL
3886240.0,4.364583333097722,0.5499999999908334
1377760.0,7.580729168702621,0.5499999999908334
3185346.6660541,5.00240384689468,0.5333333333244444
3005426.6660887,5.5649038469996075,0.5333333333244444
2169959.9995827,6.353365385800532,0.5666666666572222
2167533.3329165,6.09615384921409,0.5499999999908334
2366880.0,6.333333331210417,0.5499999999908334
2188506.6662458,6.149038460762418,0.5666666666572222
3384333.3326824997,5.463942308519236,0.5333333333244444
3843840.0,4.721354166845492,0.5499999999908334
2661360.0,5.878472222451012,0.5666666666572222
2009626.6662802,6.103365387676974,0.5333333333244444
1354470.0,9.384615384543196,0.5666666666572222
2601430.0,6.6794871791793895,0.5666666666572222
2842666.6661199997,5.533653847378393,0.5499999999908334
2940990.0,6.163461538414127,0.5666666666572222
1615640.0,8.4839743614732,0.5666666666572222
2189893.3329122,6.038461541511021,0.5333333333244444
963300.0,10.246794869151948,0.5333333333244444
3135080.0,5.365384615343344,0.5333333333244444
3651613.3326311,4.536057693153842,0.5333333333244444
3186810.0,5.2289562286446145,0.4499999999925
3524733.3326554997,4.872596154562774,0.5666666666572222
2584125.0,6.073333333551413,0.5666666666572222
1510773.3330428,7.322115387904319,0.5333333333244444
4374760.0,2.5160256407498767,0.4666666666588889
5282160.0,0.9999999999923078,0.4333333333261111
3006400.0,5.380208333091375,0.5666666666572222
2779920.0,5.977564102261712,0.4499999999925
1751680.0,7.299479168704378,0.5499999999908334
1896959.9996352,7.2211538494239464,0.5333333333244444
1736000.0,7.96999999993624,0.5666666666572222
5889173.3322008,1.7500000001341347,0.5333333333244444
2182250.0,6.90999999994472,0.5666666666572222
1816640.0,7.190104168705062,0.5499999999908334
3116533.332734,5.163461539424723,0.5333333333244444
2711610.0,6.0909090908598715,0.5333333333244444
2764319.9994683997,5.802884614544,0.5333333333244444
1548733.3330355,6.860576926279762,0.5499999999908334
1438970.0,7.894230769170045,0.5666666666572222
2978213.3327606,5.149038462498956,0.5333333333244444
1116000.0,7.8958333312006515,0.5499999999908334
2331225.4172513,7.009404387154937,0.4833333333252778
2093693.3329307,6.463942310821159,0.5333333333244444
1639250.0,8.26999999993384,0.5666666666572222
2631373.3328273,6.444711537740649,0.5333333333244444
2918066.6661055,5.930288464567766,0.5333333333244444
733280.0,7.9583333312002615,0.5666666666572222
3323320.0,4.62179487150291,0.5666666666572222
2101146.6662626,6.514423080061345,0.5666666666572222
3653760.0,4.760416666845248,0.5499999999908334
3033690.0007608,6.445141064416678,0.5333333333244444
3735333.3326149997,4.3990384623590515,0.5333333333244444
1763580.0,7.90064102301615,0.5333333333244444
1131390.0,8.884615384547041,0.5333333333244444
2461440.0,6.2552083312109055,0.5499999999908334
2451360.0,6.187499999961329,0.5499999999908334
2453110.0006152,7.423197490496327,0.5333333333244444
2370720.0,6.583333331208855,0.5499999999908334
2648100.0,7.035256409945884,0.4499999999925
3229440.0,5.388020833091326,0.5499999999908334
2479533.3328565,5.865384618401812,0.5333333333244444
2299613.3328911,6.427884618506741,0.5333333333244444
2854106.6661178,5.533653847378393,0.5666666666572222
2281066.666228,6.632211537775625,0.5333333333244444
222500.0,11.026666663911787,0.5666666666572222
1546653.3330359,7.408653849458923,0.5333333333244444
1136980.0,8.951923076854216,0.5666666666572222
3536866.6659864997,5.165865385771325,0.5333333333244444
2958720.0,5.822916666838607,0.5499999999908334
2604940.0,6.291666666874679,0.5666666666572222
648234.5834959,9.61755485394205,0.5666666666572222
-627100.8334906,12.943573666876018,0.5666666666572222
3069733.332743,5.0144230780507675,0.5333333333244444
1909440.0,8.18589743839857,0.5666666666572222
3034026.6660832,4.971153847273466,0.5666666666572222
1276625.0,8.943333335928452,0.5666666666572222
1681160.0,7.996794869169256,0.5666666666572222
2443653.3328633998,5.778846156847208,0.5333333333244444
1611350.0,8.40384615378151,0.5333333333244444
2380820.0,5.9391025638004695,0.5666666666572222
1592586.6663604,7.079326922474414,0.5333333333244444
1237600.0,8.663461538394897,0.5666666666572222
2183653.3329133997,6.706730770481833,0.5333333333244444
1002040.0,9.701923076848448,0.5666666666572222
4226039.9991873,4.300480770225282,0.5333333333244444
2525466.666181,5.536057693148073,0.5333333333244444
1638729.5837443,7.818181818670162,0.5666666666572222
2105740.0,7.112179486868369,0.5666666666572222
3196480.0,5.341145833091619,0.5666666666572222
3468919.9993328997,5.050480770365186,0.5333333333244444
2835559.9994547,5.737980770108816,0.5666666666572222
3211266.6674720002,6.0658307194362875,0.4833333333252778
2609100.0,6.128205128414399,0.5666666666572222
4390400.001371999,0.9999999999906249,0.5333333333244444
2200900.0,6.823717948409049,0.5666666666572222
1180480.0,8.127604168699202,0.5499999999908334
1701700.0,7.644230769171968,0.5666666666572222
1304480.0,7.130208331205437,0.5666666666572222
3320546.6660281,5.579326923925375,0.5333333333244444
2523290.0006328,7.2476489006984135,0.5333333333244444
1501240.0,8.881410253777837,0.5666666666572222
2145000.0,7.147435897637328,0.5666666666572222
2080910.0,7.384615384558581,0.5333333333244444
1795680.0,7.161458331205242,0.5499999999908334
2045333.3329399999,6.6923076935560655,0.5333333333244444
1880160.0,7.015624999956152,0.5499999999908334
1847200.0,6.9687499999564455,0.5666666666572222
5574240.0,2.304687499985596,0.5499999999908334
6646293.3320552,0.9999999999942308,0.5333333333244444
3555413.3326495998,4.96153846246398,0.5333333333244444
1150890.0,8.679487176856313,0.5666666666572222
-11680.0,8.851562499944679,0.5666666666572222
3244020.0,4.958333333038783,0.4499999999925
1344640.0,7.486979168703207,0.5499999999908334
3814330.0,3.7179487176637083,0.5666666666572222
2495909.1672926,7.191222568424587,0.5666666666572222
4061271.66680318,0.999999999989916,0.5666666666572222
2418400.0,6.140624999961622,0.5666666666572222
2095860.0,7.939102561477393,0.5333333333244444
1923171.2504823,6.97178683230572,0.5666666666572222
2608500.0,6.393333333548853,0.5666666666572222
2936613.3327686,5.725961539529651,0.5333333333244444
4889605.4178929,2.1410658299171668,0.4833333333252778
4756180.0,1.7628205130633632,0.5666666666572222
2721840.0,5.350694444122078,0.5666666666572222
4603040.0,2.705128205363807,0.4999999999916667
2662250.0,6.056666666351547,0.5666666666572222
2136853.3329224,6.557692310838647,0.5333333333244444
3054750.0,5.3333333335573325,0.5666666666572222
4818060.0,2.0192307692152367,0.4333333333261111
1340733.3330754999,7.444711541773341,0.5333333333244444
4340310.0,2.955128205361884,0.4499999999925
1799520.0,7.411458331203679,0.5499999999908334
4582500.0,3.057692307668787,0.4333333333261111
2817920.0,6.145833333086589,0.5499999999908334
2216000.0,7.116666666343066,0.5666666666572222
1781920.0,7.036458331206023,0.5666666666572222
2889813.3327776,5.576923078155696,0.5333333333244444
2525125.0,6.409999999948719,0.5666666666572222
2326999.9995525,6.3028846165603465,0.5333333333244444
2559177.5006418,7.442006267920936,0.5333333333244444
3008000.0,6.106770833086833,0.5499999999908334
1814880.0,7.08333333120573,0.5499999999908334
2566000.0,6.9499999999444,0.4999999999916667
2323035.0,6.8215488217630575,0.4666666666588889
