load_util_ratio,multi_dim_tight_share,dim_l_tail_ratio
0.0,0.125,1.2188679244823069
0.0,0.07142857142857142,1.2078431372075358
0.0,0.2222222222222222,1.2307692307218936
0.0,0.2,1.2307692307218936
0.0,0.2727272727272727,1.2307692307218936
0.0,0.2,1.211320754671271
0.0,0.1,1.2346153845678995
0.0,0.2727272727272727,1.2307692307218936
0.0,0.1111111111111111,1.1692307691857988
0.0,0.125,1.2423076922599112
0.0,0.125,1.2074074073626886
0.0,0.2,1.207547169765753
0.0,0.07142857142857142,1.207692307645858
0.0,0.09090909090909091,1.5238095237369615
0.0,0.2222222222222222,1.1925925925484226
0.0,0.1111111111111111,1.619999999919
0.0,0.08333333333333333,1.2307692307218936
0.0,0.2,1.1636363635940496
0.0,0.07142857142857142,1.2307692307218936
0.0,0.16666666666666666,1.0847457626750934
0.0,0.2857142857142857,1.103448275824019
0.0,0.0,1.5470588234384084
0.0,0.2222222222222222,1.619999999919
0.0,0.2222222222222222,1.1571428571015305
0.0,0.07692307692307693,1.2307692307218936
0.0,0.0,1.0538461538056212
0.0,0.0,0.9999999999615384
0.0,0.2222222222222222,1.2769230768739646
0.0,0.0,1.5411764704975779
0.0,0.08333333333333333,1.2192307691838757
0.0,0.07692307692307693,1.2153846153378698
0.0,0.18181818181818182,1.1428571428163266
0.0,0.5,1.0827586206523185
0.0,0.2222222222222222,1.1172413792718192
0.0,0.07692307692307693,1.6315789472825486
0.0,0.1,1.254901960735102
0.0,0.1111111111111111,1.6470588234325259
0.0,0.09090909090909091,1.6842105262271467
0.0,0.16666666666666666,1.254901960735102
0.0,0.18181818181818182,1.2307692307218936
0.0,0.1111111111111111,1.2307692307218936
0.0,0.16666666666666666,1.1228070175044629
0.0,0.0,1.0799999999568
0.0,0.08333333333333333,1.2755555554988642
0.0,0.18181818181818182,1.103448275824019
0.0,0.09090909090909091,1.2307692307218936
0.0,0.09090909090909091,1.2307692307218936
0.0,0.23076923076923078,1.2148148147698217
0.0,0.16666666666666666,1.2692307691819527
0.0,0.16666666666666666,1.2307692307218936
0.0,0.125,1.2666666666169935
0.0,0.0,1.2739130434228731
0.0,0.125,1.2307692307218936
0.0,0.09090909090909091,1.2307692307218936
0.0,0.08333333333333333,1.2230769230298817
0.0,0.1,1.2346153845678995
0.0,0.2,1.211320754671271
0.0,0.0,1.115384615341716
