model,fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
linear_svm,1,32400,8100,6861,1884,0.9509876543209876,0.834759117514633,0.9840764331210191,0.9946262231294078,0.8550955414012739,0.7436116349029074,5849,367,30,1854,0.05904118404118404,0.01592356687898089
linear_svm,2,32400,8100,7031,1714,0.9564197530864198,0.8394014962593517,0.9819136522753792,0.9951593351997753,0.8553092182030338,0.6658340937444283,6064,322,31,1683,0.05042279987472596,0.01808634772462077
linear_svm,3,32400,8100,7137,1608,0.9530864197530864,0.8164948453608247,0.9850746268656716,0.994009465917486,0.8165422885572139,0.799688977902155,6136,356,24,1584,0.05483672211953173,0.014925373134328358
linear_svm,4,32400,8100,7068,1677,0.955679012345679,0.8308232931726908,0.986881335718545,0.9946160985449298,0.8354203935599285,0.7094225108698209,6086,337,22,1655,0.05246769422388292,0.01311866428145498
linear_svm,5,32400,8100,6883,1862,0.9539506172839506,0.8432457353619179,0.9822771213748658,0.995068426114983,0.8705692803437164,0.6750668360092624,5898,340,33,1829,0.0545046489259378,0.017722878625134265
