model,fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
xgboost,1,540071,134910,190839,47244,0.9947446445778667,0.9922151001671214,0.9927821522309711,0.999899041273683,0.9982008297349928,0.24028745293617249,87298,368,341,46903,0.004197750553236146,0.007217847769028871
xgboost,2,539981,135000,190478,47605,0.9945481481481482,0.9917325891264662,0.992815880684802,0.9998935160441814,0.9981514546791304,0.25811684131622314,87001,394,342,47263,0.004508267063333142,0.007184119315197983
xgboost,3,539981,135000,191385,46698,0.994874074074074,0.9913701029606528,0.9938327123217269,0.9999099037017631,0.998415349693777,0.2534283399581909,87898,404,288,46410,0.004575207809562637,0.0061672876782731595
xgboost,4,540000,134981,189309,48774,0.9944362539913025,0.9908620724901364,0.9937671710337475,0.9998915315444402,0.9979087218600073,0.28287971019744873,85760,447,304,48470,0.005185193777767467,0.006232828966252511
xgboost,5,539891,135090,190321,47762,0.994248278925161,0.9913618205015582,0.9923788786064235,0.9998873215021934,0.9980737825049202,0.2609874904155731,86915,413,364,47398,0.0047292964455844634,0.007621121393576484
