model,accuracy_mean,accuracy_std,auc_mean,auc_std,tpr_at_fpr1pct_mean,tpr_at_fpr1pct_std,precision_mean,recall_mean,fpr_mean,fnr_mean
hist_gbdt,0.9830633198123835,0.0007576837452261808,0.998699241266871,0.0001531555950037158,0.9600247226523007,0.004898483741580423,0.9608048171436547,0.9677716261746887,0.01223846144935917,0.03222837382531126
xgboost,0.9830647191620974,0.001264091090297693,0.9986769035245533,0.0001765828820339567,0.9573100870746029,0.004778240829558335,0.9587332722305405,0.9700087894689599,0.012953302731489666,0.02999121053104008
random_forest,0.9807552860511661,0.0012527125741605978,0.9981683617319985,0.00019107454038855875,0.9481436686095769,0.007198672196315742,0.9494357214432764,0.9703102019081511,0.016033604398454672,0.02968979809184876
linear_svm,0.9455767805505634,0.002262247267948416,0.990928626450496,0.0006525031113080548,0.7802135192425155,0.028109306662081692,0.8295158351836471,0.9686117125038877,0.061526379500030384,0.0313882874961124
logreg,0.939631867369695,0.002663506948071393,0.9895862379079711,0.0006306302986692963,0.7457088134911013,0.025023468344233434,0.8108550350396173,0.9707532529247771,0.06999420370155962,0.02924674707522291
