spare_capacity_sq,spare_capacity_is_low,spare_x_concentration,spare_x_wl_total,wl_max_residual,h_to_H_max_sq,spare_capacity_log1p,spare_x_avg_vol,awkward_length_share,tall_item_share,footprint_x_slack_inv,vert_stacking_pressure,wide_item_share,footprint_cv,width_pressure_x_low_slack,chubby_item_share,tall_x_slack_inv,extreme_height_share,long_x_slack_inv,dominant_footprint_share,tower_block_count,l_ratio_p90,m_ratio_p90,l_ratio_iqr,awkward_vol_x_slack_inv,long_wide_share,long_tall_share,footprint_slack_sat,volume_iqr,p90_l_x_p90_h,vol_tail_pressure,multi_axis_x_slack_inv,flat_extreme_share,slack_sat_quad,wl_max_x_h_max,footprint_gini,cross_axis_peak_ratio,gini_x_slack_inv,orientation_inflexibility,stacking_conflict_score,rotation_x_slack_inv,orientation_flexibility,fp_aspect_iqr,shape_div_x_slack_inv,polarity_p90,rod_item_share,rod_x_slack_inv,vol_dominance,ceiling_crunch_share,vol_anchor_x_slack_inv,fp_pressure_skew,height_heterogeneity,skew_x_slack_inv,pillar_item_share,hw_tail_interaction,pillar_x_slack_inv,fp_per_item_residual,count_x_gini,count_x_slack_inv,vol_packing_density,floor_coverage,floor_sat_x_slack_inv,m_dim_iqr,stacking_eff,stacking_ineff_x_slack_inv,width_sort_stress,width_tail_p90,lateral_x_slack_inv,long_sort_stress,l_sort_tail_p90,longitudinal_x_slack_inv
589955521,0,6768.5434430919995,16961818.3325237,-538.3333333,0.0711111112888889,10.097820021996219,62881184.875,0.0,0.25,0.028751000279550302,1.0666666666666667,0.875,0.34761939161924726,3.602305475504323e-05,0.125,0.0,0.0,0.0,0.2033898305084746,2,0.5383333333333333,0.5333333333333333,0.08333333333333331,3.602305475504323e-05,0.625,0.25,5.121212121212121,1010.0,0.1902111111111111,1.335985708077833,0.0,0.0,487669.44439788896,42.66666672,-0.19868735083539135,0.12219570406293698,-8.180137133491835e-06,0.0,1.0,0.0,0.375,0.8072916665671659,3.3236911120180115e-05,4.859999999216572,0.125,5.146362550948777e-06,0.16730239969097738,0.375,1.9428916466259196e-05,0.6271186440617228,0.26071944824625054,2.581903923840821e-05,0.0,0.2688,0.0,-239812.5,-1.19047619047541,0.00032936720324717496,0.46024444444443424,0.5506666666662996,2.26714424910979e-05,3.25,25.073849878934624,1.6419855987307827e-06,0.525,0.64,2.6349376260857738e-05,0.43124999999281255,0.5383333333243611,1.775495080047737e-05
74149321,1,2454.517896726,10444425.419537,-1052.916667,0.0802777775888889,9.060911858484253,22381834.216746,0.0,0.21428571428571427,0.14085649267623657,1.6333333333333333,0.7857142857142857,0.3756523939640552,9.123482184327517e-05,0.21428571428571427,0.0,0.0,0.0,0.13475609756097562,2,0.5133333333333334,0.5333333333333333,0.16666666666666669,0.00010782297126932519,0.5,0.14285714285714285,7.61319073083779,1559.0,0.20020000000000007,1.4117343153150677,0.0,0.0,1471166.8410863888,45.333333280000005,-0.17296461697013532,0.07475094467194085,-2.0086472763920013e-05,0.0,1.0,0.0,0.21428571428571427,0.9739729020475685,0.00011310785866554196,4.549999999320239,0.07142857142857142,8.295037908322277e-06,0.12242710709279941,0.21428571428571427,6.661974592849363e-06,0.8865853658460902,0.26787644102358565,0.00010295962906119929,0.07142857142857142,0.2922666666666667,8.295037907359934e-06,-239892.85714285713,-2.0163934426220917,0.001625827429842547,0.8086444444444265,1.0933333333326045,0.00012696938024996836,3.0,22.18841463414634,5.23383633423551e-06,0.5314285714285715,0.64,7.43235396585676e-05,0.3821428571364881,0.5133333333247778,4.437845280878454e-05
337714129,0,5359.124464707,15934390.416054102,-693.75,0.0802777775888889,9.81890957606083,54361207.886847004,0.0,0.4444444444444444,0.047183047367335605,2.2,0.8888888888888888,0.4480056900094555,4.8367008863254375e-05,0.1111111111111111,0.0,0.0,0.0,0.2041216879293425,3,0.5333333333333333,0.5666666666666667,0.11666666666666664,4.836700886325437e-05,0.4444444444444444,0.1111111111111111,5.849264705882353,1095.0,0.21688888888888888,1.4885174473199867,0.0,0.0,751833.5068866389,49.11111104388889,-0.21816434406540097,0.1132788723194572,-1.1871597326298586e-05,0.0,1.0,0.0,0.2222222222222222,1.1069518715080502,6.023568967465601e-05,4.1999999993,0.0,0.0,0.25000939037673253,0.4444444444444444,1.441890480285588e-05,0.837095191356689,0.335602850375524,4.555124293174313e-05,0.1111111111111111,0.2992,6.046205099040371e-06,-259833.33328333334,-1.3783783783803967,0.00048974261302227,0.5916222222222092,0.6793333333328805,3.696649797751774e-05,5.0,26.126594700686947,2.082776056950427e-06,0.5422222222222222,0.68,3.70027752081386e-05,0.43888888888157407,0.5333333333244444,2.388251014210971e-05
300640921,0,5501.874987392001,16724910.4160887,-791.25,0.0802777775888889,9.760771250334534,47961407.9,0.0,0.3,0.05563081936627294,1.6333333333333333,0.7,0.42866073885999983,4.036908881199538e-05,0.1,0.0,0.0,0.0,0.18071242397914858,2,0.5333333333333333,0.5366666666666666,0.17916666666666664,4.61361014994233e-05,0.5,0.1,5.875,1215.0,0.21511111111111111,1.4900401287010587,0.0,0.0,930421.006880139,49.11111104388889,-0.20082073434129166,0.1018286536915343,-1.1582025165308268e-05,0.0,1.0,0.0,0.1,0.6509803921208819,3.754426533699917e-05,4.333333332611111,0.0,0.0,0.24062759842376485,0.3,1.922099196611116e-05,0.8071242397844733,0.3621779113699657,4.6549641835424575e-05,0.1,0.30268,5.767345290629947e-06,-259849.99995,-1.6206896551721728,0.0005767345290629947,0.6146888888888753,0.7673333333328218,4.425476286595407e-05,4.5,24.032145960034754,2.399846147869315e-06,0.52,0.644,3.7141703673796805e-05,0.4016666666599722,0.5333333333244444,2.3165503584978892e-05
156725361,0,3737.971105479,13786548.75,-927.9166667,0.0802777775888889,9.43508264465409,36966330.820458,0.0,0.45454545454545453,0.08796622097114708,2.7666666666666666,0.8181818181818182,0.3534037421717103,6.5349985477781e-05,0.0,0.0,0.0,0.0,0.1685575364667747,4,0.5333333333333333,0.5666666666666667,0.15000000000000002,7.261109497531223e-05,0.5454545454545454,0.09090909090909091,6.949826989619377,1484.0,0.21333333333333335,1.3702164342230843,0.0,0.0,1212751.5625,49.11111104388889,-0.19867230763942112,0.08919157521293453,-1.5869662723812226e-05,0.0,1.0,0.0,0.2727272727272727,0.6352941176056528,5.0746354352752556e-05,4.333333332611111,0.0,0.0,0.20491979926725762,0.45454545454545453,1.6387029129727406e-05,0.854132901126908,0.34801184588879625,6.822692716086267e-05,0.09090909090909091,0.2946666666666667,7.261689504100105e-06,-259863.63631363635,-1.5777777777749802,0.0008786644299961127,0.721799999999984,0.8226666666661182,6.571344889096993e-05,5.0,26.321717990275527,3.0347025440342284e-06,0.5527272727272727,0.68,5.431743749500325e-05,0.4348484848412374,0.5333333333244444,3.4735081463471736e-05
156375025,0,3155.30124085,13213616.670835,-883.3333336999999,0.0802777775888889,9.433963808127244,40634997.5,0.0,0.2,0.0844994659740376,1.1,0.8,0.34560062526549296,6.396929473852551e-05,0.2,0.0,0.0,0.0,0.16309963099630997,3,0.535,0.5366666666666666,0.22916666666666663,6.396929473852551e-05,0.6,0.3,5.850267379679145,1633.0,0.23183333333333336,1.4387136482535774,0.0,0.0,1116544.4451488887,49.11111104388889,-0.18359621451107722,0.09295478439014712,-1.4681824431112558e-05,0.0,1.0,0.0,0.1,0.8386363636181924,6.706402982630101e-05,3.671428571005668,0.0,0.0,0.20483151254038454,0.3,1.3846516091419637e-05,0.6309963099584429,0.26465910986255003,5.0459520988276086e-05,0.2,0.2812133333333333,1.5993602557697434e-05,-259849.99995,-1.102040816329316,0.0007996801278848716,0.7221111111110952,0.9033333333327311,7.223777155798952e-05,3.0,23.981549815498155,3.334564004694204e-06,0.544,0.644,5.149940023989992e-05,0.39666666666005557,0.5349999999910833,3.1720645074771995e-05
218832849,0,3599.2058057940003,14990239.995069,-853.333333,0.0802777775888889,9.601976972147813,44685215.099999994,0.0,0.1,0.06850082119866072,0.5666666666666667,0.8,0.31432703704091836,5.407597674733e-05,0.2,0.0,0.0,0.0,0.16806083650190115,2,0.535,0.5066666666666666,0.16666666666666669,5.407597674733e-05,0.6,0.3,5.586452762923352,1633.0,0.21578333333333333,1.448902572251465,0.0,0.0,1026844.443768889,45.333333280000005,-0.15888157894740718,0.08947368423987014,-1.074032170265642e-05,0.0,1.0,0.0,0.1,0.8029220779019932,5.4277126690375607e-05,3.671428571005668,0.0,0.0,0.14748237163570868,0.2,1.1680846795160542e-05,0.6806083650138357,0.2543674803101016,4.60088126150064e-05,0.1,0.2654933333333333,6.75995403185561e-06,-239850.0,-1.0412371134037857,0.000675995403185561,0.6712666666666518,0.8766666666660823,5.9262263683230106e-05,2.75,22.97110266159696,2.942807810144491e-06,0.536,0.608,4.110052051645771e-05,0.3866666666602222,0.5349999999910833,2.6138488924504567e-05
159415876,0,3918.682782632,13457211.662458,-892.4999997,0.0802777775888889,9.44359265743868,37159465.817034,0.0,0.45454545454545453,0.08441568896270477,2.7666666666666666,0.8181818181818182,0.4302450099836042,6.479621590099139e-05,0.09090909090909091,0.0,0.0,0.0,0.16212003117692908,3,0.5333333333333333,0.5666666666666667,0.19166666666666665,6.479621590099139e-05,0.5454545454545454,0.09090909090909091,6.619377162629758,1680.5,0.21333333333333335,1.3747451658738494,0.0,0.0,1136000.693733889,49.11111104388889,-0.20157793730900875,0.09215532969566187,-1.596530471321026e-05,0.0,1.0,0.0,0.18181818181818182,0.6352941176056528,5.031630084291496e-05,4.333333332611111,0.0,0.0,0.20559708407981078,0.36363636363636365,1.052994028577722e-05,0.7833203429395038,0.3727906984217374,6.204026159824503e-05,0.09090909090909091,0.2946666666666667,7.200149762544809e-06,-259863.63631363635,-1.698924731184825,0.0008712181212679219,0.7194222222222063,0.8553333333327631,6.774380907117814e-05,5.0,25.233047544816834,3.1388062520172944e-06,0.5418181818181818,0.68,5.3857120228096484e-05,0.41363636362946976,0.5333333333244444,3.276068142162498e-05
381225625,0,5669.015041525,18491802.0826825,-773.75,0.0802777775888889,9.879502189785617,55266597.2309,0.0,0.3333333333333333,0.04850616380222085,1.6333333333333333,0.7777777777777778,0.41724693307914834,3.983292931362172e-05,0.0,0.0,0.0,0.0,0.2086258776328987,1,0.5066666666666667,0.54,0.04999999999999999,4.5523347786996255e-05,0.5555555555555556,0.2222222222222222,5.373161764705882,1456.0,0.20604444444444447,1.4877644749754664,0.0,0.0,896966.840214639,49.11111104388889,-0.18663538153203918,0.10371022142369023,-9.55879034735107e-06,0.0,1.0,0.0,0.1111111111111111,0.9705882351757498,4.970999938928328e-05,4.333333332611111,0.0,0.0,0.26127576054954815,0.4444444444444444,1.0875614408488898e-05,0.8776328986881659,0.3795143499830999,4.494918815304076e-05,0.1111111111111111,0.28944000000000003,5.6907099157705705e-06,-259833.33328333334,-1.384615384614857,0.00046094750317741625,0.5661111111110986,0.6646666666662235,3.4041826717858615e-05,5.0,25.551654964894684,2.0044255181481277e-06,0.5066666666666666,0.648,3.318822023047205e-05,0.42222222221518524,0.5066666666582222,2.162469768067419e-05
577152576,0,6760.792494456,18148130.0008008,-595.4166667,0.0625,10.086850233838494,62990928.0,0.0,0.0,0.03144423710696091,0.0,0.75,0.36887769465948134,3.121748178980229e-05,0.125,0.0,0.0,0.0,0.1870824053452116,2,0.5383333333333333,0.5,0.1958333333333333,3.6420395421436006e-05,0.5,0.375,4.658585858585859,2045.75,0.20277222222222221,1.434782608695652,0.0,0.0,570654.3403281388,40.0,-0.19229178157756022,0.10590182018272129,-8.004153412319023e-06,0.0,1.0,0.0,0.125,0.7837121211703002,3.262203608682731e-05,4.330952380264229,0.0,0.0,0.21238558352401732,0.25,9.576408311119476e-06,0.496659242757268,0.29322338599897674,2.0673461653232074e-05,0.0,0.252,0.0,-239812.5,-0.9452054794529374,0.00033300033298647185,0.466133333333323,0.5986666666662676,2.4919524919507268e-05,3.5,23.35857461024499,1.7820026400498465e-06,0.48,0.6,2.4975024975023935e-05,0.3937499999934375,0.5383333333243611,1.6389860139586294e-05
