feature,coef_scaled,abs_coef_scaled,approx_coef_raw_units,abs_approx_coef_raw_units
tight_bin_large_piece_interaction,-15.212523232992849,15.212523232992849,-63.95847480762182,63.95847480762182
max_face_area_load_over_floor,-6.593305155651123,6.593305155651123,-1.5793608644964363,1.5793608644964363
spare_per_item,5.214708355701191,5.214708355701191,0.00011648108381141484,0.00011648108381141484
p90_long_over_bin_long,2.673179548222291,2.673179548222291,6.682948870555727,6.682948870555727
multi_dim_tight_share,-2.0251606317889594,2.0251606317889594,-2.0251606317889594,2.0251606317889594
volume_tail_ratio,-1.7851215321642684,1.7851215321642684,-0.6069518309242655,0.6069518309242655
dominant_type_share,-0.9761032849521303,0.9761032849521303,-1.0225843937593746,1.0225843937593746
max_2d_pressure,-0.9589379387775976,0.9589379387775976,-2.9596849962271534,2.9596849962271534
max_elongation,0.4287045558786353,0.4287045558786353,0.07105600373679039,0.07105600373679039
short_dim_sum_ratio,-0.31110047596886403,0.31110047596886403,-0.053028490221965464,0.053028490221965464
p90_short_over_bin_short,0.3011077562440079,0.3011077562440079,0.9033232687320235,0.9033232687320235
p90_mid_over_bin_mid,-0.16500827970787668,0.16500827970787668,-0.5500275990262556,0.5500275990262556
count_near_long_limit,0.0,0.0,0.0,0.0
count_near_height_limit,0.0,0.0,0.0,0.0
count_near_width_limit,0.0,0.0,0.0,0.0
