feature,coef_scaled,abs_coef_scaled,approx_coef_raw_units,abs_approx_coef_raw_units
spare_capacity,19.307451461618744,19.307451461618744,0.0003513895727008107,0.0003513895727008107
sku_average_volume,-13.102485846697359,13.102485846697359,-0.0022763179024839052,0.0022763179024839052
sku_counts,-6.395723589981854,6.395723589981854,-0.30455826618961207,0.30455826618961207
wl_to_vehicle_wl_std,-5.428040849274921,5.428040849274921,-0.07363751759586032,0.07363751759586032
wl_to_vehicle_wl_min,-4.72898013321441,4.72898013321441,-0.023893794356891436,0.023893794356891436
sku_height_avg,-3.0928534578238227,3.0928534578238227,-0.2899550115803724,0.2899550115803724
h_to_H_ratio_avg,-3.0928532925331957,3.0928532925331957,-17.39729984661241,17.39729984661241
wl_to_vehicle_wl_total,-3.0472209412820837,3.0472209412820837,-0.001464423360081806,0.001464423360081806
sku_length_var,-3.010075977706046,3.010075977706046,-0.02487666097277724,0.02487666097277724
sku_height_var,-2.8703280272927727,2.8703280272927727,-0.09488687693529828,0.09488687693529828
sku_width_var,-2.6503530100017003,2.6503530100017003,-0.13088163012354076,0.13088163012354076
l_to_L_ratio_min,-1.8765795386559534,1.8765795386559534,-4.691448846639884,4.691448846639884
sku_min_length,-1.8765794915893768,1.8765794915893768,-0.07819081214955736,0.07819081214955736
w_to_W_ratio_min,-1.5720260564740707,1.5720260564740707,-9.432156319980113,9.432156319980113
sku_min_width,-1.5720259335301308,1.5720259335301308,-0.1572025933530131,0.1572025933530131
l_to_L_ratio_avg,-1.5129358399300417,1.5129358399300417,-3.782339599825104,3.782339599825104
sku_length_avg,-1.5129357662814622,1.5129357662814622,-0.06303899026172759,0.06303899026172759
sku_max_width,1.5092165065270715,1.5092165065270715,0.15092165065270716,0.15092165065270716
w_to_W_ratio_max,1.5092160589972803,1.5092160589972803,9.05529633587309,9.05529633587309
sku_std_length,-1.3708375886410369,1.3708375886410369,-0.12462159896736699,0.12462159896736699
l_to_L_ratio_std,-1.3708373924506339,1.3708373924506339,-7.47729488150763,7.47729488150763
wl_to_vehicle_wl_max,1.2221452990292205,1.2221452990292205,0.006518108261489176,0.006518108261489176
max_asr,0.6195788668494667,0.6195788668494667,0.10269262987022612,0.10269262987022612
sku_min_height,0.5853794279152776,0.5853794279152776,0.053216311628661604,0.053216311628661604
h_to_H_ratio_min,0.5853793255372977,0.5853793255372977,3.192978145099765,3.192978145099765
sku_concentration,0.4868244245580708,0.4868244245580708,1.2780793460006261,1.2780793460006261
h_to_H_ratio_max,0.46686991066406086,0.46686991066406086,2.5465631537068103,2.5465631537068103
sku_max_height,0.46686984768695816,0.46686984768695816,0.04244271342608711,0.04244271342608711
w_to_W_ratio_std,-0.45818249797606025,0.45818249797606025,-6.109099973014137,6.109099973014137
sku_std_width,-0.45818223376751765,0.45818223376751765,-0.10181827417055947,0.10181827417055947
w_to_W_ratio_avg,0.4271640355113302,0.4271640355113302,2.562984207942013,2.562984207942013
sku_width_avg,0.4271639648212593,0.4271639648212593,0.04271639648212593,0.04271639648212593
sku_std_height,-0.3228569799185382,0.3228569799185382,-0.05870126907609785,0.05870126907609785
h_to_H_ratio_std,-0.3228567728775823,0.3228567728775823,-3.5220738731297203,3.5220738731297203
sku_max_length,0.2499110676545636,0.2499110676545636,0.010412961152273484,0.010412961152273484
l_to_L_ratio_max,0.24991096317778122,0.24991096317778122,0.624777407944453,0.624777407944453
wl_to_vehicle_wl_avg,0.16579089062319768,0.16579089062319768,0.000884218083323721,0.000884218083323721
vehicle_length,0.0,0.0,0.0,0.0
vehicle_height,0.0,0.0,0.0,0.0
vehicle_width,0.0,0.0,0.0,0.0
