feature,coef_scaled,abs_coef_scaled,approx_coef_raw_units,abs_approx_coef_raw_units
spare_capacity,11.512253650905873,11.512253650905873,0.00020951941271258822,0.00020951941271258822
sku_average_volume,-9.276529253164725,9.276529253164725,-0.0016116277368250042,0.0016116277368250042
sku_counts,-5.933768553319319,5.933768553319319,-0.2825604073009199,0.2825604073009199
wl_to_vehicle_wl_std,-2.874888486381011,2.874888486381011,-0.03900111612651125,0.03900111612651125
wl_to_vehicle_wl_min,-2.390511765336046,2.390511765336046,-0.012078375235178702,0.012078375235178702
wl_to_vehicle_wl_total,-2.331050180970793,2.331050180970793,-0.0011202483851073491,0.0011202483851073491
sku_height_avg,-2.2510714197877144,2.2510714197877144,-0.21103794553914884,0.21103794553914884
h_to_H_ratio_avg,-2.2510711996475843,2.2510711996475843,-12.662275553415116,12.662275553415116
l_to_L_ratio_avg,-1.6181037715199094,1.6181037715199094,-4.045259428799773,4.045259428799773
sku_length_avg,-1.6181036887019165,1.6181036887019165,-0.06742098702924651,0.06742098702924651
l_to_L_ratio_min,-1.4413163339288602,1.4413163339288602,-3.6032908348221504,3.6032908348221504
sku_min_length,-1.4413162753944295,1.4413162753944295,-0.06005484480810123,0.06005484480810123
sku_std_length,-1.4192166901525685,1.4192166901525685,-0.12901969910477895,0.12901969910477895
l_to_L_ratio_std,-1.4192165881507877,1.4192165881507877,-7.7411814039882625,7.7411814039882625
sku_height_var,-1.1919711453933841,1.1919711453933841,-0.03940400480639286,0.03940400480639286
sku_width_var,-1.118420067479061,1.118420067479061,-0.05523062061624992,0.05523062061624992
sku_max_width,0.9717682624064645,0.9717682624064645,0.09717682624064646,0.09717682624064646
w_to_W_ratio_max,0.9717678731898403,0.9717678731898403,5.830607227477828,5.830607227477828
w_to_W_ratio_min,-0.9679472097400793,0.9679472097400793,-5.8076832468251105,5.8076832468251105
sku_min_width,-0.9679470637457214,0.9679470637457214,-0.09679470637457215,0.09679470637457215
sku_length_var,-0.9293910490218573,0.9293910490218573,-0.007680917760511218,0.007680917760511218
wl_to_vehicle_wl_avg,0.7389100244020226,0.7389100244020226,0.003940853463477454,0.003940853463477454
w_to_W_ratio_std,-0.6968626401053246,0.6968626401053246,-9.291501868070995,9.291501868070995
sku_std_width,-0.6968622546964944,0.6968622546964944,-0.1548582788214432,0.1548582788214432
wl_to_vehicle_wl_max,0.6613226498688327,0.6613226498688327,0.003527054132633774,0.003527054132633774
sku_std_height,-0.47760586594437715,0.47760586594437715,-0.08683743017170494,0.08683743017170494
h_to_H_ratio_std,-0.47760564363263924,0.47760564363263924,-5.210243366136998,5.210243366136998
max_asr,0.4611383813124714,0.4611383813124714,0.07643177591236718,0.07643177591236718
w_to_W_ratio_avg,-0.395231153075966,0.395231153075966,-2.3713869137130223,2.3713869137130223
sku_width_avg,-0.39523112329122556,0.39523112329122556,-0.03952311232912256,0.03952311232912256
sku_min_height,0.39384351037212184,0.39384351037212184,0.035803955488374714,0.035803955488374714
h_to_H_ratio_min,0.39384344481832034,0.39384344481832034,2.148236975642178,2.148236975642178
sku_concentration,-0.34120275513242415,0.34120275513242415,-0.8957730387688101,0.8957730387688101
sku_max_length,0.27242691135836683,0.27242691135836683,0.011351121306598617,0.011351121306598617
l_to_L_ratio_max,0.27242680669610575,0.27242680669610575,0.6810670167402644,0.6810670167402644
sku_max_height,0.2667008076798876,0.2667008076798876,0.02424552797089887,0.02424552797089887
h_to_H_ratio_max,0.26670080552826914,0.26670080552826914,1.4547316691627983,1.4547316691627983
vehicle_height,0.0,0.0,0.0,0.0
vehicle_width,0.0,0.0,0.0,0.0
vehicle_length,0.0,0.0,0.0,0.0
