dim_s_p90_to_vh,two_dim_large_share,aspect_cv
0.35333333333333333,0.25,0.3503590130924959
0.39000000000000007,0.14285714285714285,0.453103062239986
0.4066666666666667,0.3333333333333333,0.29538528313873014
0.4033333333333333,0.2,0.42402618189997204
0.4,0.36363636363636365,0.3417580716597581
0.43333333333333335,0.3,0.4248312169212714
0.4033333333333333,0.2,0.4323866181726109
0.4,0.2727272727272727,0.3918785928889378
0.4066666666666667,0.1111111111111111,0.3706412806849415
0.37666666666666665,0.25,0.45726999607679497
0.29666666666666663,0.375,0.2428858152700294
0.3733333333333333,0.3,0.34248508176106424
0.39000000000000007,0.14285714285714285,0.3750794432484385
0.36666666666666664,0.18181818181818182,0.39864184964622523
0.4066666666666667,0.3333333333333333,0.3254354264564606
0.4,0.2222222222222222,0.4410429172675998
0.3966666666666667,0.25,0.3785885860072724
0.43333333333333335,0.2,0.3442738836437848
0.39000000000000007,0.21428571428571427,0.3400861245017593
0.3833333333333333,0.3333333333333333,0.2706962555390606
0.37333333333333335,0.2857142857142857,0.19745750749950255
0.41000000000000003,0.0,0.49002371800569566
0.4066666666666667,0.3333333333333333,0.4299791704612037
0.33999999999999997,0.2222222222222222,0.2903104547243418
0.39333333333333337,0.23076923076923078,0.3524972514726065
0.35000000000000003,0.0,0.36423219402673607
0.4,0.0,0.0
0.4066666666666667,0.3333333333333333,0.46827878470288375
0.4066666666666667,0.0,0.45860034790142096
0.36333333333333334,0.16666666666666666,0.40806899104398925
0.39333333333333337,0.15384615384615385,0.3424626313816363
0.36666666666666664,0.2727272727272727,0.31363224605802326
0.43,0.5,0.09010224912626384
0.33999999999999997,0.3333333333333333,0.23728932323183555
0.39333333333333337,0.15384615384615385,0.4490531460442492
0.4033333333333333,0.2,0.3358017499419545
0.4066666666666667,0.1111111111111111,0.49106781004879657
0.43333333333333335,0.18181818181818182,0.4376033014702827
0.43000000000000005,0.25,0.4513078350295835
0.36666666666666664,0.2727272727272727,0.38970443957448536
0.4066666666666667,0.2222222222222222,0.28626050147579946
0.36333333333333334,0.3333333333333333,0.26275976167791065
0.4,0.0,0.4651373679254333
0.43000000000000005,0.08333333333333333,0.4413229670855341
0.3333333333333333,0.36363636363636365,0.21832896766094564
0.4,0.18181818181818182,0.33129719570790317
0.4,0.18181818181818182,0.40007318612163356
0.39333333333333337,0.38461538461538464,0.33065192426864737
0.4,0.3333333333333333,0.44817223688603114
0.3966666666666667,0.25,0.37253441418634947
0.41000000000000003,0.25,0.4749939211812671
0.36999999999999994,0.1,0.3758436992053944
0.38666666666666666,0.25,0.2676249194210239
0.4,0.18181818181818182,0.3362869694392888
0.3966666666666667,0.16666666666666666,0.36802708336099715
0.4033333333333333,0.3,0.43287622694143973
0.3733333333333333,0.3,0.43500203464732606
0.4,0.09090909090909091,0.37879721784095266
0.36666666666666664,0.2727272727272727,0.40997690182188484
0.4,0.0,0.5218059481613945
0.37333333333333335,0.3333333333333333,0.4309452715988384
0.36666666666666664,0.18181818181818182,0.3423639107466105
0.3966666666666667,0.08333333333333333,0.4271157984271199
0.4033333333333333,0.2,0.41406199748545874
0.3966666666666667,0.16666666666666666,0.403961703486429
0.36666666666666664,0.2,0.40208786896695453
0.39000000000000007,0.14285714285714285,0.3968600367561192
0.36333333333333334,0.3333333333333333,0.25157658728053706
0.4066666666666667,0.2222222222222222,0.36374315417551134
0.4033333333333333,0.3,0.41630280531948366
0.3466666666666667,0.2222222222222222,0.25707574003044464
0.36,0.23076923076923078,0.24444145134799056
0.36666666666666664,0.21052631578947367,0.31557621453816576
0.38,0.3333333333333333,0.2541022219338318
0.4,0.3,0.3946254128049056
0.38,0.3333333333333333,0.2808064346918303
0.36333333333333334,0.25,0.3500253815626817
0.4,0.2727272727272727,0.3969111759793019
0.3733333333333333,0.3,0.2657251750003835
0.36666666666666664,0.16666666666666666,0.29380060166684563
0.37666666666666665,0.375,0.29770315500922034
0.39000000000000007,0.14285714285714285,0.3550256693118451
0.3966666666666667,0.25,0.3321390736995508
0.4,0.15384615384615385,0.3986581316294917
0.39333333333333337,0.23076923076923078,0.3660646296156604
0.41000000000000003,0.25,0.4165793929494709
0.36666666666666664,0.18181818181818182,0.2727685620030746
0.3333333333333333,0.18181818181818182,0.23256015702708693
0.33999999999999997,0.3,0.24168287341479575
0.37333333333333335,0.3333333333333333,0.45680123463640615
0.4066666666666667,0.2222222222222222,0.4053622489445355
0.4033333333333333,0.3,0.36146799964512544
0.37333333333333335,0.0,0.4652308363197115
0.38,0.42857142857142855,0.28711734666032535
0.26666666666666666,1.0,0.0
0.37333333333333335,0.2222222222222222,0.2923992434506232
0.39000000000000007,0.14285714285714285,0.4288141934925487
0.36999999999999994,0.3,0.27473620964458945
0.36666666666666664,0.45454545454545453,0.27836538002895506
0.4033333333333333,0.2,0.37821925766967196
0.36666666666666664,0.18181818181818182,0.3573887945401338
0.3966666666666667,0.16666666666666666,0.3838685056799113
0.4,0.3333333333333333,0.3573851858878437
0.36666666666666664,0.18181818181818182,0.2850008669780763
0.4,0.16666666666666666,0.4578715772653324
0.4,0.16666666666666666,0.3710807605356199
0.3966666666666667,0.25,0.45574602152099153
0.3966666666666667,0.25,0.48120213078547003
0.32666666666666666,0.6666666666666666,0.27646844761771255
0.43333333333333335,1.0,0.0
0.4066666666666667,0.1111111111111111,0.41250237019858266
0.36666666666666664,0.25,0.3098452558442765
0.38666666666666666,0.26666666666666666,0.4180140577443623
0.4133333333333334,0.0,0.34815327959286674
0.39333333333333337,0.23076923076923078,0.40554136929077134
0.38666666666666666,0.2,0.5205078920807971
0.36666666666666664,0.18181818181818182,0.3750973242645912
0.23333333333333334,1.0,0.0
0.3733333333333333,0.3,0.46832201179077965
0.36666666666666664,0.18181818181818182,0.36144309224465604
0.2766666666666666,0.3,0.21664797506300384
0.37666666666666665,0.375,0.3406888947704463
0.4,0.09090909090909091,0.4380296864829237
0.26,0.0,0.14796932547371475
0.38333333333333336,0.5,0.5417157035530838
0.3066666666666667,0.42857142857142855,0.25108642003705395
0.38666666666666666,0.0,0.31971355433252274
0.3433333333333333,0.25,0.2544470584684599
0.3966666666666667,0.25,0.35402211336441197
0.35,0.5,0.23956319235997675
