model,fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
logreg,1,32400,8100,6861,1884,0.9267901234567901,0.7743306417339566,0.9670912951167728,0.9865630815073491,0.7154989384288747,0.9015927217090332,5685,531,62,1822,0.08542471042471042,0.032908704883227176
logreg,2,32400,8100,7031,1714,0.9371604938271605,0.7832628114715562,0.9719953325554259,0.9884883465544707,0.7199533255542591,0.8882254172019224,5925,461,48,1666,0.07218916379580333,0.028004667444574097
logreg,3,32400,8100,7137,1608,0.9404938271604938,0.7869520897043832,0.9601990049751243,0.9891695059821043,0.7543532338308457,0.8642556337497523,6074,418,64,1544,0.06438693776956254,0.03980099502487562
logreg,4,32400,8100,7068,1677,0.9403703703703704,0.7958374628344896,0.9576624925462135,0.9900658885484493,0.774597495527728,0.8391844398985374,6011,412,71,1606,0.06414448077222482,0.042337507453786526
logreg,5,32400,8100,6883,1862,0.9337037037037037,0.7876682587928788,0.9742212674543501,0.9893892944700874,0.7620837808807733,0.8907657023740772,5749,489,48,1814,0.07839050977877525,0.02577873254564984
linear_svm,1,32400,8100,6861,1884,0.9333333333333333,0.7921739130434783,0.9670912951167728,0.9883872726229415,0.7510615711252654,0.8441621088297935,5738,478,62,1822,0.0768983268983269,0.032908704883227176
linear_svm,2,32400,8100,7031,1714,0.9454320987654321,0.8078412391093901,0.9737456242707118,0.9905184766413987,0.7532088681446908,0.7831434744199901,5989,397,45,1669,0.06216724083933605,0.026254375729288213
linear_svm,3,32400,8100,7137,1608,0.9458024691358025,0.8049034950443401,0.9595771144278606,0.9903535120147874,0.7767412935323383,0.7073364769204178,6118,374,65,1543,0.05760936537276648,0.04042288557213931
linear_svm,4,32400,8100,7068,1677,0.9460493827160494,0.8140830800405269,0.9582587954680978,0.9914447288093596,0.7966607036374478,0.6269877638578503,6056,367,70,1607,0.057138408843219676,0.04174120453190221
linear_svm,5,32400,8100,6883,1862,0.9387654320987654,0.8024800708591674,0.9731471535982814,0.9911929723543962,0.8120300751879699,0.7498403857434626,5792,446,50,1812,0.0714972747675537,0.02685284640171858
random_forest,1,32400,8100,6861,1884,0.9811111111111112,0.9543307086614173,0.964968152866242,0.9981873365631326,0.947452229299363,0.5656622113856716,6129,87,66,1818,0.013996138996138996,0.03503184713375796
random_forest,2,32400,8100,7031,1714,0.9844444444444445,0.9605568445475638,0.9661610268378062,0.9985733998781611,0.9614935822637106,0.5264026630570849,6318,68,58,1656,0.010648293141246476,0.0338389731621937
random_forest,3,32400,8100,7137,1608,0.9808641975308642,0.9421789409616556,0.9626865671641791,0.997817731275845,0.927860696517413,0.6441829327638962,6397,95,60,1548,0.01463339494762785,0.03731343283582089
random_forest,4,32400,8100,7068,1677,0.9840740740740741,0.9569067296340024,0.9666070363744782,0.9983943548133287,0.9588550983899821,0.5407480166604031,6350,73,56,1621,0.011365405573719446,0.033392963625521764
random_forest,5,32400,8100,6883,1862,0.9819753086419754,0.9530095036958818,0.9693877551020408,0.9982867212459309,0.9500537056928035,0.5938956880109789,6149,89,57,1805,0.014267393395319012,0.030612244897959183
hist_gbdt,1,32400,8100,6861,1884,0.9814814814814815,0.9606801275239107,0.9596602972399151,0.9985921715619167,0.9548832271762208,0.5623313885651463,6142,74,76,1808,0.011904761904761904,0.040339702760084924
hist_gbdt,2,32400,8100,7031,1714,0.9851851851851852,0.9677230046948356,0.9620770128354725,0.998760050153468,0.9655775962660443,0.44019255523209355,6331,55,65,1649,0.008612590040714062,0.037922987164527425
hist_gbdt,3,32400,8100,7137,1608,0.9841975308641975,0.9512195121951219,0.9701492537313433,0.9985633868550041,0.9521144278606966,0.6758560790715546,6412,80,48,1560,0.012322858903265557,0.029850746268656716
hist_gbdt,4,32400,8100,7068,1677,0.9865432098765432,0.9633569739952719,0.9719737626714371,0.9990282574056729,0.97376267143709,0.467194611154216,6361,62,47,1630,0.009652810213295967,0.02802623732856291
hist_gbdt,5,32400,8100,6883,1862,0.9845679012345679,0.9617224880382775,0.9715359828141783,0.9988372949962961,0.966702470461869,0.5698007983507489,6166,72,53,1809,0.011542160949022122,0.028464017185821696
xgboost,1,32400,8100,6861,1884,0.9829629629629629,0.9619047619047619,0.964968152866242,0.9987616711342825,0.9548832271762208,0.5926628112792969,6144,72,66,1818,0.011583011583011582,0.03503184713375796
xgboost,2,32400,8100,7031,1714,0.9849382716049383,0.9611819235225956,0.9679113185530922,0.9989252306222662,0.9655775962660443,0.5355342626571655,6319,67,55,1659,0.010491700595051676,0.03208868144690782
xgboost,3,32400,8100,7137,1608,0.9827160493827161,0.9481074481074481,0.9657960199004975,0.9985510295104882,0.9564676616915423,0.6476954817771912,6407,85,55,1553,0.013093037584719655,0.034203980099502485
xgboost,4,32400,8100,7068,1677,0.9862962962962963,0.9649643705463183,0.9689922480620154,0.9990662284309026,0.9695885509838998,0.47761499881744385,6364,59,52,1625,0.009185738751362292,0.031007751937984496
xgboost,5,32400,8100,6883,1862,0.9858024691358025,0.9643806485911749,0.9742212674543501,0.9989451712917158,0.9715359828141783,0.540472149848938,6171,67,48,1814,0.01074062199422892,0.02577873254564984
