model,accuracy_mean,accuracy_std,auc_mean,auc_std,tpr_at_fpr1pct_mean,tpr_at_fpr1pct_std,precision_mean,recall_mean,fpr_mean,fnr_mean
xgboost,0.9845432098765432,0.0016317793527678823,0.998849866197931,0.00019915898688416662,0.9636106037863771,0.007576365703809044,0.9601078305344597,0.9683778013672395,0.011018822101674824,0.031622198632760515
hist_gbdt,0.9843950617283952,0.0018571939408534984,0.9987562321944715,0.0001901898303592375,0.9626080786403841,0.008941435240031336,0.9609404212894835,0.9670792618584692,0.010807036402211923,0.032920738141530737
random_forest,0.9824938271604939,0.0016687230112694548,0.9982519087552797,0.00028175298698393097,0.9491430624326546,0.01326165778961909,0.9533965455001041,0.9659621076689493,0.012982125210810358,0.0340378923310507
linear_svm,0.9418765432098766,0.005659790335540729,0.9903793924885766,0.001202643903447162,0.7779405023255425,0.02668386070528123,0.8042963596193806,0.966363996576345,0.06506212334424057,0.0336360034236551
logreg,0.9357037037037038,0.005707390182715693,0.9887352234124922,0.0013384906277043793,0.7452973548444962,0.026232407099269255,0.7856102529074529,0.9662338785295773,0.07290716050821529,0.03376612147042265
