spare_cap_x_avg_vol,wl_max_residual,n_long_items
62881184.875,-538.3333333,0
22381834.216746,-1052.916667,0
54361207.886847004,-693.75,0
47961407.9,-791.25,0
36966330.820458,-927.9166667,0
40634997.5,-883.3333336999999,0
44685215.099999994,-853.333333,0
37159465.817034,-892.4999997,0
55266597.2309,-773.75,0
62990928.0,-595.4166667,0
63268289.5,-585.4166667,0
38730916.4,-884.5833336999999,0
25735674.218751002,-1090.0,0
45459534.460002996,-738.3333333,0
52115555.559200004,-785.8333333999999,0
56248318.992459,-671.25,0
33733734.662524,-972.916667,0
40891204.4,-873.3333336999999,0
19895850.0,-1202.083333,0
83939757.341372,-567.5,0
72028073.0,-612.9166667,0
61959312.0,-523.3333333,0
55729197.231259994,-671.25,0
55879119.0,-634.1666667,0
24327026.460868,-1095.8333337,0
95470724.0,-197.0833333,0
177480576.0,0.0,0
54720655.55138,-700.8333333,0
56111616.0,-647.0833333,0
31066774.670316,-1007.916667,0
28669912.618752003,-1078.3333337,0
39280314.176768,-871.25,0
187275712.0,-130.0,0
53425359.551676,-738.75,0
29385898.767484,-990.416667,0
48581960.0,-721.6666667,0
56211583.992696,-630.0,0
42120117.816732,-832.4999997,0
26853397.919645,-1015.8333336999999,0
34143839.913116,-896.25,0
53107652.890797995,-719.1666667,0
22102031.25,-1103.333333,0
43785316.264755,-798.75,0
33137729.920693,-947.0833336999999,0
38013909.458122,-908.75,0
41152930.820942,-943.7499997,0
43105252.265075,-854.5833336999999,0
14248547.0,-1113.333333,0
82810317.324812,-470.83333330000005,0
33212259.662626002,-955.8333336999999,0
63267138.0,-601.6666667,0
50614502.4,-723.75,0
63168437.5,-589.1666667,0
38766694.914024,-897.083333,0
26324399.25,-1025.0,0
45561254.4,-840.833333,0
45471195.9,-830.0,0
44536005.816504,-853.75,0
40656501.001347,-893.333333,0
45610281.81633,-784.5833333,0
55654015.993272,-702.0833333,0
39917452.266225,-843.3333336999999,0
35083475.921089,-940.8333336999999,0
46984084.4,-785.8333333999999,0
34917866.66228,-976.2499997,0
5128773.33274,-1253.333333,0
22993933.639033,-1110.8333337,0
26423123.669582,-1033.75,0
55762330.560090005,-722.0833333999999,0
49018593.6,-771.6666667,0
55576506.23112799,-687.9166667,0
15052297.767355,-1145.4166663,0
-12345764.420556,-1587.5000003,0
53700655.55162,-695.8333333999999,0
44522265.599999994,-934.166667,0
53476664.886944,-688.3333333999999,0
29606635.920071,-992.916667,0
37700306.905564,-909.583333,0
43565639.599999994,-828.3333336999999,0
33678247.912535,-962.5,0
61090925.5,-642.0833333,0
23502904.0,-1053.7499997,0
28147466.66984,-996.25,0
31400030.455724,-989.1666667,0
22111287.38758,-1131.25,0
62838979.875,-572.0833333999999,0
40305918.17652,-786.25,0
36618250.817061,-906.2500003,0
46653479.599999994,-794.5833333,0
55543279.551116,-694.5833333,0
55562758.993329,-702.0833333999999,0
46853811.9,-821.25,0
55943822.23295999,-673.3333333,0
71477871.41997,-666.6666667,0
158054400.0,0.0,0
52802788.890769996,-757.0833333,0
19826793.997892,-1140.416667,0
41770190.0,-863.75,0
27310326.456769,-980.833333,0
49507435.1,-793.75,0
44898885.816456,-830.4166666000001,0
32191974.670516,-1024.583333,0
52250000.005499996,-799.1666667,0
42190086.458911,-830.0,0
31589939.25,-985.833333,0
32646666.6706,-986.6666667,0
32559083.25,-962.5,0
32186497.920515,-955.0,0
117999693.0,-208.75,0
255217664.0,0.0,0
55810872.891168,-686.6666667,0
26667449.25,-998.333333,0
-219355.266691,-1256.25,0
71461126.292844,-514.5833333,0
23657906.460892,-1037.916667,0
91890143.80000001,-353.3333333,0
44763337.821596,-822.9166666000001,0
165699884.0,0.0,0
45171177.5,-822.5,0
42324646.904694,-902.083333,0
44175303.9,-793.75,0
62948322.0,-674.1666667,0
43214421.459166,-819.1666667,0
100710543.678929,-151.66666659999999,0
153917302.0,-99.16666670000001,0
72316696.56494801,-522.0833333,0
113211178.654864,-221.6666667,0
63100649.5,-632.0833333,0
33565034.670776,-963.3333336999999,0
83749026.0,-541.6666667,0
98066052.0,-132.5,0
20588912.49779,-1117.0833337,0
96930807.75,-254.1666667,0
29201537.764905,-1025.833333,0
85921875.0,-267.5,0
48235745.6,-823.3333333,0
48347801.599999994,-764.5833333,0
34284748.267665,-965.833333,0
47228441.6,-793.3333333999999,0
62620574.875,-676.25,0
35324531.25,-919.1666667,0
41309457.0,-856.25,0
49256000.0,-817.0833333,0
34706486.457639,-973.333333,0
50236121.599999994,-743.75,0
44759274.174992,-720.4166667,0
34799607.186995,-957.9166667,0
46585126.4,-816.6666667,0
47549188.4,-802.0833333,0
47921000.0,-779.5833333,0
43407045.816624,-826.25,0
69431142.293428,-448.75,0
31423897.912955,-1042.9166667,0
70224777.0,-450.83333330000005,0
39291581.25,-878.333333,0
50382575.1,-639.1666667,0
54126179.559584,-677.5,0
27618485.460741002,-1077.5,0
71491700.0,-499.58333330000005,0
27056197.919675,-999.166667,0
22926565.919099,-1072.5,0
16730782.216001999,-1225.4166667,0
36940679.6,-863.7499997,0
103894912.0,-96.66666670000001,0
39848719.914276,-893.75,0
38313119.913924,-916.2500003,0
33314019.920727,-920.416667,0
42081904.0,-894.583333,0
73952550.0,-62.5,0
40804929.451832004,-857.916667,0
35849513.25,-990.833333,0
51562775.005334996,-802.0833333,0
43817099.9,-782.5,0
53120639.005731,-795.8333333,0
35257673.766834006,-977.9166663000001,0
35485414.662156,-883.7499997,0
51874930.55195,-818.3333333,0
37953468.0,-962.9166663000001,0
-1883475.0,-1366.25,0
55030447.891757,-663.75,0
63189443.875,-597.5,0
-4838181.235708,-1483.7499997,0
63157248.0,-639.5833333,0
150994368.0,-106.66666670000001,0
55011231.0,-723.3333333,0
38195469.0,-873.3333333,0
105380352.0,-170.0,0
25370094.218661,-1123.333333,0
42377797.816712,-856.6666667,0
53053056.0,-764.5833333,0
88304832.0,-50.0,0
47257519.1,-776.25,0
91178325.0,-130.4166667,0
40666955.9,-850.833333,0
50505753.599999994,-693.3333333,0
50527977.5,-657.9166667,0
29887649.920117,-1055.4166667,0
49741721.599999994,-762.0833333,0
94905514.67912799,-132.50000003000002,0
63082484.875,-696.6666667,0
16271275.735436002,-1291.2500003,0
15612462.784922998,-1124.9999997,0
56246072.88636801,-645.8333333,0
44149579.099999994,-799.1666667,0
130729200.0,-239.1666667,0
23077821.457782,-1095.0,0
101965859.75,-281.6666666,0
69141496.566348,-666.6666667,0
61027685.5,-624.5833333999999,0
40382079.188465,-886.25,0
33884163.006642,-984.1666663000001,0
44617199.9,-833.3333333,0
56179951.550731994,-622.5,0
31498725.455694,-1065.416667,0
62557645.5,-711.6666667,0
47773440.0,-809.5833333,0
82022491.824581,-468.75,0
71220546.292936,-490.0,0
1324350.823708,-1365.8333333,0
41817854.458827,-887.083333,0
82166733.32462,-418.75000000000006,0
20059271.717494,-1168.7500003,0
60760114.875,-541.25,0
36522497.911915004,-906.25,0
72300143.425302,-538.75,0
33132518.670692,-1001.25,0
34771671.9,-1005.416667,0
32670894.452658,-963.333333,0
47521395.9,-811.25,0
37642799.905573,-899.166667,0
42009751.26552,-798.75,0
49103219.9,-736.25,0
21565469.918922998,-1095.833333,0
48861000.0,-762.5,0
38428218.17696,-889.583333,0
37736799.177108,-961.2499997,0
29670038.663252,-1090.8333337,0
44669621.451156,-862.916667,0
32046799.912763998,-923.7500003,0
35534435.695964,-920.8333333,0
-23250036.762050003,-1495.416667,0
48540164.4,-772.0833333,0
10116498.215745,-1235.833333,0
28604475.919911,-946.666667,0
52528959.0,-749.5833333,0
102311799.75,-233.75,0
101375637.0,-134.58333333000002,0
81754774.2,-283.75,0
13439902.767579999,-1167.9166667,0
62802029.5,-624.5833333,0
17604690.385065,-1117.916667,0
9478919.922401,-1202.5,0
22557604.0,-993.7499997,0
39356821.001267,-945.0,0
37279341.0,-891.666667,0
54443664.0,-731.6666667,0
43707989.451372,-869.166667,0
31546439.912684,-902.5,0
47110881.6,-834.5833333,0
32950934.662676,-982.4999997,0
54962531.551312,-647.0833333999999,0
51311234.559074,-801.25,0
41955207.189005,-880.0,0
51811955.55196,-761.6666667,0
43372774.4,-835.8333333,0
23842785.919221,-1061.666667,0
62719979.875,-682.0833333999999,0
71772068.419769,-636.25,0
23161667.003774,-1100.8333337,0
42630851.9,-833.3333336999999,0
49748247.9,-780.4166667,0
108076799.75,-254.1666667,0
12691364.734909,-1236.6666667,0
-15225464.222825998,-1605.4166667,0
38234224.001204,-953.333333,0
62586229.5,-551.25,0
12109205.459774,-1168.333333,0
99120566.2,-414.58333339999996,0
22595288.5,-1084.166667,0
7451977.768882001,-1179.1666667,0
-9367389.0625,-1446.6666667,0
31810559.920447,-1050.4166667,0
53916234.551574,-670.0,0
36176960.0,-894.5833336999999,0
46813172.4,-810.8333333999999,0
78404962.5,-450.0,0
56056106.560262,-684.5833333999999,0
32564457.0,-1032.083333,0
62117674.875,-547.9166667,0
10081007.693030002,-1176.666667,0
43348910.0,-812.0833333,0
37288925.921610996,-967.9166663000001,0
43530307.1,-776.6666667,0
-3999974.4,-1254.5833337,0
62513689.5,-560.8333333,0
30776099.670266,-1029.1666667,0
53615871.0,-792.0833333,0
51455359.890659,-786.25,0
55397455.55994,-736.25,0
18511645.639950998,-1187.9166667,0
28012584.618640002,-1027.916667,0
16301980.284882,-1154.166667,0
72213300.0,-619.1666667,0
