near_limit_mid_share,spare_x_avgvol,long_thin_item_share
0.25,62881184.875,0.125
0.21428571428571427,22381834.216746,0.07142857142857142
0.4444444444444444,54361207.886847004,0.0
0.3,47961407.9,0.0
0.45454545454545453,36966330.820458,0.0
0.2,40634997.5,0.0
0.1,44685215.099999994,0.0
0.45454545454545453,37159465.817034,0.0
0.3333333333333333,55266597.2309,0.0
0.0,62990928.0,0.0
0.625,63268289.5,0.125
0.4,38730916.4,0.0
0.35714285714285715,25735674.218751002,0.07142857142857142
0.45454545454545453,45459534.460002996,0.09090909090909091
0.3333333333333333,52115555.559200004,0.0
0.3333333333333333,56248318.992459,0.0
0.4166666666666667,33733734.662524,0.08333333333333333
0.4,40891204.4,0.0
0.2857142857142857,19895850.0,0.07142857142857142
0.16666666666666666,83939757.341372,0.0
0.42857142857142855,72028073.0,0.0
0.125,61959312.0,0.0
0.4444444444444444,55729197.231259994,0.0
0.4444444444444444,55879119.0,0.1111111111111111
0.46153846153846156,24327026.460868,0.0
0.5,95470724.0,0.25
0.0,177480576.0,0.0
0.2222222222222222,54720655.55138,0.0
0.1111111111111111,56111616.0,0.0
0.25,31066774.670316,0.0
0.38461538461538464,28669912.618752003,0.0
0.36363636363636365,39280314.176768,0.09090909090909091
0.5,187275712.0,0.0
0.4444444444444444,53425359.551676,0.1111111111111111
0.15384615384615385,29385898.767484,0.0
0.5,48581960.0,0.0
0.1111111111111111,56211583.992696,0.0
0.36363636363636365,42120117.816732,0.0
0.16666666666666666,26853397.919645,0.0
0.36363636363636365,34143839.913116,0.09090909090909091
0.5555555555555556,53107652.890797995,0.0
0.25,22102031.25,0.08333333333333333
0.2727272727272727,43785316.264755,0.0
0.4166666666666667,33137729.920693,0.0
0.45454545454545453,38013909.458122,0.09090909090909091
0.36363636363636365,41152930.820942,0.0
0.36363636363636365,43105252.265075,0.0
0.3076923076923077,14248547.0,0.07692307692307693
0.3333333333333333,82810317.324812,0.0
0.5,33212259.662626002,0.0
0.125,63267138.0,0.0
0.4,50614502.4,0.0
0.625,63168437.5,0.0
0.2727272727272727,38766694.914024,0.09090909090909091
0.3333333333333333,26324399.25,0.08333333333333333
0.2,45561254.4,0.0
0.1,45471195.9,0.0
0.36363636363636365,44536005.816504,0.0
0.18181818181818182,40656501.001347,0.0
0.09090909090909091,45610281.81633,0.0
0.0,55654015.993272,0.0
0.45454545454545453,39917452.266225,0.0
0.3333333333333333,35083475.921089,0.0
0.5,46984084.4,0.0
0.3333333333333333,34917866.66228,0.0
0.3333333333333333,5128773.33274,0.06666666666666667
0.35714285714285715,22993933.639033,0.0
0.4166666666666667,26423123.669582,0.08333333333333333
0.4444444444444444,55762330.560090005,0.0
0.2,49018593.6,0.0
0.4444444444444444,55576506.23112799,0.1111111111111111
0.46153846153846156,15052297.767355,0.07692307692307693
0.42105263157894735,-12345764.420556,0.05263157894736842
0.5555555555555556,53700655.55162,0.0
0.2,44522265.599999994,0.0
0.6666666666666666,53476664.886944,0.0
0.3333333333333333,29606635.920071,0.08333333333333333
0.36363636363636365,37700306.905564,0.09090909090909091
0.6,43565639.599999994,0.0
0.4166666666666667,33678247.912535,0.08333333333333333
0.5,61090925.5,0.125
0.5,23502904.0,0.07142857142857142
0.3333333333333333,28147466.66984,0.08333333333333333
0.38461538461538464,31400030.455724,0.0
0.3076923076923077,22111287.38758,0.07692307692307693
0.375,62838979.875,0.0
0.6363636363636364,40305918.17652,0.09090909090909091
0.45454545454545453,36618250.817061,0.09090909090909091
0.4,46653479.599999994,0.1
0.1111111111111111,55543279.551116,0.0
0.3333333333333333,55562758.993329,0.0
0.5,46853811.9,0.0
0.2222222222222222,55943822.23295999,0.0
0.2857142857142857,71477871.41997,0.0
0.0,158054400.0,0.0
0.4444444444444444,52802788.890769996,0.1111111111111111
0.21428571428571427,19826793.997892,0.0
0.4,41770190.0,0.1
0.36363636363636365,27310326.456769,0.09090909090909091
0.3,49507435.1,0.0
0.36363636363636365,44898885.816456,0.0
0.3333333333333333,32191974.670516,0.08333333333333333
0.2222222222222222,52250000.005499996,0.0
0.36363636363636365,42190086.458911,0.09090909090909091
0.08333333333333333,31589939.25,0.0
0.4166666666666667,32646666.6706,0.0
0.08333333333333333,32559083.25,0.0
0.16666666666666666,32186497.920515,0.0
0.0,117999693.0,0.0
1.0,255217664.0,0.0
0.4444444444444444,55810872.891168,0.0
0.4166666666666667,26667449.25,0.08333333333333333
0.26666666666666666,-219355.266691,0.06666666666666667
0.14285714285714285,71461126.292844,0.0
0.3076923076923077,23657906.460892,0.07692307692307693
0.2,91890143.80000001,0.0
0.45454545454545453,44763337.821596,0.0
1.0,165699884.0,0.0
0.2,45171177.5,0.0
0.2727272727272727,42324646.904694,0.09090909090909091
0.6,44175303.9,0.1
0.25,62948322.0,0.0
0.36363636363636365,43214421.459166,0.0
0.6666666666666666,100710543.678929,0.0
0.5,153917302.0,0.0
0.5714285714285714,72316696.56494801,0.14285714285714285
0.0,113211178.654864,0.0
0.5,63100649.5,0.125
0.4166666666666667,33565034.670776,0.0
0.3333333333333333,83749026.0,0.0
0.0,98066052.0,0.0
0.42857142857142855,20588912.49779,0.0
0.0,96930807.75,0.0
0.15384615384615385,29201537.764905,0.0
0.0,85921875.0,0.0
0.1,48235745.6,0.0
0.4,48347801.599999994,0.1
0.36363636363636365,34284748.267665,0.09090909090909091
0.4,47228441.6,0.0
0.375,62620574.875,0.0
0.5,35324531.25,0.08333333333333333
0.3333333333333333,41309457.0,0.0
0.0,49256000.0,0.0
0.2727272727272727,34706486.457639,0.09090909090909091
0.1,50236121.599999994,0.0
0.2727272727272727,44759274.174992,0.09090909090909091
0.45454545454545453,34799607.186995,0.0
0.4,46585126.4,0.0
0.5,47549188.4,0.1
0.4,47921000.0,0.1
0.2727272727272727,43407045.816624,0.0
0.42857142857142855,69431142.293428,0.14285714285714285
0.4166666666666667,31423897.912955,0.0
0.5714285714285714,70224777.0,0.14285714285714285
0.4166666666666667,39291581.25,0.08333333333333333
0.4,50382575.1,0.1
0.4444444444444444,54126179.559584,0.0
0.07692307692307693,27618485.460741002,0.0
0.42857142857142855,71491700.0,0.14285714285714285
0.4166666666666667,27056197.919675,0.08333333333333333
0.3333333333333333,22926565.919099,0.08333333333333333
0.35714285714285715,16730782.216001999,0.0
0.5,36940679.6,0.1
0.0,103894912.0,0.0
0.2727272727272727,39848719.914276,0.09090909090909091
0.45454545454545453,38313119.913924,0.09090909090909091
0.25,33314019.920727,0.08333333333333333
0.36363636363636365,42081904.0,0.09090909090909091
0.0,73952550.0,0.0
0.18181818181818182,40804929.451832004,0.0
0.08333333333333333,35849513.25,0.0
0.3333333333333333,51562775.005334996,0.0
0.5,43817099.9,0.1
0.2222222222222222,53120639.005731,0.0
0.3076923076923077,35257673.766834006,0.0
0.5,35485414.662156,0.08333333333333333
0.4444444444444444,51874930.55195,0.0
0.4166666666666667,37953468.0,0.0
0.25,-1883475.0,0.0625
0.2222222222222222,55030447.891757,0.0
0.125,63189443.875,0.0
0.29411764705882354,-4838181.235708,0.0
0.375,63157248.0,0.125
0.0,150994368.0,0.0
0.1111111111111111,55011231.0,0.0
0.45454545454545453,38195469.0,0.09090909090909091
0.3333333333333333,105380352.0,0.0
0.07142857142857142,25370094.218661,0.0
0.45454545454545453,42377797.816712,0.0
0.3333333333333333,53053056.0,0.1111111111111111
0.5,88304832.0,0.0
0.5,47257519.1,0.1
0.0,91178325.0,0.0
0.4,40666955.9,0.1
0.2,50505753.599999994,0.0
0.2,50527977.5,0.0
0.3333333333333333,29887649.920117,0.0
0.3,49741721.599999994,0.1
0.3333333333333333,94905514.67912799,0.0
0.125,63082484.875,0.0
0.3333333333333333,16271275.735436002,0.0
0.5,15612462.784922998,0.07142857142857142
0.2222222222222222,56246072.88636801,0.0
0.4,44149579.099999994,0.0
0.3333333333333333,130729200.0,0.0
0.15384615384615385,23077821.457782,0.0
0.5,101965859.75,0.0
0.42857142857142855,69141496.566348,0.0
0.5,61027685.5,0.125
0.2727272727272727,40382079.188465,0.0
0.38461538461538464,33884163.006642,0.0
0.3,44617199.9,0.1
0.2222222222222222,56179951.550731994,0.0
0.3076923076923077,31498725.455694,0.0
0.375,62557645.5,0.0
0.4,47773440.0,0.1
0.3333333333333333,82022491.824581,0.0
0.2857142857142857,71220546.292936,0.0
0.47058823529411764,1324350.823708,0.058823529411764705
0.36363636363636365,41817854.458827,0.0
0.5,82166733.32462,0.16666666666666666
0.42857142857142855,20059271.717494,0.0
0.375,60760114.875,0.0
0.25,36522497.911915004,0.0
0.42857142857142855,72300143.425302,0.0
0.3333333333333333,33132518.670692,0.08333333333333333
0.2,34771671.9,0.0
0.2727272727272727,32670894.452658,0.09090909090909091
0.4,47521395.9,0.0
0.36363636363636365,37642799.905573,0.09090909090909091
0.2727272727272727,42009751.26552,0.09090909090909091
0.2,49103219.9,0.0
0.3333333333333333,21565469.918922998,0.08333333333333333
0.2,48861000.0,0.0
0.36363636363636365,38428218.17696,0.09090909090909091
0.45454545454545453,37736799.177108,0.0
0.3333333333333333,29670038.663252,0.0
0.0,44669621.451156,0.0
0.5454545454545454,32046799.912763998,0.09090909090909091
0.46153846153846156,35534435.695964,0.07692307692307693
0.29411764705882354,-23250036.762050003,0.058823529411764705
0.3,48540164.4,0.1
0.21428571428571427,10116498.215745,0.07142857142857142
0.5,28604475.919911,0.08333333333333333
0.4444444444444444,52528959.0,0.0
0.5,102311799.75,0.0
0.6666666666666666,101375637.0,0.0
0.6,81754774.2,0.0
0.3076923076923077,13439902.767579999,0.0
0.375,62802029.5,0.125
0.3076923076923077,17604690.385065,0.07692307692307693
0.3076923076923077,9478919.922401,0.07692307692307693
0.45454545454545453,22557604.0,0.09090909090909091
0.09090909090909091,39356821.001267,0.0
0.45454545454545453,37279341.0,0.09090909090909091
0.1111111111111111,54443664.0,0.0
0.09090909090909091,43707989.451372,0.0
0.45454545454545453,31546439.912684,0.09090909090909091
0.1,47110881.6,0.0
0.4166666666666667,32950934.662676,0.0
0.2222222222222222,54962531.551312,0.0
0.3333333333333333,51311234.559074,0.0
0.18181818181818182,41955207.189005,0.0
0.2222222222222222,51811955.55196,0.0
0.3,43372774.4,0.0
0.25,23842785.919221,0.0
0.375,62719979.875,0.0
0.42857142857142855,71772068.419769,0.0
0.38461538461538464,23161667.003774,0.07692307692307693
0.5,42630851.9,0.1
0.4,49748247.9,0.0
0.25,108076799.75,0.0
0.3333333333333333,12691364.734909,0.0
0.2777777777777778,-15225464.222825998,0.0
0.09090909090909091,38234224.001204,0.0
0.25,62586229.5,0.125
0.23076923076923078,12109205.459774,0.0
0.6,99120566.2,0.0
0.42857142857142855,22595288.5,0.07142857142857142
0.46153846153846156,7451977.768882001,0.07692307692307693
0.375,-9367389.0625,0.0625
0.3333333333333333,31810559.920447,0.0
0.5555555555555556,53916234.551574,0.1111111111111111
0.4,36176960.0,0.1
0.5,46813172.4,0.0
0.16666666666666666,78404962.5,0.0
0.3333333333333333,56056106.560262,0.0
0.25,32564457.0,0.08333333333333333
0.25,62117674.875,0.125
0.23076923076923078,10081007.693030002,0.0
0.5,43348910.0,0.1
0.3333333333333333,37288925.921610996,0.08333333333333333
0.5,43530307.1,0.1
0.6,-3999974.4,0.06666666666666667
0.25,62513689.5,0.0
0.16666666666666666,30776099.670266,0.0
0.1111111111111111,53615871.0,0.0
0.2222222222222222,51455359.890659,0.0
0.1111111111111111,55397455.55994,0.0
0.2857142857142857,18511645.639950998,0.0
0.23076923076923078,28012584.618640002,0.0
0.2857142857142857,16301980.284882,0.07142857142857142
0.14285714285714285,72213300.0,0.0
0.3076923076923077,20651815.38516,0.0
0.25,93626379.0,0.0
0.2,77440015.80000001,0.0
0.36363636363636365,39536199.176708,0.09090909090909091
0.5,86356415.5,0.0
0.4666666666666667,12911173.33494,0.06666666666666667
0.0,81125807.80000001,0.0
0.3333333333333333,1536111.7335060001,0.06666666666666667
0.4666666666666667,-6061131.266021,0.06666666666666667
0.35714285714285715,18048301.717104,0.0
0.5555555555555556,54422997.23041999,0.1111111111111111
0.3333333333333333,30805335.920270998,0.0
0.2727272727272727,40617316.266005,0.0
0.18181818181818182,43316551.26498,0.09090909090909091
