floor_area_pressure,long_item_share,cubic_item_share
0.5506666666666666,0.0,0.125
1.0933333333333333,0.0,0.42857142857142855
0.6793333333333333,0.0,0.2222222222222222
0.7673333333333333,0.0,0.4
0.8226666666666667,0.0,0.2727272727272727
0.9033333333333333,0.0,0.6
0.8766666666666667,0.0,0.6
0.8553333333333333,0.0,0.36363636363636365
0.6646666666666666,0.0,0.3333333333333333
0.5986666666666667,0.0,0.5
0.564,0.0,0.125
0.84,0.0,0.5
0.966,0.0,0.2857142857142857
0.7366666666666667,0.0,0.2727272727272727
0.7053333333333334,0.0,0.2222222222222222
0.66,0.0,0.4444444444444444
0.88,0.0,0.3333333333333333
0.8466666666666667,0.0,0.3
0.998,0.0,0.2857142857142857
0.48933333333333334,0.0,0.3333333333333333
0.5406666666666666,0.0,0.14285714285714285
0.6826666666666666,0.0,0.75
0.6866666666666666,0.0,0.4444444444444444
0.614,0.0,0.1111111111111111
0.992,0.0,0.38461538461538464
0.3006666666666667,0.0,0.25
0.112,0.0,1.0
0.7473333333333333,0.0,0.3333333333333333
0.7946666666666666,0.0,0.7777777777777778
0.9693333333333334,0.0,0.4166666666666667
0.9293333333333333,0.0,0.3076923076923077
0.7853333333333333,0.0,0.18181818181818182
0.25066666666666665,0.0,1.0
0.6453333333333333,0.0,0.1111111111111111
1.0533333333333332,0.0,0.5384615384615384
0.748,0.0,0.3
0.7626666666666667,0.0,0.6666666666666666
0.9133333333333333,0.0,0.5454545454545454
1.0433333333333332,0.0,0.5833333333333334
0.8766666666666667,0.0,0.45454545454545453
0.72,0.0,0.3333333333333333
0.9,0.0,0.16666666666666666
0.8873333333333333,0.0,0.5454545454545454
1.002,0.0,0.5
0.7613333333333333,0.0,0.09090909090909091
0.7806666666666666,0.0,0.2727272727272727
0.8033333333333333,0.0,0.36363636363636365
1.002,0.0,0.23076923076923078
0.5113333333333333,0.0,0.5
0.8913333333333333,0.0,0.3333333333333333
0.668,0.0,0.375
0.6733333333333333,0.0,0.3
0.608,0.0,0.25
0.818,0.0,0.2727272727272727
0.984,0.0,0.3333333333333333
0.848,0.0,0.4
0.8446666666666667,0.0,0.5
0.7853333333333333,0.0,0.36363636363636365
0.8806666666666667,0.0,0.45454545454545453
0.8866666666666667,0.0,0.7272727272727273
0.6786666666666666,0.0,0.4444444444444444
0.8446666666666667,0.0,0.45454545454545453
0.9326666666666666,0.0,0.5833333333333334
0.7753333333333333,0.0,0.4
0.9,0.0,0.5
1.188,0.0,0.4
1.0486666666666666,0.0,0.5
0.8733333333333333,0.0,0.16666666666666666
0.6633333333333333,0.0,0.3333333333333333
0.784,0.0,0.3
0.6133333333333333,0.0,0.1111111111111111
0.962,0.0,0.15384615384615385
1.3186666666666667,0.0,0.21052631578947367
0.688,0.0,0.2222222222222222
0.7726666666666666,0.0,0.4
0.6873333333333334,0.0,0.2222222222222222
0.882,0.0,0.3333333333333333
0.844,0.0,0.36363636363636365
0.788,0.0,0.3
0.8626666666666667,0.0,0.25
0.64,0.0,0.25
1.0006666666666666,0.0,0.2857142857142857
0.8973333333333333,0.0,0.25
0.952,0.0,0.38461538461538464
0.9613333333333334,0.0,0.3076923076923077
0.6073333333333333,0.0,0.5
0.7966666666666666,0.0,0.18181818181818182
0.782,0.0,0.09090909090909091
0.6933333333333334,0.0,0.1
0.678,0.0,0.4444444444444444
0.7193333333333334,0.0,0.5555555555555556
0.7426666666666667,0.0,0.3
0.6453333333333333,0.0,0.5555555555555556
0.5686666666666667,0.0,0.2857142857142857
0.08,0.0,0.0
0.6773333333333333,0.0,0.2222222222222222
1.1093333333333333,0.0,0.42857142857142855
0.7573333333333333,0.0,0.2
0.862,0.0,0.18181818181818182
0.7246666666666667,0.0,0.4
0.7533333333333333,0.0,0.2727272727272727
0.8813333333333333,0.0,0.3333333333333333
