model,fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
linear_svm,1,32400,8100,7732,1838,0.9561728395061728,0.8482855800845467,0.9825897714907508,0.9945927540558472,0.8492927094668118,0.6800912977728447,5939,323,32,1806,0.05158096454806771,0.017410228509249184
linear_svm,2,32490,8010,7633,1937,0.9549313358302123,0.8527305282005372,0.9834796076406814,0.9955652281172765,0.8910686628807434,0.6255818754182054,5744,329,32,1905,0.054174213732916185,0.016520392359318535
linear_svm,3,32310,8190,7620,1950,0.9637362637362638,0.8748299319727891,0.9892307692307692,0.9955857988165681,0.8702564102564102,0.7024011054932184,5964,276,21,1929,0.04423076923076923,0.010769230769230769
linear_svm,4,32490,8010,7553,2017,0.9584269662921349,0.86832895888014,0.984134853743183,0.9954685192549464,0.865146256817055,0.7022435995015108,5692,301,32,1985,0.05022526280660771,0.015865146256817054
linear_svm,5,32310,8190,7742,1828,0.9571428571428572,0.8475294117647059,0.9852297592997812,0.9950929238634479,0.8665207877461707,0.6797965292728007,6038,324,27,1801,0.050927381326626844,0.01477024070021882
