spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio
10.097820021996219,0.0711111112888889,0.027666443501249725,0.112
9.060911858484253,0.0802777775888889,0.0318495583291966,0.14733333333333334
9.81890957606083,0.0802777775888889,0.029448229282021694,0.13866666666666666
9.760771250334534,0.0802777775888889,0.03445928215945967,0.13866666666666666
9.43508264465409,0.0802777775888889,0.03289067487797175,0.13866666666666666
9.433963808127244,0.0802777775888889,0.03500819997548055,0.14733333333333334
9.601976972147813,0.0802777775888889,0.03283897306136591,0.14733333333333334
9.44359265743868,0.0802777775888889,0.03298579157785986,0.13866666666666666
9.879502189785617,0.0802777775888889,0.030603497713995887,0.13866666666666666
10.086850233838494,0.0625,0.03205558875,0.112
10.00690117422521,0.09,0.0241010244,0.132
9.358329249689632,0.09,0.030331501799999997,0.13866666666666666
9.251482315307358,0.0802777775888889,0.029676789748419464,0.12466666666666666
9.904087372608096,0.0802777775888889,0.03102810983016301,0.12466666666666666
9.70509758756311,0.0802777775888889,0.028196974033493756,0.13866666666666666
10.0267665686963,0.0802777775888889,0.03317609807763597,0.12466666666666666
9.42778773074551,0.09,0.0323286078,0.132
9.444226019822295,0.0802777775888889,0.02716406763470894,0.14733333333333334
8.910720661951359,0.09,0.030154787699999998,0.132
10.090672264996071,0.09,0.0123883905,0.132
9.95551058060328,0.0802777775888889,0.010835731420585415,0.13866666666666666
10.156306404160087,0.0802777775888889,0.027274410384579128,0.14733333333333334
9.920147993429236,0.0802777775888889,0.03580994490787066,0.13866666666666666
9.93663215112843,0.0802777775888889,0.024899355404039977,0.12466666666666666
9.073030421011577,0.09,0.0317348481,0.13866666666666666
10.42385748414504,0.0711111112888889,0.011493422681033445,0.112
10.612335823322157,0.054444444288888894,0.0,0.112
9.841133310789152,0.0802777775888889,0.03692276603989479,0.14733333333333334
9.970445020661009,0.0802777775888889,0.02780369150062311,0.14733333333333334
9.301003406873425,0.0802777775888889,0.03105307461346697,0.14733333333333334
9.300638009956963,0.0802777775888889,0.029759733881655218,0.13866666666666666
9.53885243891622,0.09,0.029373626099999998,0.132
10.433439104100595,0.0711111112888889,0.013333333350000002,0.13866666666666666
9.767610553984774,0.09,0.0187082868,0.132
9.337413454539659,0.0802777775888889,0.032269824678702166,0.14733333333333334
9.797070923831638,0.0802777775888889,0.028801684716115668,0.13866666666666666
9.994835346995403,0.0802777775888889,0.032258919178715,0.14733333333333334
9.677151410322754,0.0802777775888889,0.03128835772985684,0.14733333333333334
9.097843340749037,0.0802777775888889,0.03557154909148446,0.14733333333333334
9.311994025702683,0.09,0.030694441799999996,0.132
9.751675801946746,0.0802777775888889,0.0229308732730225,0.13866666666666666
8.850230965588816,0.09,0.0168942792,0.132
9.772239265926174,0.0802777775888889,0.02907172234913131,0.14733333333333334
9.399306471488806,0.0802777775888889,0.02949814383196297,0.14733333333333334
9.481511892300974,0.09,0.0218276496,0.132
9.627865794576714,0.0802777775888889,0.030258300247735334,0.13866666666666666
9.731274729890462,0.0802777775888889,0.03319741947761088,0.13866666666666666
8.430327258394575,0.09,0.0286996278,0.132
10.148979507514099,0.09,0.0351682464,0.132
9.402859753746583,0.0802777775888889,0.03213386547886212,0.13866666666666666
10.036137306631591,0.0802777775888889,0.0353181499251159,0.14733333333333334
10.03561170546317,0.0802777775888889,0.028584075649705012,0.12466666666666666
9.978177498167572,0.0802777775888889,0.024301958971409465,0.13866666666666666
9.515395652485308,0.09,0.027090299099999996,0.132
9.071537969095724,0.09,0.0269612634,0.14733333333333334
9.641148287756142,0.09,0.036,0.14733333333333334
9.637044983076766,0.0802777775888889,0.03500819997548055,0.14733333333333334
9.823198981307291,0.0802777775888889,0.02768856183409189,0.12466666666666666
9.603597936976602,0.0802777775888889,0.03377528801026437,0.14733333333333334
9.921867599817558,0.0802777775888889,0.027708522384068405,0.14733333333333334
9.912695033287042,0.0625,0.03232131425,0.112
9.56843430866833,0.0802777775888889,0.02863741031630893,0.13866666666666666
9.493110400066943,0.0802777775888889,0.03030603596434584,0.13866666666666666
9.709113657218,0.0802777775888889,0.032566219395020135,0.13866666666666666
9.485013189834323,0.0802777775888889,0.032571829961680204,0.13866666666666666
7.484930283289661,0.09,0.0327719391,0.14733333333333334
9.096499555552423,0.0802777775888889,0.030842352530381548,0.13866666666666666
9.076466063419854,0.09,0.0211147659,0.132
9.92358425423525,0.0802777775888889,0.03169934887937332,0.13866666666666666
9.825147561084876,0.0802777775888889,0.03443014925949395,0.14733333333333334
9.905435653754145,0.0802777775888889,0.020763463092239066,0.112
8.492490578775866,0.09,0.016578663,0.132
0.0,0.09,0.029877404099999998,0.132
9.781941194456632,0.0802777775888889,0.024932502854000976,0.13866666666666666
9.594854193331415,0.09,0.034554305099999995,0.132
9.770241833388766,0.0802777775888889,0.026245059535790125,0.13866666666666666
9.23151460720759,0.09,0.030285103499999997,0.132
9.467537463415244,0.09,0.0328972857,0.132
9.55385915186536,0.09,0.025044959699999998,0.13866666666666666
9.42512911890764,0.09,0.0232139805,0.132
9.815475675212914,0.09,0.0200682429,0.132
9.125762395500885,0.0802777775888889,0.027742927267361266,0.13866666666666666
9.161255164285691,0.09,0.028145825699999998,0.132
9.44137272471063,0.0802777775888889,0.031357359879775656,0.13866666666666666
8.950143756459262,0.09,0.031222621199999998,0.132
10.101600434125091,0.0802777775888889,0.0328387608446995,0.13866666666666666
9.586788531013854,0.0802777775888889,0.021973760240815186,0.13866666666666666
9.41979059615839,0.0802777775888889,0.01578490883142952,0.112
9.692704790920137,0.0802777775888889,0.020777777658888892,0.112
9.90243700089995,0.0802777775888889,0.037785064405546985,0.112
9.904187307650401,0.0802777775888889,0.03156008714620382,0.13866666666666666
9.702594610156739,0.0802777775888889,0.033109479894381004,0.13866666666666666
10.092495041920655,0.0802777775888889,0.030341499947637452,0.11
9.907031266159493,0.09,0.0142499553,0.132
10.625246485085315,0.0625,0.0,0.08
9.736901540128232,0.09,0.0181046343,0.132
8.906393407058367,0.0802777775888889,0.03226832272870393,0.14733333333333334
9.479680250180099,0.09,0.0181934055,0.132
9.006263883379198,0.09,0.0192847305,0.132
9.860475661942838,0.0802777775888889,0.03273014416149395,0.13866666666666666
9.851404472665903,0.0802777775888889,0.030209535747792705,0.12466666666666666
9.354354132115088,0.09,0.0311888289,0.132
9.711176264112805,0.09,0.0308220699,0.132
9.68084387626357,0.0802777775888889,0.022893833956399413,0.12466666666666666
9.325809621782296,0.0802777775888889,0.03352768527722234,0.14733333333333334
9.375939552625749,0.0802777775888889,0.029141633715715726,0.13866666666666666
9.371778717853713,0.0802777775888889,0.03557154909148446,0.14733333333333334
9.354094335620879,0.0802777775888889,0.036601453290272805,0.14733333333333334
10.458521430966439,0.0625,0.010936122,0.08
10.55437942019896,0.0711111112888889,0.0,0.13866666666666666
9.928814110482136,0.0802777775888889,0.029865955548196915,0.13866666666666666
9.088624613292087,0.09,0.0241379139,0.132
0.0,0.0802777775888889,0.03160088459615582,0.14733333333333334
10.12482948190371,0.0802777775888889,0.026712922768573035,0.14733333333333334
9.036582045842716,0.09,0.032380869599999994,0.14733333333333334
10.28677521569959,0.0802777775888889,0.03541351822500371,0.112
9.840494503208207,0.0802777775888889,0.031476277429635754,0.12466666666666666
10.620229181949702,0.0802777775888889,0.0,0.07933333333333334
9.62350906446938,0.0802777775888889,0.03614891187413853,0.14733333333333334
9.68800210296374,0.09,0.0314655786,0.132
9.57983281962553,0.09,0.0183030051,0.132
9.946020083254831,0.09,0.0325960119,0.132
9.737610048158107,0.0802777775888889,0.030962706013573288,0.13866666666666666
10.512926984022588,0.0802777775888889,0.006678230692143259,0.08533333333333333
10.507448265037272,0.0802777775888889,0.01888888896111111,0.112
10.02937102422638,0.09,0.0210199128,0.132
10.474721304097178,0.054444444288888894,0.0066098400572240385,0.112
9.966415402238601,0.09,0.0188331489,0.132
9.419709489868552,0.0802777775888889,0.031085472080095527,0.13866666666666666
10.103935495918149,0.09,0.0128290035,0.132
10.520374446374209,0.0625,0.026571009,0.112
8.95364003713313,0.0802777775888889,0.030163513914513516,0.14733333333333334
10.415951832970627,0.0625,0.024716272,0.112
9.327945614050446,0.0802777775888889,0.03437253909289505,0.14733333333333334
10.470249176632354,0.054444444288888894,0.024653071064781328,0.112
9.776392544732296,0.0802777775888889,0.03373993906030596,0.14733333333333334
9.782956995898381,0.09,0.029584624499999997,0.132
9.318117964149614,0.09,0.018272501099999998,0.132
9.721545923560459,0.0802777775888889,0.03126667451321568,0.13866666666666666
9.91353688838913,0.09,0.0272646177,0.132
9.504948404498696,0.0802777775888889,0.028363377683297986,0.13866666666666666
9.865526046249009,0.0802777775888889,0.02974906298166777,0.12466666666666666
9.841665338892785,0.0625,0.0305192335,0.112
9.336444248771908,0.09,0.017200807199999998,0.132
9.929593799620607,0.0802777775888889,0.03160715646281511,0.14733333333333334
9.840174946324362,0.0802777775888889,0.027561809550907677,0.14733333333333334
9.340491056441229,0.0802777775888889,0.024398043254629756,0.13866666666666666
9.689365683192376,0.0802777775888889,0.02872415649954021,0.13866666666666666
9.73831805455974,0.09,0.0219999999,0.132
9.758519582283522,0.09,0.0344818794,0.132
9.74899514766085,0.0802777775888889,0.032119603895545565,0.13866666666666666
10.203555107263542,0.09,0.029364006899999996,0.132
9.317938382574201,0.0802777775888889,0.031172529079993107,0.13866666666666666
10.178540208587767,0.09,0.0228124563,0.132
9.717519354821976,0.09,0.030413812799999995,0.132
