model,fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
logreg,1,540071,134910,190839,47244,0.9330516640723445,0.8737480438184664,0.9454322241977817,0.9863057600376601,0.7598636863940395,0.8966761712399359,81212,6454,2578,44666,0.07362033171354915,0.05456777580221827
logreg,2,539981,135000,190478,47605,0.9324666666666667,0.872152388319474,0.9473584707488709,0.986186850631549,0.7579245877533872,0.9014144717065277,80784,6611,2506,45099,0.07564505978602895,0.05264152925112908
logreg,3,539981,135000,191385,46698,0.9333333333333333,0.8704307837434164,0.948456036661099,0.98646043380774,0.75872628378089,0.9030583687774504,81709,6593,2407,44291,0.0746642205159566,0.051543963338901023
logreg,4,540000,134981,189309,48774,0.9320052451826554,0.8730544563783682,0.9499528437282159,0.9862901304716081,0.7576372657563456,0.9078702052449642,79470,6737,2441,46333,0.07814910622107253,0.050047156271784146
logreg,5,539891,135090,190321,47762,0.9320453031312458,0.8728738209370651,0.9455006071772539,0.9859106946837861,0.7590553159415435,0.8993143355060184,80751,6577,2603,45159,0.07531375961890803,0.054499392822746115
linear_svm,1,540071,134910,190839,47244,0.9329627158846638,0.8736891532321177,0.9452205571077809,0.9864539267592135,0.7633350266700534,0.7133943242851233,81210,6456,2588,44656,0.07364314557525152,0.054779442892219116
linear_svm,2,539981,135000,190478,47605,0.9328740740740741,0.8723169954212631,0.9484717991807583,0.986391249014775,0.7611595420649091,0.7321346278873975,80786,6609,2453,45152,0.07562217518164654,0.05152820081924168
linear_svm,3,539981,135000,191385,46698,0.9332,0.8701666142722414,0.948391794081117,0.9866030544402942,0.7621097263266092,0.7350039275624214,81694,6608,2410,44288,0.07483409209304433,0.051608205918883036
linear_svm,4,540000,134981,189309,48774,0.9319015268815611,0.8729506652093619,0.9497683191864518,0.9864223099988909,0.7610407184155493,0.7532800711754044,79465,6742,2450,46324,0.07820710615147262,0.0502316808135482
linear_svm,5,539891,135090,190321,47762,0.9317418017617884,0.8719671086918757,0.9458146643775386,0.9860253351999592,0.7608349734098238,0.7284340401888358,80695,6633,2588,45174,0.07595502015390253,0.05418533562246137
random_forest,1,540071,134910,190839,47244,0.9972648432288193,0.9953712510303722,0.9968249936499873,0.9999655693898419,0.9995978325289984,0.17427199208295294,87447,219,150,47094,0.0024981178564095546,0.0031750063500127
random_forest,2,539981,135000,190478,47605,0.9970444444444444,0.9946766148300289,0.9969541014599307,0.9999617415371418,0.9996218884570949,0.19398457500617908,87141,254,145,47460,0.002906344756565021,0.0030458985400693204
random_forest,3,539981,135000,191385,46698,0.9977925925925926,0.9958536376848764,0.9977729238939569,0.9999730497689241,0.999550301940126,0.17049665350580456,88108,194,104,46594,0.002197005730334534,0.0022270761060430855
random_forest,4,540000,134981,189309,48774,0.997066253769049,0.9944805593033239,0.9974166564153032,0.9999644841694078,0.9998154754582359,0.19184774315691597,85937,270,126,48648,0.00313199624160451,0.0025833435846967646
random_forest,5,539891,135090,190321,47762,0.9974609519579539,0.995548124150904,0.9972781709308656,0.999967379451712,0.9997906285331435,0.18417798336558983,87115,213,130,47632,0.0024390802491755224,0.0027218290691344584
hist_gbdt,1,540071,134910,190839,47244,0.9957823734341413,0.9939048909017798,0.9940521547709762,0.9999316108089323,0.9989628312589959,0.18432594407180244,87378,288,281,46963,0.0032851960851413317,0.0059478452290237915
hist_gbdt,2,539981,135000,190478,47605,0.9956962962962963,0.9935970105386909,0.9942022896754542,0.9999334375527044,0.9989076777649406,0.1823396823781987,87090,305,276,47329,0.003489902168316265,0.005797710324545741
hist_gbdt,3,539981,135000,191385,46698,0.996,0.9934995509558227,0.9949462503747484,0.9999374588761616,0.9989935329136151,0.19433451104658941,87998,304,236,46462,0.003442730628977826,0.005053749625251617
hist_gbdt,4,540000,134981,189309,48774,0.9957475496551367,0.9931652615208316,0.9950793455529585,0.9999306156776353,0.999118382744905,0.20212934467358265,85873,334,240,48534,0.0038743953507255793,0.004920654447041457
hist_gbdt,5,539891,135090,190321,47762,0.9956177363239322,0.9934513348397356,0.9941585360747037,0.9999324781334941,0.9989740798124032,0.1985477310572846,87015,313,279,47483,0.0035841883473799927,0.0058414639252962605
