spare_cap_x_hH,floor_area_pressure,tall_item_share
5212.014575237,0.5506666666666666,0.875
1804.2095279100001,1.0933333333333333,0.7857142857142857
4015.714823663,0.6793333333333333,0.8888888888888888
3467.8,0.7673333333333333,0.7
2655.545453028,0.8226666666666667,0.8181818181818182
2605.208329165,0.9033333333333333,0.8
3032.5649999999996,0.8766666666666667,0.8
2639.981817034,0.8553333333333333,0.8181818181818182
3688.055557725,0.6646666666666667,0.7777777777777778
4554.549991991999,0.5986666666666667,0.75
5221.070840726,0.5640000000000001,1.0
2512.033337198,0.84,0.9
2108.607138888,0.9660000000000001,0.8571428571428571
4153.798493338,0.7366666666666667,0.8181818181818182
3462.2222204,0.7053333333333334,0.8888888888888888
4440.811104408001,0.66,0.7777777777777778
2658.211112492,0.88,0.8333333333333334
2737.366670878,0.8466666666666667,0.9
1508.46428889,0.998,0.8571428571428571
4957.177788496,0.48933333333333334,1.0
4514.357136838,0.5406666666666666,1.0
5096.750008584,0.6826666666666668,0.625
4067.0,0.6866666666666666,0.7777777777777778
4555.7166590100005,0.614,1.0
1754.3743565159998,0.992,0.8461538461538461
8272.783322116,0.3006666666666667,1.0
9480.799986456,0.112,1.0
4001.57407477,0.7473333333333334,0.7777777777777778
4316.400003168,0.7946666666666667,0.6666666666666666
2265.627772912,0.9693333333333334,0.8333333333333334
2104.615381248,0.9293333333333333,0.8461538461538461
3030.109088384,0.7853333333333333,0.9090909090909091
8494.0,0.25066666666666665,1.0
3944.214816108,0.6453333333333334,1.0
2241.687174538,1.0533333333333335,0.7692307692307693
3775.7999999999997,0.748,0.9
4463.555562048,0.7626666666666667,0.6666666666666666
3165.436355904,0.9133333333333333,0.7272727272727273
1824.229169645,1.0433333333333334,0.75
2515.681815163,0.8766666666666667,0.9090909090909091
3754.585193458,0.72,1.0
1501.56250155,0.9,1.0
3587.5227352449997,0.8873333333333334,0.7272727272727273
2449.352780462,1.002,0.75
2920.845458122,0.7613333333333334,1.0
2921.192417802,0.7806666666666667,0.8181818181818182
3315.984848995,0.8033333333333333,0.7272727272727273
1028.237177842,1.002,0.9230769230769231
5609.877766416,0.5113333333333333,0.8333333333333334
2491.744449832,0.8913333333333333,0.8333333333333334
4662.350007612,0.668,0.75
4374.600007608,0.6733333333333333,0.8
4669.16667385,0.608,1.0
2898.190914024,0.8180000000000001,0.9090909090909091
1921.912497099,0.984,0.9166666666666666
3179.360005128,0.8480000000000001,0.8
3166.340005107,0.8446666666666667,0.8
3607.30908252,0.7853333333333333,0.8181818181818182
3008.299999551,0.8806666666666667,0.8181818181818182
3765.36363945,0.8866666666666667,0.5454545454545454
3962.044438464,0.6786666666666666,0.7777777777777778
2969.37121819,0.8446666666666667,0.9090909090909091
2561.268061452,0.9326666666666668,0.75
3375.5299999999997,0.7753333333333333,0.8
2577.16666228,0.9,0.75
385.66666726,1.188,0.8666666666666667
1742.109521685,1.0486666666666666,0.7857142857142857
1955.702776806,0.8733333333333334,1.0
4081.0,0.6633333333333333,0.7777777777777778
3790.8599999999997,0.784,0.8
4452.888884436,0.6133333333333334,1.0
1100.451283802,0.9620000000000001,1.0
-980.847369166,1.3186666666666667,0.8947368421052632
3902.7592527,0.688,1.0
2888.640004896,0.7726666666666667,0.8
3922.192591296,0.6873333333333334,1.0
2198.631946714,0.882,0.9166666666666666
2821.527270376,0.844,0.8181818181818182
3054.5666713660003,0.788,1.0
2616.722220845,0.8626666666666667,1.0
4464.037499999999,0.64,1.0
1925.1047662800001,1.0006666666666666,0.8571428571428571
2089.11110688,0.8973333333333333,0.9166666666666666
2471.146151908,0.9520000000000001,0.7692307692307693
1610.774359172,0.9613333333333334,0.8461538461538461
4622.231241873,0.6073333333333334,0.75
3289.28788232,0.7966666666666666,1.0
2802.0454511830003,0.782,1.0
3644.55,0.6933333333333334,1.0
3995.6000000000004,0.678,0.7777777777777778
3891.416657772,0.7193333333333334,0.7777777777777778
3408.1249945470004,0.7426666666666667,0.8
4474.0740696,0.6453333333333333,0.6666666666666666
4348.50000669,0.5686666666666667,1.0
10290.0,0.08,1.0
3793.5740728200003,0.6773333333333333,1.0
1501.950003162,1.1093333333333333,0.7857142857142857
2967.0666710299997,0.7573333333333334,1.0
1890.0136378460002,0.862,1.0
3512.116660281,0.7246666666666667,0.8
3739.272727848,0.7533333333333333,0.8181818181818182
2373.755560688,0.8813333333333333,0.8333333333333334
3452.7777735,0.7086666666666667,0.8888888888888888
3419.677278548,0.7626666666666667,1.0
2260.187501247,1.0166666666666666,0.75
2376.3888902,0.924,0.8333333333333334
2382.8416692779997,0.9846666666666667,0.75
2373.13889402,0.984,0.75
6967.8,0.222,1.0
10225.066679448,0.13866666666666666,1.0
4026.429623552,0.696,0.7777777777777778
1955.037497049,0.906,1.0
-16.222222206,1.2246666666666668,0.8666666666666667
5169.042853578,0.6546666666666667,0.7142857142857143
1820.866669468,1.0366666666666666,0.8461538461538461
6259.413323553001,0.42800000000000005,0.8
3755.6000000000004,0.7526666666666667,0.8181818181818182
11603.633319682001,0.07933333333333334,1.0
3174.15,0.844,0.8
