dim_l_occupancy_sum,fragile_vol_share,needle_frac,dim_m_tail_ratio
3.45,0.0,0.125,1.1851851851851851
5.3500000000000005,0.0,0.07142857142857142,1.1428571428571428
3.95,0.0,0.0,1.1333333333333333
4.016666666666667,0.0,0.0,1.2384615384615385
4.783333333333333,0.0,0.0,1.1333333333333333
3.966666666666667,0.0,0.0,1.1500000000000001
3.8666666666666667,0.0,0.0,1.0857142857142856
4.55,0.0,0.0,1.1333333333333333
3.8,0.0,0.0,1.3499999999999999
3.1500000000000004,0.0,0.0,1.25
3.65,0.0,0.125,1.08125
4.333333333333333,0.0,0.0,1.1400000000000001
5.666666666666667,0.0,0.07142857142857142,1.36
4.25,0.0,0.09090909090909091,1.3076923076923077
4.083333333333334,0.0,0.0,1.157142857142857
3.4333333333333336,0.0,0.0,1.4166666666666667
5.016666666666667,0.0,0.08333333333333333,1.2592592592592593
4.35,0.0,0.0,1.1724137931034482
5.966666666666667,0.0,0.07142857142857142,1.3360000000000003
2.9166666666666665,0.0,0.0,1.2692307692307692
3.4,0.0,0.0,1.0933333333333333
2.566666666666667,0.0,0.0,1.1142857142857143
3.533333333333333,0.0,0.0,1.4166666666666667
3.966666666666667,0.0,0.1111111111111111,1.1333333333333333
5.283333333333333,0.0,0.0,1.4166666666666667
1.6833333333333333,0.0,0.25,1.0666666666666667
0.43333333333333335,0.0,0.0,1.0
3.716666666666667,0.0,0.0,1.2142857142857142
3.0,0.0,0.0,1.1
4.783333333333333,0.0,0.0,1.207142857142857
5.3,0.0,0.0,1.4166666666666667
4.966666666666667,0.0,0.09090909090909091,1.2142857142857142
0.9666666666666667,0.0,0.0,1.0533333333333335
4.3,0.0,0.1111111111111111,1.1466666666666667
4.733333333333333,0.0,0.0,1.1857142857142857
4.05,0.0,0.0,1.1333333333333333
3.1,0.0,0.0,1.1
3.916666666666667,0.0,0.0,1.2142857142857142
4.633333333333334,0.0,0.0,1.1357142857142857
4.7,0.0,0.09090909090909091,1.1333333333333333
3.8166666666666664,0.0,0.0,1.0625
5.7,0.0,0.08333333333333333,1.1851851851851851
3.916666666666667,0.0,0.0,1.2142857142857142
4.4,0.0,0.0,1.2142857142857142
5.166666666666666,0.0,0.09090909090909091,1.1333333333333333
4.666666666666667,0.0,0.0,1.4166666666666667
4.35,0.0,0.0,1.4166666666666667
5.95,0.0,0.07692307692307693,1.2
2.6333333333333333,0.0,0.0,1.25
4.883333333333333,0.0,0.0,1.2142857142857142
3.1500000000000004,0.0,0.0,1.1142857142857143
3.783333333333333,0.0,0.0,1.4166666666666667
3.3833333333333333,0.0,0.0,1.0625
4.833333333333333,0.0,0.09090909090909091,1.1428571428571428
5.116666666666667,0.0,0.08333333333333333,1.207142857142857
4.116666666666667,0.0,0.0,1.2214285714285715
3.966666666666667,0.0,0.0,1.0857142857142856
4.216666666666667,0.0,0.0,1.4166666666666667
4.3,0.0,0.0,1.2142857142857142
3.5,0.0,0.0,1.25
3.6833333333333336,0.0,0.0,1.25
4.333333333333333,0.0,0.0,1.1333333333333333
4.4,0.0,0.0,1.4083333333333332
4.016666666666667,0.0,0.0,1.2142857142857142
4.633333333333333,0.0,0.0,1.4083333333333332
6.2,0.0,0.06666666666666667,1.2142857142857142
5.266666666666667,0.0,0.0,1.4166666666666667
5.6,0.0,0.08333333333333333,1.1724137931034482
3.6833333333333336,0.0,0.0,1.4166666666666667
4.016666666666667,0.0,0.0,1.2142857142857142
4.1,0.0,0.1111111111111111,1.2142857142857142
6.083333333333333,0.0,0.07692307692307693,1.1333333333333333
8.083333333333334,0.0,0.05263157894736842,1.3076923076923077
3.9166666666666665,0.0,0.0,1.0625
4.416666666666667,0.0,0.0,1.425
3.95,0.0,0.0,1.0625
5.25,0.0,0.08333333333333333,1.207142857142857
4.683333333333334,0.0,0.09090909090909091,1.2142857142857142
4.35,0.0,0.0,1.06875
5.133333333333333,0.0,0.08333333333333333,1.2592592592592593
3.75,0.0,0.125,1.1161290322580646
5.566666666666666,0.0,0.07142857142857142,1.1724137931034482
5.4,0.0,0.08333333333333333,1.207142857142857
4.983333333333333,0.0,0.0,1.4166666666666667
5.666666666666667,0.0,0.07692307692307693,1.2923076923076924
2.966666666666667,0.0,0.0,1.4166666666666667
4.633333333333333,0.0,0.09090909090909091,1.0625
5.116666666666667,0.0,0.09090909090909091,1.1333333333333333
4.633333333333333,0.0,0.1,1.1724137931034482
3.716666666666667,0.0,0.0,1.2833333333333334
3.4,0.0,0.0,1.4166666666666667
4.25,0.0,0.0,1.2142857142857142
3.2333333333333334,0.0,0.0,1.3499999999999999
3.4833333333333334,0.0,0.0,1.2428571428571427
0.5333333333333333,0.0,0.0,1.0
4.2,0.0,0.1111111111111111,1.2285714285714284
5.45,0.0,0.0,1.192857142857143
4.733333333333333,0.0,0.1,1.1793103448275863
5.283333333333333,0.0,0.09090909090909091,1.1333333333333333
3.95,0.0,0.0,1.4166666666666667
4.316666666666666,0.0,0.0,1.4166666666666667
5.133333333333333,0.0,0.08333333333333333,1.3519999999999999
4.15,0.0,0.0,1.2285714285714284
4.7,0.0,0.09090909090909091,1.2142857142857142
4.533333333333333,0.0,0.0,1.0714285714285714
4.75,0.0,0.0,1.3076923076923077
4.633333333333334,0.0,0.0,1.0714285714285714
4.666666666666667,0.0,0.0,1.2
1.5333333333333334,0.0,0.0,1.2
0.5333333333333333,0.0,0.0,1.0
3.45,0.0,0.0,1.4166666666666667
5.366666666666667,0.0,0.08333333333333333,1.1724137931034482
6.216666666666667,0.0,0.06666666666666667,1.1857142857142857
2.3333333333333335,0.0,0.0,1.1285714285714286
5.366666666666667,0.0,0.07692307692307693,1.2
1.95,0.0,0.0,1.157142857142857
4.35,0.0,0.0,1.4166666666666667
0.5666666666666667,0.0,0.0,1.0
4.0,0.0,0.0,1.2142857142857142
4.666666666666667,0.0,0.09090909090909091,1.3333333333333333
4.666666666666667,0.0,0.1,1.06875
3.716666666666667,0.0,0.0,1.330769230769231
4.116666666666667,0.0,0.0,1.4166666666666667
1.35,0.0,0.0,1.05
1.0,0.0,0.0,1.0774193548387097
3.3166666666666664,0.0,0.14285714285714285,1.0875
1.4166666666666667,0.0,0.0,1.1333333333333333
3.7666666666666666,0.0,0.125,1.193103448275862
4.85,0.0,0.0,1.2592592592592593
3.05,0.0,0.0,1.2962962962962963
1.1,0.0,0.0,1.0
5.266666666666667,0.0,0.0,1.2142857142857142
1.3833333333333333,0.0,0.0,1.176
4.966666666666667,0.0,0.0,1.1857142857142857
1.3666666666666667,0.0,0.0,1.1166666666666667
4.133333333333334,0.0,0.0,1.169230769230769
4.433333333333334,0.0,0.1,1.2666666666666668
5.3,0.0,0.09090909090909091,1.3076923076923077
3.9833333333333334,0.0,0.0,1.2592592592592593
3.683333333333333,0.0,0.0,1.2814814814814814
4.933333333333334,0.0,0.08333333333333333,1.1655172413793102
4.45,0.0,0.0,1.4166666666666667
4.133333333333334,0.0,0.0,1.25
5.266666666666667,0.0,0.09090909090909091,1.2307692307692308
3.55,0.0,0.0,1.169230769230769
3.816666666666667,0.0,0.09090909090909091,1.1428571428571428
4.916666666666667,0.0,0.0,1.1333333333333333
3.8833333333333333,0.0,0.0,1.3076923076923077
4.633333333333333,0.0,0.1,1.1793103448275863
4.25,0.0,0.1,1.2214285714285715
3.916666666666667,0.0,0.0,1.4166666666666667
2.8833333333333333,0.0,0.14285714285714285,1.2
5.233333333333333,0.0,0.0,1.4166666666666667
2.85,0.0,0.14285714285714285,1.0875
4.65,0.0,0.08333333333333333,1.36
3.6833333333333336,0.0,0.1,1.36
3.5,0.0,0.0,1.2142857142857142
5.083333333333334,0.0,0.0,1.25
3.333333333333333,0.0,0.14285714285714285,1.0933333333333333
5.25,0.0,0.08333333333333333,1.1724137931034482
5.833333333333334,0.0,0.08333333333333333,1.207142857142857
5.85,0.0,0.0,1.4166666666666667
4.833333333333333,0.0,0.1,1.103225806451613
0.9833333333333334,0.0,0.0,1.16
4.683333333333334,0.0,0.09090909090909091,1.2307692307692308
5.083333333333333,0.0,0.09090909090909091,1.1333333333333333
4.683333333333334,0.0,0.08333333333333333,1.1428571428571428
4.7,0.0,0.09090909090909091,1.4166666666666667
0.6666666666666667,0.0,0.0,1.2666666666666668
4.066666666666666,0.0,0.0,1.2142857142857142
4.366666666666667,0.0,0.0,1.25
4.0,0.0,0.0,1.2285714285714284
4.266666666666667,0.0,0.1,1.103225806451613
4.0,0.0,0.0,1.4333333333333333
4.733333333333333,0.0,0.0,1.4166666666666667
4.7,0.0,0.08333333333333333,1.1655172413793102
4.4,0.0,0.0,1.1466666666666667
4.75,0.0,0.0,1.4166666666666667
6.883333333333334,0.0,0.0625,1.1785714285714286
3.4166666666666665,0.0,0.0,1.4166666666666667
3.1166666666666667,0.0,0.0,1.3
6.833333333333334,0.0,0.0,1.2142857142857142
3.7333333333333334,0.0,0.125,1.1857142857142857
0.9666666666666667,0.0,0.0,1.0275862068965518
3.4333333333333336,0.0,0.0,1.1
4.933333333333334,0.0,0.09090909090909091,1.1333333333333333
1.3,0.0,0.0,1.1714285714285713
5.033333333333333,0.0,0.0,1.25
4.316666666666666,0.0,0.0,1.4166666666666667
4.166666666666667,0.0,0.1111111111111111,1.1714285714285713
0.8666666666666667,0.0,0.0,1.2461538461538462
4.683333333333334,0.0,0.1,1.096774193548387
