spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items,spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio,spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL,spare_cap_x_sku_counts,n_items_near_vL,n_tall_items,n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL,q90_l_to_L,spare_cap_x_n_wide,height_tail_share
480135744,6387.316819224,16516170.0,0.522002772002772,0,9.994835346995403,0.0802777775888889,0.032258919178715,0.14733333333333334,2711610.0,6.0909090908598715,0.5333333333244444,197208,1,1,3,4,21912,0.4666666666666667,65736,0.0
254338704,5058.416095956,16041029.994684001,0.48072421864243425,0,9.677151410322754,0.0802777775888889,0.03128835772985684,0.14733333333333334,2764319.9994683997,5.802884614544,0.5333333333244444,175428,2,4,4,4,31896,0.5333333333333333,63792,0.0
79834225,2499.6854429000005,10625204.169645,0.4122556495216969,0,9.097843340749037,0.0802777775888889,0.03557154909148446,0.14733333333333334,1548733.3330355,6.860576926279762,0.5499999999908334,107220,3,2,4,7,26805,0.5333333333333333,35740,0.0
122522761,2677.592173693,11359561.25,0.411747369661961,1,9.311994025702683,0.09,0.030694441799999996,0.132,1438970.0,7.894230769170045,0.5666666666572222,121759,3,4,0,7,33207,0.5333333333333333,0,0.0
295221124,4664.685046406,15334935.0,0.524013228844633,0,9.751675801946746,0.0802777775888889,0.0229308732730225,0.13866666666666666,2978213.3327606,5.149038462498956,0.5333333333244444,154638,2,5,1,5,34364,0.5333333333333333,17182,0.0
48650625,1426.8027008249999,8811749.997675,0.35124260355029585,1,8.850230965588816,0.09,0.0168942792,0.132,1116000.0,7.8958333312006515,0.5499999999908334,83700,4,3,0,9,27900,0.5333333333333333,0,0.0
307616521,5141.371655976,16340501.667251298,0.4202323294854521,0,9.772239265926174,0.0802777775888889,0.02907172234913131,0.14733333333333334,2331225.4172513,7.009404387154937,0.4833333333252778,192929,0,3,3,6,0,0.45,52617,0.0
145902241,3694.732443824,13533512.920692999,0.42422769660702897,0,9.399306471488806,0.0802777775888889,0.02949814383196297,0.14733333333333334,2093693.3329307,6.463942310821159,0.5333333333244444,144948,1,5,4,7,12079,0.47833333333333333,48316,0.0
171976996,2868.75333228,13556597.5,0.40876873863137425,1,9.481511892300974,0.09,0.0218276496,0.132,1639250.0,8.26999999993384,0.5666666666572222,144254,4,5,0,6,52456,0.5333333333333333,0,0.0
230462761,4499.470949291001,16958442.078273002,0.4555484758040176,0,9.627865794576714,0.0802777775888889,0.030258300247735334,0.13866666666666666,2631373.3328273,6.444711537740649,0.5333333333244444,166991,2,4,2,6,30362,0.5333333333333333,30362,0.0
283417225,5493.096055720001,17304977.088944998,0.44864193147523523,0,9.731274729890462,0.0802777775888889,0.03319741947761088,0.13866666666666666,2918066.6661055,5.930288464567766,0.5333333333244444,185185,2,4,3,5,33670,0.5333333333333333,50505,0.0
21003889,1157.5318801570002,5835686.665139,0.3355518717371403,1,8.430327258394575,0.09,0.0286996278,0.132,733280.0,7.9583333312002615,0.5666666666572222,59579,5,4,1,9,22915,0.5466666666666667,4583,0.0
653518096,7472.106647235999,15359703.332481202,0.6977773204363038,0,10.148979507514099,0.09,0.0351682464,0.132,3323320.0,4.62179487150291,0.5666666666572222,153384,2,2,1,3,51128,0.55,25564,0.0
146942884,3862.778130926,13687758.337374,0.4335726017397652,0,9.402859753746583,0.0802777775888889,0.03213386547886212,0.13866666666666666,2101146.6662626,6.514423080061345,0.5666666666572222,145464,3,6,2,6,36366,0.5333333333333333,24244,0.0
521482896,6701.911106879999,17393420.0007612,0.48177224327738677,0,10.036137306631591,0.0802777775888889,0.0353181499251159,0.14733333333333334,3653760.0,4.760416666845248,0.5499999999908334,182688,2,1,3,5,45672,0.5383333333333333,68508,0.0
520934976,7386.107803272,19552560.000760797,0.4298791486291486,0,10.03561170546317,0.0802777775888889,0.028584075649705012,0.12466666666666666,3033690.0007608,6.445141064416678,0.5333333333244444,228240,1,4,1,4,22824,0.48833333333333334,22824,0.0
464402500,6131.5445234,16431875.0,0.57727078891258,0,9.978177498167572,0.0802777775888889,0.024301958971409465,0.13866666666666666,3735333.3326149997,4.3990384623590515,0.5333333333244444,172400,2,5,1,4,43100,0.5333333333333333,21550,0.0
184036356,3566.976630546,13933412.495478,0.4248902462301966,1,9.515395652485308,0.09,0.027090299099999996,0.132,1763580.0,7.90064102301615,0.5333333333244444,149226,2,3,1,6,27132,0.5333333333333333,13566,0.0
75742209,2171.143780596,10051965.0,0.3679642945697992,1,9.071537969095724,0.09,0.0269612634,0.14733333333333334,1131390.0,8.884615384547041,0.5333333333244444,104436,2,4,2,8,17406,0.53,17406,0.0
236667456,4407.680178048,15396819.994872,0.41767963263101027,0,9.641148287756142,0.09,0.036,0.14733333333333334,2461440.0,6.2552083312109055,0.5499999999908334,153840,3,2,3,6,46152,0.535,46152,0.0
234733041,3900.4888027589996,15167790.0,0.4060783719128003,0,9.637044983076766,0.0802777775888889,0.03500819997548055,0.14733333333333334,2451360.0,6.187499999961329,0.5499999999908334,153210,3,1,2,7,45963,0.535,30642,0.0
340623936,5703.48019632,18209920.0006152,0.42378691983122363,0,9.823198981307291,0.0802777775888889,0.02768856183409189,0.12466666666666666,2453110.0006152,7.423197490496327,0.5333333333244444,203016,1,4,1,5,18456,0.48333333333333334,18456,0.0
219543489,4028.0884406070004,15607239.995061,0.38687340555942085,0,9.603597936976602,0.0802777775888889,0.03377528801026437,0.14733333333333334,2370720.0,6.583333331208855,0.5499999999908334,162987,3,2,2,6,44451,0.5333333333333333,29634,0.0
414936900,5872.368749939999,18630062.499321003,0.45164433617539584,0,9.921867599817558,0.0802777775888889,0.027708522384068405,0.14733333333333334,2648100.0,7.035256409945884,0.4499999999925,224070,0,1,4,4,0,0.43333333333333335,81480,0.0
407393856,5574.4125786,17400289.9993272,0.4738878143133462,0,9.912695033287042,0.0625,0.03232131425,0.112,3229440.0,5.388020833091326,0.5499999999908334,181656,3,0,1,5,60552,0.5366666666666666,20184,0.0
204633025,4101.944087375,14543416.671435,0.4777325297279687,0,9.56843430866833,0.0802777775888889,0.02863741031630893,0.13866666666666666,2479533.3328565,5.865384618401812,0.5333333333244444,157355,2,5,1,5,28610,0.5333333333333333,14305,0.0
176013289,4002.341143742,14781649.171089,0.46210569438754606,0,9.493110400066943,0.0802777775888889,0.03030603596434584,0.13866666666666666,2299613.3328911,6.427884618506741,0.5333333333244444,159204,1,4,2,6,13267,0.48000000000000004,26534,0.0
271129156,5260.932347364,15793638.3338822,0.49957944907829255,0,9.709113657218,0.0802777775888889,0.032566219395020135,0.13866666666666666,2854106.6661178,5.533653847378393,0.5666666666572222,164660,2,5,2,6,32932,0.5366666666666666,32932,0.0
173185600,3927.78751652,15128516.66228,0.45348618090452264,0,9.485013189834323,0.0802777775888889,0.032571829961680204,0.13866666666666666,2281066.666228,6.632211537775625,0.5333333333244444,157920,2,4,2,6,26320,0.5283333333333333,26320,0.0
3168400,474.15363032,2453433.33274,0.31580286904211013,1,7.484930283289661,0.09,0.0327719391,0.14733333333333334,222500.0,11.026666663911787,0.5666666666572222,26700,3,5,2,9,5340,0.5333333333333333,3560,0.0
79619929,2736.5519949850004,11458619.169641,0.40646395210244757,0,9.096499555552423,0.0802777775888889,0.030842352530381548,0.13866666666666666,1546653.3330359,7.408653849458923,0.5333333333244444,124922,2,5,2,6,17846,0.5183333333333334,17846,0.0
