height_pressure_share,long_wide_item_share,spare_x_volcv
0.0,0.25,-7632.494490041693
0.0,0.14285714285714285,-3327.345871040638
0.0,0.2222222222222222,-9898.473945136348
0.0,0.2,-10036.50835072504
0.0,0.2727272727272727,-6297.245380947362
0.0,0.3,-6098.447226257338
0.0,0.2,-5590.194912916923
0.0,0.2727272727272727,-6959.058093044332
0.0,0.1111111111111111,-11143.062838739754
0.0,0.25,-11297.436030732968
0.0,0.125,-8763.501660902282
0.0,0.2,-5909.616913875312
0.0,0.07142857142857142,-4459.621163236145
0.0,0.09090909090909091,-8124.026995000284
0.0,0.3333333333333333,-7829.19969120238
0.0,0.1111111111111111,-11312.51723620849
0.0,0.08333333333333333,-5285.657029723677
0.0,0.2,-5624.867231686059
0.0,0.07142857142857142,-3072.425727828916
0.0,0.16666666666666666,-9055.902696744746
0.0,0.2857142857142857,-10034.328738427728
0.0,0.0,-13164.43031558423
0.0,0.2222222222222222,-13280.683190101243
0.0,0.2222222222222222,-8719.615860293268
0.0,0.07692307692307693,-4977.213372968458
0.0,0.0,-12318.728794065762
0.0,0.0,0.0
0.0,0.3333333333333333,-6308.206096394775
0.0,0.0,-10784.727178102943
0.0,0.16666666666666666,-3744.2964608851466
0.0,0.07692307692307693,-6187.888331632837
0.0,0.18181818181818182,-5877.727896599694
0.0,0.5,-9972.206860337452
0.0,0.2222222222222222,-6563.068111874916
0.0,0.15384615384615385,-5275.896013716457
0.0,0.1,-10956.911203053935
0.0,0.1111111111111111,-10641.45327551499
0.0,0.09090909090909091,-9704.91226594825
0.0,0.25,-4679.6469503761455
0.0,0.18181818181818182,-4737.494374368416
0.0,0.1111111111111111,-9436.538157896563
0.0,0.25,-2254.1804447599034
0.0,0.0,-7514.216474220729
0.0,0.08333333333333333,-6751.827395967446
0.0,0.18181818181818182,-4937.9388131095475
0.0,0.09090909090909091,-8234.408062703435
0.0,0.09090909090909091,-9795.404835148887
0.0,0.3076923076923077,-1625.639609821702
0.0,0.16666666666666666,-12098.930296974055
0.0,0.16666666666666666,-6832.994651929981
0.0,0.25,-7758.045093912498
0.0,0.0,-8727.213198802394
0.0,0.125,-12800.001513159244
0.0,0.09090909090909091,-5854.19595775939
0.0,0.08333333333333333,-3187.187655979903
0.0,0.2,-5923.945863996185
0.0,0.3,-5590.619897820642
0.0,0.0,-7901.946593817881
0.0,0.18181818181818182,-5545.146422553271
0.0,0.0,-9858.637352029687
0.0,0.3333333333333333,-8950.550770662012
0.0,0.09090909090909091,-8584.791596653302
0.0,0.08333333333333333,-8327.034176409612
0.0,0.2,-9700.04472243961
0.0,0.08333333333333333,-7642.135004182621
0.0,0.13333333333333333,-734.09147763539
0.0,0.07142857142857142,-5322.7390413251505
0.0,0.16666666666666666,-3253.1474011470405
0.0,0.1111111111111111,-11700.804230830785
0.0,0.2,-6067.75549543494
0.0,0.1111111111111111,-7057.13179026371
0.0,0.15384615384615385,-1657.7937638483447
0.0,0.10526315789473684,1920.9967270974569
0.0,0.2222222222222222,-9675.138867273925
0.0,0.2,-6402.283418603084
0.0,0.2222222222222222,-9570.701258896304
0.0,0.16666666666666666,-4477.481722584609
0.0,0.18181818181818182,-5407.362739065835
0.0,0.1,-7794.676580124896
0.0,0.0,-5638.738142324968
0.0,0.25,-6340.880634975627
0.0,0.07142857142857142,-4950.008302876734
0.0,0.16666666666666666,-3943.526244983185
0.0,0.07692307692307693,-7530.864146369642
0.0,0.15384615384615385,-3194.8997187610757
0.0,0.125,-17410.284518319488
0.0,0.09090909090909091,-7834.348861082829
0.0,0.18181818181818182,-3759.150152173894
0.0,0.2,-5515.564038266625
0.0,0.3333333333333333,-8962.173832455259
0.0,0.1111111111111111,-13134.636129653816
0.0,0.2,-8765.58543213036
0.0,0.0,-10800.411668197308
0.0,0.2857142857142857,-6830.807507170602
0.0,1.0,0.0
0.0,0.1111111111111111,-6553.110174959656
0.0,0.14285714285714285,-2781.0853399638386
0.0,0.2,-4761.725480567062
0.0,0.36363636363636365,-2356.5325210296087
0.0,0.1,-12518.003590018
0.0,0.09090909090909091,-7556.923665073186
0.0,0.08333333333333333,-4987.416062000659
0.0,0.2222222222222222,-7088.025627097245
0.0,0.09090909090909091,-6629.284993835893
0.0,0.16666666666666666,-4710.304017324862
0.0,0.08333333333333333,-6703.43375212385
0.0,0.25,-4778.991915097734
0.0,0.25,-4745.693301115464
0.0,0.6666666666666666,-1310.2589540263843
0.0,1.0,0.0
0.0,0.1111111111111111,-13016.56774765545
0.0,0.16666666666666666,-3775.961995028502
0.0,0.26666666666666666,25.49376499843546
0.0,0.0,-11863.083967698913
0.0,0.15384615384615385,-3076.5669810294376
0.0,0.2,-14923.599385807049
0.0,0.09090909090909091,-7681.766330256765
0.0,1.0,0.0
0.0,0.3,-5579.593256190331
0.0,0.09090909090909091,-6915.786799217862
0.0,0.2,-4780.055058216608
0.0,0.25,-9492.93544215405
0.0,0.09090909090909091,-10784.440117846993
0.0,0.0,-7423.986704886583
0.0,0.5,-1980.0284078646466
0.0,0.2857142857142857,-8275.996196042277
0.0,0.0,-15676.493199337265
0.0,0.125,-8550.837404030153
0.0,0.16666666666666666,-6926.0986407020755
0.0,0.3333333333333333,-9052.05675883518
0.0,0.0,-23286.868046891974
0.0,0.07142857142857142,-4145.795172995105
0.0,0.0,-20034.171505751197
0.0,0.15384615384615385,-4539.87876155725
0.0,0.0,-19232.54482247827
0.0,0.2,-6135.60821789438
0.0,0.1,-7873.506750061124
0.0,0.2727272727272727,-3676.6866366179493
0.0,0.2,-9804.295331493016
0.0,0.25,-9456.397499694247
0.0,0.08333333333333333,-6901.307451904765
0.0,0.0,-7587.440076851456
0.0,0.2,-8488.305013477762
0.0,0.2727272727272727,-3701.380588594279
0.0,0.0,-9928.860173495194
0.0,0.0,-8148.909738598377
0.0,0.2727272727272727,-5491.067463571744
0.0,0.1,-9562.144326365567
0.0,0.1,-6664.620611447375
0.0,0.2,-7371.756130418949
0.0,0.09090909090909091,-11719.514014667475
0.0,0.0,-13082.01056094386
0.0,0.16666666666666666,-5736.752528222417
0.0,0.0,-13645.499247316235
0.0,0.0,-7780.924537538664
0.0,0.0,-8598.92710020196
0.0,0.1111111111111111,-9676.451024988628
0.0,0.15384615384615385,-4303.80661184398
0.0,0.2857142857142857,-8237.827419828496
0.0,0.16666666666666666,-3238.2112945864146
0.0,0.3333333333333333,-2307.54754177218
0.0,0.21428571428571427,-3037.5678589853196
0.0,0.3,-4963.328340981916
0.0,0.0,-21276.929674605348
0.0,0.09090909090909091,-6520.782091035223
0.0,0.09090909090909091,-4654.723608076463
0.0,0.16666666666666666,-4348.876315774883
0.0,0.09090909090909091,-6921.608611365087
0.0,0.0,-24125.06916052263
0.0,0.18181818181818182,-6629.585853795127
0.0,0.16666666666666666,-5680.99433496054
0.0,0.2222222222222222,-5776.568536734726
0.0,0.2,-4985.658650356296
0.0,0.2222222222222222,-7954.929037939602
0.0,0.0,-7110.8387444664495
0.0,0.08333333333333333,-7671.1474117779635
0.0,0.2222222222222222,-5564.033321549435
0.0,0.0,-7100.241055778413
0.0,0.1875,237.7879026840814
0.0,0.0,-11523.672163387484
0.0,0.25,-11641.553186122199
