height_layer_pressure,footprint_sum_ratio,length_sum_pressure
2.1,1.8026666666666666,3.45
4.066666666666666,2.8473333333333333,5.35
2.466666666666667,2.1213333333333333,3.95
2.9,2.1306666666666665,4.016666666666667
3.0,2.678,4.783333333333333
3.2666666666666666,2.188,3.966666666666667
3.2333333333333334,2.0893333333333333,3.8666666666666667
3.1,2.550666666666667,4.55
2.6,1.9486666666666668,3.8
2.433333333333333,1.5373333333333334,3.15
1.9666666666666666,2.052,3.65
3.0,2.4286666666666665,4.333333333333333
3.7666666666666666,2.9046666666666665,5.666666666666667
2.8,2.267333333333333,4.25
2.6,2.1846666666666668,4.083333333333333
2.566666666666667,1.766,3.433333333333333
3.2666666666666666,2.7226666666666666,5.016666666666667
2.966666666666667,2.4066666666666667,4.35
3.8666666666666667,3.052,5.966666666666667
1.8666666666666667,1.4613333333333334,2.9166666666666665
1.9666666666666666,1.8406666666666667,3.4
2.566666666666667,1.3013333333333332,2.566666666666667
2.6,1.8646666666666667,3.533333333333333
2.2666666666666666,2.1353333333333335,3.966666666666667
3.7,2.768,5.283333333333333
1.0333333333333334,0.9866666666666667,1.6833333333333333
0.4,0.24266666666666667,0.43333333333333335
2.7,2.01,3.716666666666667
2.966666666666667,1.544,3.0
3.533333333333333,2.6313333333333335,4.783333333333333
3.6333333333333333,2.6586666666666665,5.3
2.933333333333333,2.6046666666666667,4.966666666666667
0.8333333333333334,0.584,0.9666666666666667
2.3333333333333335,2.348,4.3
4.0,2.3946666666666667,4.733333333333333
2.7666666666666666,2.0926666666666667,4.05
2.8333333333333335,1.6213333333333333,3.1
3.3666666666666667,2.0453333333333332,3.9166666666666665
3.8666666666666667,2.4446666666666665,4.633333333333334
3.1333333333333333,2.6746666666666665,4.7
2.566666666666667,2.078666666666667,3.816666666666667
3.3666666666666667,3.0073333333333334,5.7
3.2666666666666666,2.086,3.9166666666666665
3.6,2.4113333333333333,4.4
2.8,2.7666666666666666,5.166666666666667
3.066666666666667,2.3673333333333333,4.666666666666667
3.1,2.2293333333333334,4.35
3.6333333333333333,3.2546666666666666,5.95
1.8666666666666667,1.3886666666666667,2.6333333333333333
3.3,2.6493333333333333,4.883333333333334
2.466666666666667,1.6246666666666667,3.15
2.6333333333333333,1.9226666666666667,3.783333333333333
2.1666666666666665,1.836,3.3833333333333333
3.1,2.462,4.833333333333333
3.5,2.771333333333333,5.116666666666666
3.1,2.1286666666666667,4.116666666666666
3.1,2.1666666666666665,3.966666666666667
3.033333333333333,2.1653333333333333,4.216666666666667
3.3,2.2653333333333334,4.3
3.466666666666667,1.7293333333333334,3.5
2.7,1.8573333333333333,3.683333333333333
3.1333333333333333,2.3146666666666667,4.333333333333333
3.566666666666667,2.324,4.4
2.8333333333333335,2.2306666666666666,4.016666666666667
3.466666666666667,2.4513333333333334,4.633333333333334
4.3,3.3926666666666665,6.2
4.033333333333333,2.7426666666666666,5.266666666666667
3.2,3.009333333333333,5.6
2.5,1.9726666666666666,3.683333333333333
2.933333333333333,2.0433333333333334,4.016666666666667
2.3,2.1853333333333333,4.1
3.433333333333333,3.3753333333333333,6.083333333333333
4.966666666666667,4.270666666666667,8.083333333333334
2.433333333333333,2.156,3.9166666666666665
3.0,2.2746666666666666,4.416666666666667
2.4,2.2213333333333334,3.95
3.3,2.8266666666666667,5.25
3.066666666666667,2.624,4.683333333333334
2.8,2.34,4.35
