wl_max_to_avg,tight_x_high_wl,sku_counts_x_lL
1.8329355397913663,0,3.4
1.8467880240694323,0,5.300000006
1.7991350122630636,0,3.899999997
1.796976222987615,0,3.91666667
1.7313658538591865,0,4.73333333
1.640378532538885,0,3.9666666699999995
1.578947353358726,0,3.8666666700000003
1.788897557497713,0,4.499999999
1.6471623242597575,0,3.750000003
1.6944291051160534,0,3.1
1.3608977991481748,0,3.65
1.6384403145201576,0,4.33333333
1.4918032616183823,0,5.616666664
1.6468329925610652,0,4.200000002
1.6264117998430558,0,4.033333332
1.460218392298072,0,3.383333334
1.4144314164544385,0,4.966666668
1.656050938745994,0,4.35
1.3662808740281034,0,5.916666672
1.1182795602728641,0,2.916666666
1.5431902346442357,0,3.400000002
1.5299420286717302,0,2.516666664
1.8470646075416084,0,3.4833333329999996
1.481888017590831,0,3.966666669
1.7754431856423991,0,5.233333339
1.589808897820011,0,1.683333332
0.9999999923076924,0,0.433333333
1.6727976591484313,0,3.666666663
1.5056300094170012,0,2.9500000020000003
1.643952890689101,0,4.783333332
1.8002662925788644,0,5.250000002
1.3801756434534147,0,4.916666667
1.1428571348508634,0,0.966666666
1.302460189063858,0,4.300000002
1.8080405446547032,0,4.68333333
1.936685266629215,0,4.0
1.47761192265538,0,3.0500000010000003
1.8956089266966007,0,3.866666672
1.7491240184923518,0,4.583333328
1.3934226402949377,0,4.699999997
1.7478991416431044,0,3.816666666
1.5197889034490155,0,5.699999999999999
1.5693201964778183,0,3.866666672
1.8564521923899409,0,4.35
1.3301088128937364,0,5.16666667
1.7068257941799123,0,4.61666667
1.8548844548044832,0,4.249999996
1.633507836704586,0,5.900000002
1.2981969355743777,0,2.583333336
1.8420664007772618,0,4.833333336
1.6805251465215922,0,3.1
1.5515564024506432,0,3.73333333
1.8185792155427754,0,3.383333336
1.392292074356204,0,4.783333335
1.3506493366166303,0,5.116666668
1.5986677614117017,0,4.06666667
1.6161615998367516,0,3.9666666699999995
1.481841200017249,0,4.166666669
1.6708860584579397,0,4.300000001
1.5635535120204087,0,3.3999999990000003
1.6703721429739284,0,3.6333333359999997
1.875409815499683,0,4.333333334
1.8668660977538278,0,4.35
1.8071242205405946,0,3.9666666699999995
1.8093511949940504,0,4.583333328
1.3603385583353682,0,6.199999995000001
1.889682003616095,0,5.216666672000001
1.3404940785052213,0,5.600000004
1.7422056592257946,0,3.6333333359999997
1.7173523965322695,0,3.9666666699999995
1.4304635604129106,0,4.100000004
1.3516949018929907,0,6.083333334
1.467909889768323,1,8.033333341999999
1.7948226081830183,0,3.9166666649999997
1.2216131439718068,0,4.36666667
1.8104448550306373,0,3.9500000010000003
1.341781573403863,0,5.25
1.375551087614195,0,4.633333331
1.7304492330635854,0,4.35
1.4279176044007982,0,5.133333336
1.3470048429850507,0,3.75
1.9775891112686375,0,5.516666666
1.3851276211525536,0,5.349999996
1.938351232498037,0,4.883333338
1.3399405213616444,0,5.6166666659999995
1.8602571066305869,0,2.916666664
1.9869734897604137,0,4.633333331
1.4069767296409619,0,5.116666665
1.406038741039907,0,4.63333333
1.685031674177532,0,3.666666663
1.7820085486585393,0,3.349999998
1.742773337877194,0,4.2
1.4837209140973935,0,3.183333336
1.1422594042849392,0,3.4833333360000003
0.9999999906250001,0,0.533333333
1.318929061366041,0,4.2000000029999995
1.7225248132756836,0,5.400000004000001
1.3081760874648947,0,4.733333330000001
1.5427319064154683,0,5.2833333300000005
1.7923308730406917,0,3.9000000000000004
1.517733546990419,0,4.266666668
1.3511367596538393,0,5.083333332
1.259192813412343,0,4.100000004
1.4895833163117407,0,4.699999997
1.6756363461073795,0,4.483333332
1.7931034293198576,0,4.7000000040000005
1.7104676876667877,0,4.583333328
1.7219730755761833,0,4.616666664
1.3016949043111752,0,1.5333333329999999
0.9999999942307692,0,0.533333333
1.8139534689556518,0,3.400000002
1.3825701477450132,0,5.366666664
1.6946160455400026,1,6.2166666600000005
1.4117646906020762,0,2.333333331
1.7363478071954923,0,5.316666667
1.344827572248514,0,1.9500000000000002
1.5296425286209767,0,4.300000001
0.9999999899159665,0,0.566666667
1.6284987111603184,0,4.0
1.385547017870964,0,4.61666667
1.4343525028151043,0,4.66666667
1.2513034286001343,0,3.666666664
1.921074705401054,0,4.016666665
1.4011712886717076,0,1.35
1.1345454449740167,0,1.0
1.30824138737042,0,3.316666668
1.1090047300860268,0,1.416666666
1.3208585440588778,0,3.766666664
1.8299120038327157,0,4.800000000000001
1.1249999899875,0,3.0499999980000005
1.485714268734694,0,1.0499999999999998
1.8805295239082227,0,5.216666672000001
1.3535791615643444,0,1.383333332
1.754040739691381,0,4.916666664
1.3081760874648947,0,1.316666668
1.6271186275759841,0,4.08333333
1.405152209081386,0,4.38333333
1.5632864399445763,0,5.300000002
1.7931034293198576,0,3.93333333
1.2480499095358513,0,3.683333336
1.9038901388349316,0,4.883333328
1.6124683885065352,0,4.35
1.6375266357485556,0,4.08333333
1.5529411618546713,0,5.266666669
1.4388489043010197,0,3.5
1.6125369977947805,0,3.766666662
1.6854511801913739,0,4.916666667
1.7508417328197805,0,3.83333333
1.3483145922464337,0,4.63333333
1.4292258203449009,0,4.2
1.9074614209354137,0,3.866666672
1.4769230587455624,0,2.833333335
1.7101746996043854,0,5.183333328
1.47153282862729,0,2.849999999
1.5471074195637569,0,4.599999996
1.6901408230235153,0,3.6333333299999997
1.8334965521837074,0,3.449999997
1.680808063191854,0,5.033333331
1.4009339402099066,0,3.3333333319999996
1.3343217054858199,0,5.25
1.5578093159670685,0,5.833333332
1.7348823176461516,0,5.799999996
1.6713539415124903,0,4.833333329999999
1.1278195390355588,0,0.983333334
1.3496932370133616,0,4.6833333360000005
1.3935663081990688,0,5.0833333320000005
1.7770921515362437,0,4.6833333360000005
1.3956892896701727,0,4.650000003000001
1.0566037576361698,0,0.616666666
1.729021675913632,0,4.06666667
1.668356246142131,0,4.3166666639999995
1.2134831338071457,0,3.999999996
1.329639874463824,0,4.26666667
1.221719445249688,0,3.999999996
1.5555138606323133,0,4.68333333
1.9676783375029296,0,4.65
1.2575558365151327,0,4.4000000009999995
1.455513292481948,0,4.7000000040000005
1.6773136597300453,1,6.833333328
1.474015731392528,0,3.366666666
1.6897689590519451,0,3.116666664
1.7782247739009085,1,6.733333327
1.307901893626473,0,3.733333336
1.0985915403213649,0,0.966666666
1.6301886626050555,0,3.433333329
1.3772954772751473,0,4.933333328
1.299999987,0,1.299999999
1.7454545263497523,0,4.933333328000001
1.8511326658868887,0,4.266666668
1.3078714353505647,0,4.166666667
1.4117646892733566,0,0.866666666
1.461961487440865,0,4.68333333
1.4606557205027038,0,0.950000001
1.582852416849886,0,4.85
1.5145333828517906,0,3.38333333
1.5831556299987275,0,3.15
1.692777196308268,0,4.933333332
1.457262944952018,0,4.21666667
1.2841726453210498,0,1.1833333320000001
1.2170385280992722,0,3.433333336
1.3999414719210352,0,6.2166666600000005
1.8690628806032947,0,5.983333328
1.786969990324241,0,3.650000004
1.7823478819295848,0,3.78333333
1.0564333996113102,0,1.400000001
1.6573705007338932,0,5.016666668
1.2824120486625288,0,1.783333332
1.4444444321296297,0,3.583333334
1.7378589901328094,0,3.866666664
1.6821983097377362,0,4.450000005
1.5468108738361628,0,4.68333333
1.610738238872123,0,4.86666667
1.4924622934982452,0,3.083333337
1.6973818249544566,0,5.266666665000001
1.1952191124585325,0,3.916666664
1.337494412843127,0,4.6000000000000005
1.2531645442717514,0,2.483333334
1.4114052791951919,0,2.4666666640000003
1.5076452431456187,0,7.049999994
1.405981140090468,0,4.450000005
1.7565094821350082,0,2.766666666
1.429577449712936,0,5.799999996
1.5493482124472466,0,2.95
1.8007033794321514,0,4.599999996
1.7039204038224511,0,2.833333335
1.379005510282514,0,5.183333328
1.3728995230432937,0,5.016666669999999
1.5667655636182412,0,5.300000002
1.7604739556028197,0,3.88333333
1.3894736693684724,0,4.799999996
1.835723577354559,0,4.349999995
1.785216158602888,0,3.73333333
1.5288652803550784,0,5.733333335999999
1.3963328474320695,0,3.4833333300000002
1.4025336996120432,0,4.816666668
1.6804994324223046,0,4.5999999979999995
1.6453526541551975,0,5.166666672
1.7205702463083754,0,3.9833333320000004
1.383675064815898,0,5.100000004
1.6397785487389664,0,4.983333329
1.643090846460655,1,7.18333334
1.3934045363073682,0,4.35
1.6047761033456431,0,6.316666664
1.4489163925557038,0,5.25
1.3301752587924112,0,3.999999996
1.4295532488846379,0,1.633333332
1.2727272563811378,0,1.2000000000000002
1.4860680930517884,0,2.066666665
1.6800248362077796,0,5.316666667
1.3782440493923285,0,3.766666664
1.3542570811014543,0,5.683333331
1.5266054901334234,0,6.266666666000001
1.6337022342311318,0,5.266666669
1.5927601644192382,0,4.416666672
1.399673720637775,0,4.833333329
1.614953254793984,0,3.5333333369999997
1.7101214392227353,0,3.9833333320000004
1.3849878787608068,0,4.699999997
1.608713850657547,0,4.06666667
1.799567392733527,0,4.583333328
1.9014728075681588,0,3.0500000010000003
1.2563758270538445,0,4.116666663
1.6923076743269232,0,4.450000005
1.6684491813017246,0,3.6333333359999997
1.2896222184768722,0,3.9666666699999995
1.5716234490878467,0,4.966666668
1.621042362042598,0,3.2
1.4987133167171969,0,3.299999997
1.7684761098558441,0,5.433333334
1.7218542866299726,0,4.55
1.4279176044007982,0,3.91666667
1.6218323431875337,0,1.483333332
1.8439716112343445,0,5.533333335
1.7540407409515615,1,7.0666666739999995
1.5808383079235544,0,4.516666671
1.5266054866600458,0,3.283333336
1.5658720044362093,0,5.499999999
1.474131809000759,0,2.316666665
1.498970469952891,0,5.699999998
1.6660505080032302,0,6.049999995
1.7119341391413911,1,6.933333328
1.6996935473126047,0,5.150000004
1.462499983528594,0,3.850000002
1.6230979160933172,0,4.699999999999999
1.7612192873792716,0,4.36666667
1.3043478125217394,0,2.500000002
1.8183584070730812,0,3.383333334
1.342416622894402,0,5.0499999959999995
1.4860680938468118,0,3.183333336
1.5561097108619972,0,5.600000003
1.3799203746095996,0,4.61666667
1.4489023312937086,0,4.899999996
1.4338235135448207,0,4.38333333
1.8208345297756903,1,6.6
1.4461351017295518,0,2.766666664
1.729729712711131,0,4.516666668
1.5124726339346037,0,4.133333330999999
1.5217965507547175,0,4.2166666710000005
1.3506493366166303,0,3.316666671
1.782675218491269,0,5.549999994
1.7509645546376191,0,4.933333327
1.3680781609084023,0,5.633333328
1.5310199653450627,0,2.833333335
1.709228807262647,0,5.350000006
1.2914798066821374,0,1.583333332
1.4587426154748904,0,1.8166666649999998
1.359703322690193,0,4.716666668999999
1.2941176277137139,0,0.633333334
1.9158734817260743,0,5.950000005
1.313485099987425,0,1.9333333350000002
1.7097061260480095,0,6.41666667
1.7362270274079505,1,6.516666659999999
1.756332913116802,0,5.683333333999999
1.3905579237407213,0,3.9500000010000003
1.667891731218992,0,5.0499999959999995
1.737941493908394,0,4.333333334
1.8477690075517257,0,4.349999995
1.9393939173214667,0,4.599999996
1.5679287158456556,0,4.4
1.4224750904981498,0,4.28333333
1.6954427394153888,0,4.633333331
1.4921483298039386,0,5.11666666
1.6263529246389488,0,3.5333333369999997
1.6583493110521699,0,3.6333333359999997
1.811118533884063,0,4.783333334
1.8413869222588544,0,4.2999999959999995
