three_dim_near_limit_share,vol_top3_concentration,spare_x_wlstd
0.0,0.490608855197721,802039.03006967
0.0,0.32089367666052926,242899.81683504
0.0,0.5192502723209255,698282.13244707
0.0,0.4997650121109143,625661.01316222
0.0,0.44770789076690987,442457.49068352
0.0,0.45754731497153406,441265.38557999994
0.0,0.4164597609825537,425600.57734827
0.0,0.44918761969481685,444891.12486
0.0,0.5332286555446516,688319.19254725
0.0,0.5423340961098398,800235.7612048801
0.0,0.5145035492069057,631594.86094952
0.0,0.48670897443573014,391264.39843436
0.0,0.3474162112142506,303957.73659752996
0.0,0.4060586658129577,533358.5025241299
0.0,0.47472027972027975,636383.374192
0.0,0.5347901863520579,698164.97742534
0.0,0.4163698882475746,370280.75738888
0.0,0.440369523574121,376980.4971702
0.0,0.3553072625698324,215018.2499829
0.0,0.6395326565791993,272048.30286968
0.0,0.5889775623615928,688746.61148499
0.0,0.577930174563591,499361.26279608
0.0,0.5779444557064667,796031.1875502
0.0,0.47215028569079626,503511.34488552
0.0,0.423244405247492,318073.22603396
0.0,0.8167077899189285,996741.0509898801
0.0,1.0,0.0
0.0,0.4299122472338802,504319.7694706
0.0,0.5326897018970189,511647.09505272005
0.0,0.34291671561141784,312795.63950543996
0.0,0.40547921071176884,396627.10196544003
0.0,0.41893803034199023,343127.84424576
0.0,1.0,736146.66677992
0.0,0.47324086849175806,421288.07231924
0.0,0.3496700945134637,328818.64308972
0.0,0.50099925980755,693825.4107096
0.0,0.522002772002772,438176.59258824
0.0,0.48072421864243425,566966.27151
0.0,0.4122556495216969,316629.75198795
0.0,0.411747369661961,302303.13384586
0.0,0.524013228844633,691583.56986994
0.0,0.35124260355029585,198535.85281125
0.0,0.4202323294854521,404170.98940518
0.0,0.42422769660702897,409131.33558484
0.0,0.40876873863137425,351173.3558791
0.0,0.4555484758040176,547452.3692415401
0.0,0.44864193147523523,632544.8075219
0.0,0.3355518717371403,137329.67602744
0.0,0.6977773204363038,657926.6627626
0.0,0.4335726017397652,445404.24357594
0.0,0.48177224327738677,649394.39334792
0.0,0.4298791486291486,691766.05501296
0.0,0.57727078891258,885629.34657
0.0,0.4248902462301966,368335.93472592003
0.0,0.3679642945697992,205553.25968427
0.0,0.41767963263101027,419066.955882
0.0,0.4060783719128003,417608.51156163
0.0,0.42378691983122363,582911.87666688
0.0,0.38687340555942085,448914.40125708
0.0,0.45164433617539584,465194.4563763
0.0,0.4738878143133462,638611.94008032
0.0,0.4777325297279687,547343.2878217
0.0,0.46210569438754606,486748.85354675003
0.0,0.49957944907829255,606171.61181958
0.0,0.45348618090452264,488455.23033439997
0.0,0.31580286904211013,41171.4005162
0.0,0.40646395210244757,326184.89746468
0.0,0.37408285982236444,240547.78149482002
0.0,0.5137629599512096,795910.6314621001
0.0,0.40282178964840804,557409.7565886
0.0,0.48129156317602756,583306.72723778
0.0,0.33801061735164367,126434.6307087
0.0,0.26215857435938694,-132255.68091638
0.0,0.5148039574935874,689097.9106704
0.0,0.44741356558458695,324073.50360768
0.0,0.5184390456793715,678543.77897856
0.0,0.3923592146491505,261609.84182857999
0.0,0.42291380815766494,354163.5034408
0.0,0.49695812568765774,535988.01479678
0.0,0.40226959055359607,377011.6354718
0.0,0.508206550251068,482524.83368062
0.0,0.3780017871104658,333283.71253019996
0.0,0.3822435174746336,247946.4148896
0.0,0.4177828529103142,461828.18133974
0.0,0.3636704923307948,203965.03573392
0.0,0.6068674523497745,1011139.3497195899
0.0,0.44485704896483735,552771.8562186001
0.0,0.37507269443849284,325547.4940458
0.0,0.4254565655162836,453857.74780892
0.0,0.478219167132923,628110.87858246
0.0,0.5833833593468604,816072.7068927301
0.0,0.4898571977235432,605350.92845724
0.0,0.5007197696737045,696938.4683856
0.0,0.5440032089851584,241518.8518947
0.0,1.0,0.0
0.0,0.48314926968293553,445215.6148434
0.0,0.3103769071288076,211267.58273152
0.0,0.42500783453462865,328114.7065504
0.0,0.3680625288354547,236674.59896556
0.0,0.5343419881592695,733487.44471618
0.0,0.41209255842558423,560447.29429248
0.0,0.4054167164892981,316288.30203048
0.0,0.47585964912280704,371416.57212
0.0,0.4072707205187459,471896.7581472
0.0,0.3724427865115315,329710.63054707
0.0,0.439066265060241,449137.791578
0.0,0.36247706697945803,326170.74152976
0.0,0.36640263039904347,317924.5098833
0.0,1.0,942327.15156405
0.0,1.0,0.0
0.0,0.5528013721006207,795620.76343488
0.0,0.3751901955902288,239495.87944035
0.0,0.2855146096332616,-2048.4309613
0.0,0.6275566197745186,602901.3228705
0.0,0.3380150836156957,239491.18280384003
0.0,0.8218277029184494,818756.15220984
0.0,0.4167111585691404,547522.59431176
0.0,1.0,0.0
0.0,0.4101723272544755,410204.7352918
0.0,0.4359027633492624,432002.89635354
0.0,0.4269103534112869,374503.31022741
0.0,0.5401127134095807,452092.96923191997
0.0,0.4824648941478366,625084.1344867
0.0,1.0,1042022.7952698801
0.0,1.0,564034.16678862
0.0,0.5840129043821131,560314.0443511601
0.0,1.0,519704.6502328
0.0,0.5397856720951818,538396.45782672
0.0,0.43000122428991183,454753.78007864003
0.0,0.6338877541095225,265440.326268
0.0,1.0,1119554.62453566
0.0,0.37477525828525426,264231.93763329997
0.0,0.8828898648066822,1040581.02749985
0.0,0.3459544336799692,335947.19009919
0.0,0.8615384615384616,1090713.7657725
0.0,0.3951365561559807,474592.20596676
0.0,0.4691258433558228,449522.82061439997
0.0,0.3778164958804595,319483.49034266
0.0,0.495940412312906,616001.3216979201
0.0,0.5255857091011734,472218.95779889997
