spare_cap_x_wl_max,item_vol_cv,long_item_share
3886240.0,0.3142496084502118,0.25
1377760.0,0.3864513206782065,0.14285714285714285
3185346.6660541,0.5386631445980082,0.3333333333333333
3005426.6660887,0.5788734773746345,0.2
2169959.9995827,0.5030552309430603,0.36363636363636365
2167533.3329165,0.4877197077939429,0.3
2366880.0,0.3779201536584013,0.2
2188506.6662458,0.5512125222211459,0.2727272727272727
3384333.3326824997,0.5707366747969583,0.1111111111111111
3843840.0,0.47027582028592013,0.25
2661360.0,0.3951617288586919,0.375
2009626.6662802,0.5097573461462557,0.3
1354470.0,0.42806883885912256,0.14285714285714285
2601430.0,0.40599835057454814,0.18181818181818182
2842666.6661199997,0.47741933600828806,0.3333333333333333
2940990.0,0.5000670690568447,0.2222222222222222
1615640.0,0.4253365276995034,0.25
2189893.3329122,0.4452518983364459,0.2
963300.0,0.4146883152689664,0.21428571428571427
3135080.0,0.3755298650940139,0.3333333333333333
3651613.3326311,0.47632814670202195,0.2857142857142857
3186810.0,0.5112201590454257,0.0
3524733.3326554997,0.6531269396132781,0.3333333333333333
2584125.0,0.42180804277718853,0.2222222222222222
1510773.3330428,0.5711088207649656,0.23076923076923078
4374760.0,0.36607318635587116,0.0
5282160.0,0.0,0.0
3006400.0,0.33573932068724305,0.3333333333333333
2779920.0,0.5043598736425587,0.0
1751680.0,0.34203859147563964,0.16666666666666666
1896959.9996352,0.56546544198396,0.15384615384615385
1736000.0,0.42325397109509727,0.2727272727272727
5889173.3322008,0.2935160223792684,0.5
2182250.0,0.375956241729551,0.3333333333333333
1816640.0,0.46471382134364647,0.15384615384615385
3116533.332734,0.6094282887285098,0.2
2711610.0,0.48566716605863913,0.1111111111111111
2764319.9994683997,0.6085729144004876,0.18181818181818182
1548733.3330355,0.5238019868339588,0.25
1438970.0,0.428035270542725,0.2727272727272727
2978213.3327606,0.5492426609564931,0.2222222222222222
1116000.0,0.32322633277304164,0.3333333333333333
2331225.4172513,0.42845344248019834,0.0
2093693.3329307,0.5590186616960577,0.08333333333333333
1639250.0,0.3765682004962895,0.36363636363636365
2631373.3328273,0.5424511240250591,0.18181818181818182
2918066.6661055,0.5818821928920673,0.18181818181818182
733280.0,0.354788216896809,0.38461538461538464
3323320.0,0.47329852900560654,0.3333333333333333
2101146.6662626,0.5637319240926892,0.25
3653760.0,0.33974359947053634,0.25
3033690.0007608,0.382386767681657,0.1
3735333.3326149997,0.5939951511974977,0.25
1763580.0,0.4315662335243156,0.18181818181818182
1131390.0,0.36625921121338184,0.16666666666666666
2461440.0,0.3850969163358373,0.3
2451360.0,0.3649229698315116,0.3
2453110.0006152,0.4281737520354704,0.09090909090909091
2370720.0,0.3742674421268392,0.2727272727272727
2648100.0,0.48400203014508736,0.0
3229440.0,0.4434697899548514,0.3333333333333333
2479533.3328565,0.6001671977523926,0.18181818181818182
2299613.3328911,0.6276974352786419,0.08333333333333333
2854106.6661178,0.5891311705093356,0.2
2281066.666228,0.5807534770255902,0.16666666666666666
222500.0,0.41264276426932844,0.2
1546653.3330359,0.5965858598210139,0.14285714285714285
1136980.0,0.3720008463288695,0.3333333333333333
3536866.6659864997,0.5734563924145513,0.2222222222222222
2958720.0,0.3281464223369558,0.3
2604940.0,0.3522050102441067,0.2222222222222222
648234.5834959,0.33999051760619514,0.23076923076923078
-627100.8334906,0.4070770771554827,0.21052631578947367
3069733.332743,0.5463402149907242,0.3333333333333333
1909440.0,0.43591498730857026,0.3
3034026.6660832,0.5468034770549718,0.3333333333333333
1276625.0,0.43845296930895655,0.25
1681160.0,0.4181705002756152,0.2727272727272727
2443653.3328633998,0.5529315868711338,0.3
1611350.0,0.45495708748772734,0.16666666666666666
2380820.0,0.3462502394459524,0.375
1592586.6663604,0.5388057366795254,0.14285714285714285
1237600.0,0.4142794668538556,0.25
2183653.3329133997,0.597829971133335,0.15384615384615385
1002040.0,0.4145451821409059,0.23076923076923078
4226039.9991873,0.7141215963212769,0.25
2525466.666181,0.5377410159297136,0.18181818181818182
1638729.5837443,0.3049278189627376,0.18181818181818182
2105740.0,0.3405299770491271,0.3
3196480.0,0.4486246099240144,0.3333333333333333
3468919.9993328997,0.6563380036802461,0.2222222222222222
2835559.9994547,0.535859239034558,0.3
3211266.6674720002,0.4470554107451734,0.0
2609100.0,0.34036611227109886,0.42857142857142855
4390400.001371999,0.0,1.0
2200900.0,0.38709375479694935,0.2222222222222222
1180480.0,0.37699408159994624,0.14285714285714285
1701700.0,0.3637959722335984,0.3
1304480.0,0.28907415616154386,0.45454545454545453
3320546.6660281,0.6534769048868843,0.2
2523290.0006328,0.3980890093804979,0.18181818181818182
1501240.0,0.43192310227754993,0.16666666666666666
2145000.0,0.4296033472995337,0.3333333333333333
2080910.0,0.414174996490902,0.18181818181818182
1795680.0,0.4197383726005336,0.16666666666666666
2045333.3329399999,0.568135753209715,0.16666666666666666
1880160.0,0.40672271617838374,0.25
1847200.0,0.41109609330507296,0.25
5574240.0,0.0376100509221539,0.6666666666666666
6646293.3320552,0.0,1.0
3555413.3326495998,0.6346139996904425,0.1111111111111111
1150890.0,0.4265659732294677,0.25
-11680.0,0.34451033781658075,0.26666666666666666
3244020.0,0.47541714293651144,0.0
1344640.0,0.36612721421258415,0.23076923076923078
3814330.0,0.5086434691820819,0.2
2495909.1672926,0.40910509294634617,0.18181818181818182
4061271.66680318,0.0,1.0
2418400.0,0.3691672129276475,0.3
2095860.0,0.4289924197763928,0.18181818181818182
1923171.2504823,0.3303881018948744,0.3
2608500.0,0.45492574122542306,0.375
2936613.3327686,0.636588165860502,0.09090909090909091
4889605.4178929,0.20181554680813002,0.0
4756180.0,0.054121317694797756,0.5
2721840.0,0.36488674203252425,0.42857142857142855
4603040.0,0.44275124126111676,0.0
2662250.0,0.4015043153508601,0.25
2136853.3329224,0.5618640902652333,0.25
3054750.0,0.37042422387496576,0.5
4818060.0,0.6283389019962541,0.0
1340733.3330754999,0.5360479923705129,0.14285714285714285
4340310.0,0.6000770234752381,0.0
1799520.0,0.40368831242712977,0.23076923076923078
4582500.0,0.5456195870087202,0.0
2817920.0,0.3483963555670967,0.2
2216000.0,0.4441533677474043,0.2
1781920.0,0.3301622338915908,0.36363636363636365
2889813.3327776,0.5881048126380874,0.2
2525125.0,0.4681384900837226,0.375
2326999.9995525,0.5141021641762621,0.16666666666666666
2559177.5006418,0.3940913144366031,0.08333333333333333
3008000.0,0.45152960335520625,0.2
1814880.0,0.3263428485798862,0.36363636363636365
2566000.0,0.48369757750724096,0.0
2323035.0,0.43412230241302857,0.0
1974093.3329536999,0.4821801425684885,0.36363636363636365
2798293.3327952,0.5923399818102121,0.1
2119250.0,0.39312337706866035,0.3
2249000.0,0.42613770335951723,0.3
2970239.9994288,0.6839517954282375,0.18181818181818182
3239760.0,0.48457275108118575,0.14285714285714285
1930066.6662955,0.5152463201203865,0.25
3159720.0,0.5182491168747102,0.14285714285714285
2158650.0,0.4686174739541903,0.16666666666666666
3127410.0,0.35745456851504215,0.1
3142186.6660623997,0.533814256357113,0.1111111111111111
1658720.0,0.41518489406158254,0.15384615384615385
3113750.0,0.3307169063320738,0.2857142857142857
1128125.0,0.35884433672266564,0.25
1167520.0,0.3162757047384109,0.4166666666666667
1041213.3331331,0.5057555542764285,0.2857142857142857
1872346.6663066,0.45952489037871164,0.4
4972000.0,0.5349322356906903,0.0
1782375.0,0.45734198983257746,0.18181818181818182
1766595.4171097002,0.3502425589221105,0.18181818181818182
1948960.0,0.3570506006382013,0.16666666666666666
2069080.0,0.43491100291313034,0.18181818181818182
2900100.0,0.5823232315650658,0.0
2387840.0,0.4442528884133688,0.18181818181818182
2204640.0,0.4123235836085323,0.16666666666666666
2000625.0,0.3609452972215029,0.3333333333333333
1709880.0,0.34991989404510626,0.3
2149125.0,0.46271108875855205,0.3333333333333333
2070708.7505193,0.45646673157422696,0.07692307692307693
2345546.6662156,0.5669312993699681,0.08333333333333333
2156572.9172075,0.34295077179164785,0.3333333333333333
2043195.0005124002,0.4619244717829378,0.16666666666666666
-105600.0,0.35973964097427846,0.25
3355690.0,0.44644631037432503,0.1111111111111111
3737120.0,0.49843950959573113,0.25
-304893.3332747,0.4621634916881081,0.23529411764705882
2688000.0,0.3965709176393389,0.25
4782960.0,0.09097280225789622,0.5
3065760.0,0.3837746506491492,0.2222222222222222
1652625.0,0.4399683646741882,0.2727272727272727
4717440.0,0.4389511314011546,0.3333333333333333
1633440.0,0.43056156252953004,0.14285714285714285
2802453.3327944,0.5957120889390578,0.18181818181818182
2227680.0,0.3841562404363448,0.2222222222222222
4878720.0,0.08594668058617062,0.5
2219309.5838899002,0.28974817445322526,0.2
4672181.25,0.7316929535756739,0.0
2003360.0,0.294530718968661,0.5
2649240.0,0.4624482334957789,0.1
2662481.25,0.5467347661428191,0.0
1794173.3329883,0.5208907447337506,0.25
2538640.0,0.3741368695298378,0.2
3707246.66679128,0.5901078879494333,0.3333333333333333
2654875.0,0.49811481515655204,0.25
838438.3335436,0.4395565256806991,0.2
960093.3331487,0.4729238016388455,0.2857142857142857
3630080.0,0.43135212383326377,0.3333333333333333
2505186.6661849,0.5293617714681199,0.1
4313400.0,0.37297314858960534,0.3333333333333333
1302240.0,0.439562636581453,0.23076923076923078
4309025.4177473,0.2962140049235795,0.0
3082213.3327405998,0.4328316024329352,0.5714285714285714
3164026.6660582,0.4789429257718866,0.375
2339680.0,0.29893029003330707,0.18181818181818182
1912803.7504797,0.37360072794516963,0.07692307692307693
2359840.0,0.26988842861649626,0.4
2686117.5,0.49216101701782183,0.1111111111111111
2026080.0,0.3606935709546469,0.23076923076923078
2511750.0,0.3925503201727317,0.5
2145000.0,0.387371883107597,0.3
3249303.75,0.52350949268316,0.3333333333333333
3127905.0,0.4636709789943859,0.14285714285714285
67255.8333502,0.4105284712239448,0.23529411764705882
2040870.0,0.49563620705962863,0.36363636363636365
4530933.332462,0.5860406917389852,0.16666666666666666
995014.1669162001,0.43979118705355413,0.2857142857142857
3508830.0,0.48615087221352776,0.25
2280800.0,0.3972983030168667,0.25
3966906.6659037997,0.5960956445218651,0.14285714285714285
1569880.0,0.4189529251518958,0.25
1585440.0,0.28358896236376757,0.5
1660960.0,0.27770582124096493,0.36363636363636365
2934359.9994357,0.6489767592217257,0.3
1676870.0,0.4467261282170028,0.18181818181818182
2536960.0,0.30991290693901963,0.18181818181818182
2975840.0,0.41870297106468235,0.2
1083040.0,0.32584931900535424,0.3333333333333333
2264625.0,0.5210979986080174,0.1
1736800.0,0.4349601138590548,0.18181818181818182
2245186.6662349,0.5460260395572989,0.2727272727272727
1775626.6663251999,0.4729741950284789,0.3333333333333333
2982720.0,0.4661437040168899,0.18181818181818182
1342591.2503367001,0.32648523521074846,0.2727272727272727
2105931.6671948,0.3309111501203679,0.07692307692307693
-1204000.0,0.36154135214487154,0.29411764705882354
2241750.0,0.43889030550630614,0.2
544800.0,0.3722586794123342,0.2857142857142857
1265290.0,0.4263583888114865,0.3333333333333333
2172690.0,0.44516576378974954,0.4444444444444444
4205370.0,0.5331262309210956,0.25
3641102.5001223898,0.657568444116203,0.3333333333333333
3884760.0,0.5254559119903289,0.4
743946.6665236,0.4499353016353441,0.23076923076923078
2670460.0,0.33559962041093955,0.25
759850.0,0.4260820758372429,0.23076923076923078
468640.0,0.31220031374173596,0.38461538461538464
1115226.6664522,0.43297340076302365,0.36363636363636365
2229920.0,0.38424875095106664,0.18181818181818182
1650090.0,0.4493072775944837,0.18181818181818182
2954880.0,0.34904010775592703,0.2222222222222222
2792640.0,0.3707436392365038,0.18181818181818182
1284530.0,0.3422624576235508,0.2727272727272727
2651520.0,0.47827205451014915,0.3
2075146.6662676,0.509863914198848,0.16666666666666666
3309973.3326967997,0.6340812572822274,0.1111111111111111
2058290.0,0.43870303793471566,0.3333333333333333
2529760.0,0.4002970498860955,0.18181818181818182
2804533.332794,0.48906771556003836,0.3333333333333333
1730520.0,0.43222784793233066,0.3
1226080.0,0.38646991486212645,0.3333333333333333
3532706.6659872998,0.5588980157096106,0.125
3560093.3326486996,0.4759503382024557,0.14285714285714285
1417346.6663940998,0.500465291949081,0.07692307692307693
2350226.6662147,0.4690182177198768,0.1
2540070.0,0.5221747194060259,0.3
5390493.3322967,0.7380153626975886,0.25
819346.6665091,0.5284272812347698,0.13333333333333333
-941893.3331522,0.4697116398026486,0.2222222222222222
2119040.0,0.35675379321250733,0.18181818181818182
3231540.0,0.41839553718334066,0.0
611680.0,0.3690260391731102,0.38461538461538464
4465586.6658079,0.45881400513998216,0.2
1133470.0,0.45163955398052447,0.2857142857142857
392946.6665911,0.4347776046394289,0.23076923076923078
-539933.3332295,0.4724852775242201,0.1875
1965773.3329552999,0.5131872464921721,0.25
2329210.0,0.4581109195494231,0.2222222222222222
1816533.332984,0.4602959983258393,0.3
2829839.9994558,0.5615762332812854,0.2
3560625.0,0.520212692229189,0.16666666666666666
3671026.6659607,0.6235970367411904,0.1111111111111111
1528020.0,0.42801534726957224,0.16666666666666666
3193875.0,0.4507677324031549,0.0
