spare_cap_x_h_to_H_max,wl_total_x_h_to_H_max,dim_s_avg_to_vmin
6477.066674763,186.22222244611115,0.315
2439.7833304630003,343.65972191236114,0.3485714285714286
5206.816660541001,245.6736108126389,0.3288888888888889
4912.716660887,273.2986107801389,0.348
3547.049995827,312.02083296625,0.32727272727272727
3543.083329165,299.3888886311111,0.392
4191.349995069,287.1111106788889,0.388
3577.366662458,301.9861106613889,0.33818181818181814
5532.083326825001,268.34027745263893,0.3466666666666667
6006.0,188.854166675,0.365
6653.4,211.62500000999998,0.29500000000000004
3478.2,317.37500009999997,0.36
2952.049996527,345.66666626,0.3228571428571429
5669.7833266630005,246.0277774788889,0.3054545454545454
4646.6666612,271.7638885786111,0.3466666666666667
6409.8499924590005,227.02083306625002,0.3422222222222222
3728.3999999999996,330.87500009999997,0.32666666666666666
3579.6333291220003,296.5555553011111,0.356
2223.0,399.6249999,0.3314285714285714
7234.8,209.25,0.37333333333333335
5968.983326311,222.77083307125002,0.33714285714285713
7296.399991416,183.34027755263892,0.385
5761.583326555,239.29861082013892,0.3466666666666667
5857.349993109,215.09722197861112,0.3022222222222222
2614.7999999999997,380.75000009999997,0.3415384615384615
8973.866677884002,87.22222232236112,0.31
9480.799986456,30.33333329,0.48
5323.83332707,243.9027774813889,0.36000000000000004
6058.799992872,220.1736108426389,0.39555555555555555
3101.933329684,330.90972192736115,0.35333333333333333
3100.799996352,354.6388885661111,0.3353846153846154
4166.4,298.875,0.32
9060.266677992,80.88888898111112,0.5
5237.4,259.125,0.3111111111111111
3216.966662882,325.9513885998611,0.3692307692307692
5094.33332734,253.583333035,0.332
6208.3999926960005,213.56249974875,0.37777777777777777
4518.599994684,284.98611068138894,0.36727272727272725
2531.5833303550003,336.93055525361115,0.38666666666666666
3320.7,307.875,0.34181818181818185
4868.233327606001,252.87499970250002,0.3422222222222222
2092.5,378.9999999,0.33666666666666667
4969.383327487,263.9722219211111,0.3563636363636364
3422.383329307,317.4513886098611,0.36000000000000004
3934.2,310.125,0.3054545454545455
4301.283328273001,316.5069439776389,0.33454545454545453
4769.916661055,291.24305530736115,0.33818181818181814
1374.8999999999999,381.9999999,0.3353846153846154
7669.2,180.24999999000002,0.37333333333333335
3434.5666626260004,319.9305552736111,0.33
6470.199992388,215.8055553111111,0.37
6466.799992392001,242.72222194611112,0.316
6105.83332615,216.0416664125,0.325
4069.7999999999997,308.1249999,0.3381818181818182
2610.9,346.5,0.35000000000000003
4615.2,300.2499999,0.372
4340.949994893001,280.49999967,0.372
5229.199993848,279.5555552361111,0.33090909090909093
4198.1499950610005,298.4444439988889,0.36
5771.499993210001,259.13194413013895,0.3781818181818182
5046.0,215.520833325,0.36000000000000004
4053.083328565,288.0555553111111,0.3418181818181818
3758.983328911,315.6805552786111,0.3566666666666667
4665.366661178,271.7638885786111,0.33999999999999997
3728.6666622800003,325.71527730013895,0.3466666666666667
534.0,413.4999999,0.34400000000000003
2528.183330359,363.8472218886111,0.3457142857142857
2623.7999999999997,349.125,0.32
5781.416659865001,253.7013885998611,0.3333333333333333
5239.399993836,263.9722219211111,0.352
5677.433326654001,231.7430552923611,0.3066666666666667
1463.1,383.4999999,0.3169230769230769
-1415.3999999999999,516.1250001,0.3136842105263158
5017.83332743,246.26388860861113,0.3244444444444444
4406.4,319.25000009999997,0.36
4959.466660832,244.13888861111113,0.32
3063.9,335.37500009999997,0.33
3879.6,311.8749999,0.33454545454545453
4229.4,300.50000009999997,0.336
3718.5,327.75,0.32666666666666666
