sku_counts_x_hH,flat_item_mean,near_limit_share
1.716666664,0.334922826016576,0.0
2.93333334,0.43156173949766385,0.0
1.966666671,0.3362323165340407,0.0
2.0,0.4106860079575597,0.0
2.333333332,0.34752203931970665,0.0
2.0833333300000003,0.46324733273262686,0.0
2.05,0.468776178886473,0.0
2.2999999989999997,0.37886175223836693,0.0
1.700000001,0.37684141369486196,0.0
1.516666664,0.44387099930298457,0.0
1.883333336,0.27557503770739067,0.0
2.16666667,0.37563941838155834,0.0
2.833333328,0.3638057540480942,0.0
2.283333338,0.368820859223336,0.0
1.8999999989999998,0.343314714588661,0.0
1.7666666640000002,0.41588076526157025,0.0
2.566666668,0.35807566616390146,0.0
2.16666667,0.37260588253869187,0.0
2.850000006,0.3511241631931287,0.0
1.233333336,0.3265546713822576,0.0
1.4999999979999998,0.2872576417835039,0.0
1.583333336,0.5503102181043358,0.0
1.8,0.4097376028684078,0.0
1.98333333,0.30010809604062516,0.0
2.6166666629999997,0.37959029575059866,0.0
0.983333332,0.3092948717948718,0.0
0.233333333,0.46153846153846156,0.0
1.916666667,0.4249865853705723,0.0
1.8166666679999999,0.5404466895970165,0.0
2.483333328,0.4171720146777196,0.0
2.499999996,0.3720238127199247,0.0
2.399999998,0.31993754048520784,0.0
0.5,0.4338942307692308,0.0
2.033333334,0.27547921614858734,0.0
2.566666661,0.4739200130331947,0.0
2.1,0.36708276909116294,0.0
1.8333333360000001,0.5169424160927429,0.0
2.183333328,0.4724555823433532,0.0
2.450000004,0.47270611061052237,0.0
2.499999997,0.3648513795572619,0.0
1.966666671,0.3435962391611212,0.0
2.583333336,0.2998925530355128,0.0
2.250000005,0.4711202357855502,0.0
2.433333336,0.45223768788193763,0.0
2.450000003,0.27539208593975323,0.0
2.116666662,0.35832479302306885,0.0
2.166666667,0.4006236435977815,0.0
2.916666662,0.3284523342837823,0.0
1.316666664,0.39674962292609356,0.0
2.466666672,0.37228993955183637,0.0
1.633333336,0.45237461442424676,0.0
1.9166666700000001,0.385534692168086,0.0
1.733333336,0.32885346136395366,0.0
2.350000004,0.34317900490314285,0.0
2.649999996,0.37085203223641355,0.0
2.06666667,0.42920738384708973,0.0
2.06666667,0.44762233273262686,0.0
2.149999995,0.39244412574721105,0.0
2.233333333,0.43420212066602437,0.0
2.033333335,0.5484773614185379,0.0
1.7666666640000002,0.4223297771582085,0.0
2.283333338,0.3889140093494476,0.0
2.3166666719999998,0.4465686111344295,0.0
2.05,0.39174792746220366,0.0
2.349999996,0.4178405409589909,0.0
3.250000005,0.38945297934479817,0.0
2.73333333,0.42205880954379676,0.0
2.683333332,0.2909042839063123,0.0
1.8,0.3740955643972885,0.0
2.05,0.4168996915393974,0.0
1.999999998,0.2853082759776472,0.0
2.9333333379999997,0.28620709659093185,0.0
3.950000003,0.3334031508956919,0.0
1.98333333,0.3200919656568477,0.0
1.96666667,0.3795979612003953,0.0
2.016666666,0.31519000487253396,0.0
2.583333336,0.34387827977246505,0.0
2.399999998,0.3633552721788016,0.0
2.16666667,0.3303904613988552,0.0
2.5333333319999998,0.3274754913366529,0.0
1.95,0.29576734539969834,0.0
2.93333334,0.35980271052299184,0.0
2.633333328,0.3317376172396456,0.0
2.549999998,0.40781514782160466,0.0
2.716666667,0.35166312597269067,0.0
1.516666664,0.43521950910931173,0.0
2.483333336,0.30967897423205953,0.0
2.499999997,0.2770559393277446,0.0
2.25,0.28177744837988244,0.0
1.8,0.4174278163738948,0.0
1.749999996,0.43814383715699506,0.0
2.0833333300000003,0.35727424325167734,0.0
1.666666665,0.4508707212786546,0.0
1.5166666690000001,0.30931576874781747,0.0
0.25,0.25,0.0
2.016666666,0.29898348965286087,0.0
2.850000006,0.4318617268666168,0.0
2.2666666699999998,0.29408514068757474,0.0
2.550000002,0.29362548597174265,0.0
1.8333333299999999,0.40564687165526553,0.0
2.166666667,0.3732133565164419,0.0
2.466666672,0.36013505313708155,0.0
1.883333331,0.356134486803858,0.0
2.350000004,0.31878445208753736,0.0
2.416666668,0.4773134824053942,0.0
2.416666668,0.39359461526827677,0.0
2.433333336,0.45968527727718905,0.0
2.466666672,0.45600880668895377,0.0
0.6000000000000001,0.2879138608305275,0.0
0.266666667,0.40625,0.0
1.7666666640000002,0.41239965796454003,0.0
2.649999996,0.3196323540817509,0.0
3.33333333,0.3946190111631288,0.0
1.449999999,0.5462886009104497,0.0
2.816666671,0.38982422031630176,0.0
1.066666665,0.46292944528238644,0.0
2.2,0.36920266132927604,0.0
0.283333333,0.20588235294117646,0.0
2.1,0.4432105680267445,0.0
2.2,0.3549272566513946,0.0
2.38333333,0.26844411504654914,0.0
1.65,0.34295898996203256,0.0
2.133333334,0.4319633565164418,0.0
0.666666666,0.25994694960212206,0.0
0.516666666,0.33371040723981904,0.0
1.716666665,0.272085757379875,0.0
0.549999999,0.3454170350722075,0.0
1.783333336,0.27866411816716075,0.0
2.433333336,0.3759664101400717,0.0
1.283333334,0.2839453199493767,0.0
0.6000000000000001,0.5005128205128205,0.0
2.850000006,0.426918018184518,0.0
0.783333332,0.527191218367689,0.0
2.6,0.44740179440971295,0.0
0.683333332,0.5230769230769231,0.0
1.9500000000000002,0.4193709559072135,0.0
2.15,0.3269312945337286,0.0
2.3833333370000003,0.2811867752571699,0.0
2.0166666699999998,0.396159692168086,0.0
1.666666664,0.32480109522519046,0.0
2.55,0.3452084254347185,0.0
2.283333336,0.4079455768067384,0.0
1.8333333299999999,0.4125680638102038,0.0
2.350000004,0.28519747044433563,0.0
1.9,0.49771943885128467,0.0
2.333333332,0.47073843367961016,0.0
2.333333332,0.31768811576392836,0.0
2.0,0.41731353832193213,0.0
2.2,0.27793129453372856,0.0
2.16666667,0.35353695324283557,0.0
2.066666668,0.4662711349824353,0.0
1.549999997,0.3555311355311356,0.0
2.4000000000000004,0.3456212563495778,0.0
1.566666668,0.3347792558318874,0.0
2.433333336,0.3770186684660369,0.0
2.0,0.38511470985155194,0.0
1.966666671,0.43792735352319534,0.0
2.499999996,0.4493027670003408,0.0
1.600000003,0.25803371746576614,0.0
2.7,0.34954735651997315,0.0
2.633333328,0.27858787731907236,0.0
2.7833333359999997,0.36609560744088876,0.0
2.3000000000000003,0.2885562945337286,0.0
0.316666666,0.28735632183908044,0.0
2.2999999989999997,0.3564233640298549,0.0
2.4166666699999997,0.2775701310184069,0.0
2.566666668,0.41682202941394114,0.0
2.233333333,0.3509165614642288,0.0
0.366666666,0.52,0.0
2.2,0.46554183358468476,0.0
2.266666668,0.488082713174625,0.0
1.950000003,0.3798808058442947,0.0
2.38333333,0.3619855634561517,0.0
1.8333333360000001,0.3723220368476172,0.0
2.46666667,0.4232748718163965,0.0
2.516666664,0.3739364956101571,0.0
1.950000003,0.2759458631669585,0.0
2.349999996,0.37736865372981526,0.0
3.383333328,0.3682767192368802,0.0
1.566666666,0.4055798573947394,0.0
1.533333336,0.4257131045661425,0.0
3.4333333280000002,0.4109327644099747,0.0
1.75,0.2841788240495137,0.0
0.483333334,0.3557692307692308,0.0
1.8166666679999999,0.4695803697029187,0.0
