tall_item_share,volume_tail_ratio,fragile_share,flat_item_share,dim_l_p90_to_vh
0.75,1.3649171270718232,0.0,0.0,1.0766666666666667
0.5714285714285714,1.4480662983425414,0.0,0.0,1.0266666666666668
0.7777777777777778,1.7473015873015876,0.0,0.0,1.0666666666666667
0.7,1.7343151693667151,0.0,0.0,1.0666666666666667
0.7272727272727273,1.7560763888888888,0.0,0.0,1.0666666666666667
0.6,1.3963859020310632,0.0,0.0,1.07
0.6,1.307258064516129,0.0,0.0,1.07
0.6363636363636364,1.5256410256410255,0.0,0.0,1.0666666666666667
0.7777777777777778,1.8858934169279,0.0,0.0,1.0133333333333334
0.625,1.30625,0.0,0.0,1.0766666666666667
0.75,1.8799828178694156,0.0,0.0,1.0866666666666667
0.8,1.772173913043478,0.0,0.0,1.0666666666666667
0.5714285714285714,1.752777777777778,0.0,0.0,1.0466666666666666
0.45454545454545453,1.6449074074074075,0.0,0.0,1.0666666666666667
0.8888888888888888,1.26641975308642,0.0,0.0,1.0733333333333333
0.4444444444444444,1.9029629629629627,0.0,0.0,1.08
0.6666666666666666,1.881857638888889,0.0,0.0,1.0666666666666667
0.8,1.3210256410256405,0.0,0.0,1.0666666666666667
0.7142857142857143,1.8270833333333334,0.0,0.0,1.0666666666666667
1.0,1.2790322580645161,0.0,0.0,1.0666666666666667
1.0,1.4923076923076928,0.0,0.0,1.0666666666666667
0.375,1.8517273576097106,0.0,0.0,0.8766666666666667
0.4444444444444444,2.114814814814815,0.0,0.0,1.08
0.6666666666666666,1.5232339089481945,0.0,0.0,1.08
0.6153846153846154,2.0959201388888893,0.0,0.0,1.0666666666666667
0.75,1.5600000000000003,0.0,0.0,0.9133333333333333
1.0,1.0,0.0,0.0,0.8666666666666667
0.6666666666666666,1.1774074074074075,0.0,0.0,1.1066666666666667
0.4444444444444444,1.7402380952380951,0.0,0.0,0.8733333333333334
0.6666666666666666,1.2118985695708713,0.0,0.0,1.0566666666666666
0.6153846153846154,1.6079713390058217,0.0,0.0,1.0533333333333335
0.8181818181818182,1.6055555555555556,0.0,0.0,1.0666666666666667
1.0,1.1660377358490566,0.0,0.0,1.0466666666666666
0.8888888888888888,1.6744113029827317,0.0,0.0,1.08
0.46153846153846156,1.2761675824175824,0.0,0.0,1.0333333333333334
0.6,1.6016998341625202,0.0,0.0,1.0666666666666667
0.4444444444444444,1.5726190476190476,0.0,0.0,0.9333333333333333
0.36363636363636365,1.7393518518518518,0.0,0.0,1.0666666666666667
0.5833333333333334,1.4256176853055915,0.0,0.0,1.0666666666666667
0.7272727272727273,1.7484301412872842,0.0,0.0,1.0666666666666667
0.6666666666666666,1.819607843137255,0.0,0.0,1.0666666666666667
0.9166666666666666,1.2888888888888888,0.0,0.0,1.0666666666666667
0.5454545454545454,1.490873015873016,0.0,0.0,0.9
0.5,1.529825997952917,0.0,0.0,0.9566666666666667
0.8181818181818182,1.7202380952380953,0.0,0.0,1.0666666666666667
0.7272727272727273,1.6121809225257502,0.0,0.0,1.0666666666666667
