spare_x_count,near_limit_long_share,vol_cv
194312,0.0,0.31424960845033323
120554,0.0,0.3864513206783552
165393,0.0,0.5386631445981904
173390,0.0,0.5788734773748437
137709,0.0,0.5030552309432307
125050,0.0,0.48771970779409296
147930,0.0,0.37792015365852644
138886,0.0,0.5512125222213332
175725,0.0,0.5707366747971601
192192,0.0,0.4702758202860995
177424,0.0,0.3951617288588304
115940,0.0,0.5097573461464083
145866,0.0,0.42806883885929586
220121,0.0,0.40599835057472683
147600,0.0,0.4774193360084383
203607,0.0,0.5000670690570458
149136,0.0,0.4253365276996601
126340,0.0,0.44525189833658346
103740,0.0,0.4146883152691208
144696,0.0,0.3755298650941218
147469,0.0,0.4763281467021612
206016,0.0,0.5112201590456382
183015,0.0,0.6531269396135164
186057,0.0,0.4218080427773446
113308,0.0,0.5711088207651702
134608,0.0,0.36607318635600017
40632,0.0,0.0
169110,0.0,0.3357393206873583
192456,0.0,0.5043598736427509
131376,0.0,0.34203859147576016
142272,0.0,0.5654654419841759
152768,0.0,0.42325397109524693
67952,0.0,0.2935160223793216
157122,0.0,0.37595624172967385
147602,0.0,0.46471382134382605
179800,0.0,0.6094282887287354
197208,0.0,0.4856671660588285
175428,0.0,0.6085729144007179
107220,0.0,0.5238019868341331
121759,0.0,0.4280352705428638
154638,0.0,0.5492426609566708
83700,0.0,0.3232263327731436
192929,0.0,0.42845344248037
144948,0.0,0.5590186616962615
144254,0.0,0.37656820049641937
166991,0.0,0.5424511240252592
185185,0.0,0.5818821928922946
59579,0.0,0.35478821689692314
153384,0.0,0.47329852900575264
145464,0.0,0.5637319240928951
182688,0.0,0.33974359947065896
228240,0.0,0.3823867676818295
172400,0.0,0.5939951511977003
149226,0.0,0.4315662335244666
104436,0.0,0.36625921121350297
153840,0.0,0.3850969163359673
153210,0.0,0.3649229698316346
203016,0.0,0.42817375203564784
162987,0.0,0.3742674421269756
224070,0.0,0.4840020301453035
181656,0.0,0.44346978995501224
157355,0.0,0.6001671977526077
159204,0.0,0.6276974352788792
164660,0.0,0.5891311705095421
157920,0.0,0.580753477025809
