spare_x_wlmax,total_footprint_ratio,cross_dim_pressure_count
3886240.0,1.8026666666666666,0
1377760.0,2.8473333333333333,0
3185346.6660541,2.1213333333333333,0
3005426.6660887,2.1306666666666665,0
2169959.9995827,2.678,0
2167533.3329165,2.188,0
2366880.0,2.0893333333333333,0
2188506.6662458,2.550666666666667,0
3384333.3326824997,1.9486666666666668,0
3843840.0,1.5373333333333334,0
2661360.0,2.052,0
2009626.6662802,2.4286666666666665,0
1354470.0,2.9046666666666665,0
2601430.0,2.267333333333333,0
2842666.6661199997,2.1846666666666668,0
2940990.0,1.766,0
1615640.0,2.7226666666666666,0
2189893.3329122,2.4066666666666667,0
963300.0,3.052,0
3135080.0,1.4613333333333334,0
3651613.3326311,1.8406666666666667,0
3186810.0,1.3013333333333332,0
3524733.3326554997,1.8646666666666667,0
2584125.0,2.1353333333333335,0
1510773.3330428,2.768,0
4374760.0,0.9866666666666667,0
5282160.0,0.24266666666666667,0
3006400.0,2.01,0
2779920.0,1.544,0
1751680.0,2.6313333333333335,0
1896959.9996352,2.6586666666666665,0
1736000.0,2.6046666666666667,0
5889173.3322008,0.584,0
2182250.0,2.348,0
1816640.0,2.3946666666666667,0
3116533.332734,2.0926666666666667,0
2711610.0,1.6213333333333333,0
2764319.9994683997,2.0453333333333332,0
1548733.3330355,2.4446666666666665,0
1438970.0,2.6746666666666665,0
2978213.3327606,2.078666666666667,0
1116000.0,3.0073333333333334,0
2331225.4172513,2.086,0
2093693.3329307,2.4113333333333333,0
1639250.0,2.7666666666666666,0
2631373.3328273,2.3673333333333333,0
2918066.6661055,2.2293333333333334,0
733280.0,3.2546666666666666,0
3323320.0,1.3886666666666667,0
2101146.6662626,2.6493333333333333,0
3653760.0,1.6246666666666667,0
3033690.0007608,1.9226666666666667,0
3735333.3326149997,1.836,0
1763580.0,2.462,0
1131390.0,2.771333333333333,0
2461440.0,2.1286666666666667,0
2451360.0,2.1666666666666665,0
2453110.0006152,2.1653333333333333,0
2370720.0,2.2653333333333334,0
2648100.0,1.7293333333333334,0
3229440.0,1.8573333333333333,0
2479533.3328565,2.3146666666666667,0
2299613.3328911,2.324,0
2854106.6661178,2.2306666666666666,0
2281066.666228,2.4513333333333334,0
222500.0,3.3926666666666665,0
1546653.3330359,2.7426666666666666,0
1136980.0,3.009333333333333,0
3536866.6659864997,1.9726666666666666,0
2958720.0,2.0433333333333334,0
2604940.0,2.1853333333333333,0
648234.5834959,3.3753333333333333,0
-627100.8334906,4.270666666666667,0
3069733.332743,2.156,0
1909440.0,2.2746666666666666,0
3034026.6660832,2.2213333333333334,0
1276625.0,2.8266666666666667,0
