n_fragile_items,flat_item_share,vol_top1_share
0,0.0,0.16730239969098545
0,0.0,0.12242710709280277
0,0.0,0.2500093903767419
0,0.0,0.24062759842377354
0,0.0,0.20491979926726395
0,0.0,0.20483151254039084
0,0.0,0.14748237163571357
0,0.0,0.20559708407981714
0,0.0,0.26127576054955837
0,0.0,0.21238558352402745
0,0.0,0.22557181666812726
0,0.0,0.1992456444950009
0,0.0,0.12631213672247765
0,0.0,0.16191124094601625
0,0.0,0.23272727272727273
0,0.0,0.19520042901193188
0,0.0,0.15804985877440747
0,0.0,0.20564790211950812
0,0.0,0.136951316839585
0,0.0,0.24650450105343805
0,0.0,0.2781097229766431
0,0.0,0.23145261845386533
0,0.0,0.26985607135617273
0,0.0,0.1663172606568833
0,0.0,0.18344173740491676
0,0.0,0.3849136411702503
0,0.0,1.0
0,0.0,0.15436856161770315
0,0.0,0.18864329268292682
0,0.0,0.1308293198637378
0,0.0,0.1954428000939629
0,0.0,0.1654667009514014
0,0.0,0.6037735849056604
0,0.0,0.18691453053518264
0,0.0,0.13240801283956488
0,0.0,0.2463360473723168
0,0.0,0.19295738045738045
0,0.0,0.22910642984992427
0,0.0,0.18455566338555385
0,0.0,0.15171966638177478
0,0.0,0.2392695377093968
0,0.0,0.13538461538461538
0,0.0,0.1622300717381013
0,0.0,0.20218097870660065
0,0.0,0.16145016621714858
0,0.0,0.22321338743753982
0,0.0,0.23632167583880703
0,0.0,0.12737214538436797
0,0.0,0.2648693146738012
0,0.0,0.20244540422166798
0,0.0,0.16950911387836132
0,0.0,0.16021825396825398
0,0.0,0.2838379530916844
0,0.0,0.16377171215880892
0,0.0,0.14182990329779321
0,0.0,0.17382495948136142
0,0.0,0.15010613565147074
0,0.0,0.16455696202531644
0,0.0,0.14759964218268562
0,0.0,0.18087697929354446
0,0.0,0.17952127659574468
0,0.0,0.21684313406092198
0,0.0,0.2097501024170422
0,0.0,0.23326557790705824
0,0.0,0.20904522613065327
0,0.0,0.11911152244331329
0,0.0,0.1844942761316074
0,0.0,0.14199812434489986
0,0.0,0.27062411059158364
0,0.0,0.14173079824958504
0,0.0,0.17498597868760515
0,0.0,0.1283054607083219
0,0.0,0.10354398809284364
0,0.0,0.2438988640527666
0,0.0,0.16983372921615203
0,0.0,0.24207157404713414
0,0.0,0.14798631672751314
0,0.0,0.16053386553573656
0,0.0,0.21539058960585075
0,0.0,0.15788989418800797
0,0.0,0.19291014014839242
0,0.0,0.18585948843962918
0,0.0,0.1450958286358512
0,0.0,0.20541941855441023
0,0.0,0.13804569344631556
0,0.0,0.3228090596052185
0,0.0,0.21873151495234966
0,0.0,0.13369655045759235
0,0.0,0.15165613499062566
0,0.0,0.17804332187674846
0,0.0,0.26637851682875097
0,0.0,0.23239412031702802
0,0.0,0.21377159309021113
0,0.0,0.20649819494584837
0,0.0,1.0
0,0.0,0.183398646241539
0,0.0,0.11841475732284301
0,0.0,0.16132873707301787
0,0.0,0.13971286671913588
0,0.0,0.25755523739503927
0,0.0,0.14760147601476015
0,0.0,0.15389214396747578
0,0.0,0.18063157894736842
0,0.0,0.1506570551512434
0,0.0,0.13189448441247004
0,0.0,0.20048192771084336
0,0.0,0.13398899215013985
0,0.0,0.13316395157674488
0,0.0,0.3410097431355182
0,0.0,1.0
0,0.0,0.2718065991506044
0,0.0,0.14241845796331645
0,0.0,0.09883966010693764
0,0.0,0.2222388506435199
0,0.0,0.14067111159689583
0,0.0,0.2845009259850565
0,0.0,0.15429791777896423
0,0.0,1.0
0,0.0,0.149071440522001
0,0.0,0.17826719301890712
0,0.0,0.1686155055517343
0,0.0,0.21332670313276977
0,0.0,0.23722289543089314
0,0.0,0.40521125045659323
0,0.0,0.519134775374376
0,0.0,0.2306658302715297
0,0.0,0.4553794829024187
0,0.0,0.21719686102438612
0,0.0,0.20372184133202742
0,0.0,0.2503647505106507
0,0.0,0.5502645502645502
0,0.0,0.17861263920568898
0,0.0,0.3836218031516404
0,0.0,0.13198826770953692
0,0.0,0.448
0,0.0,0.13717686578063384
0,0.0,0.18876503373423292
0,0.0,0.15202433334317692
0,0.0,0.23496187517650383
0,0.0,0.20758901568611637
0,0.0,0.21079968329374504
0,0.0,0.1380020197312204
0,0.0,0.17003816793893128
0,0.0,0.15295480880648898
0,0.0,0.1820447858777378
0,0.0,0.16985664175690102
0,0.0,0.1980304067120883
0,0.0,0.23066260049902967
0,0.0,0.18355558724951865
0,0.0,0.18584837545126354
0,0.0,0.23887453344817686
0,0.0,0.28596822575269415
0,0.0,0.19654510556621882
0,0.0,0.27575124538004175
0,0.0,0.18129952456418383
0,0.0,0.16965095736045457
0,0.0,0.24769276570407858
0,0.0,0.12863453931221666
0,0.0,0.2013937282229965
0,0.0,0.1430993745656706
0,0.0,0.13654085881760072
0,0.0,0.17069730464442337
0,0.0,0.19463126498625652
0,0.0,0.6891271056661562
0,0.0,0.16746364789694546
0,0.0,0.16235138288813902
0,0.0,0.1357445382248088
0,0.0,0.17700453857791226
0,0.0,0.7058823529411765
0,0.0,0.14812475063173294
0,0.0,0.1426924185644278
0,0.0,0.1775478530781169
0,0.0,0.16740918994504245
0,0.0,0.18513323983169705
0,0.0,0.1514224533496482
0,0.0,0.2115164611668997
0,0.0,0.1789052997393571
0,0.0,0.17375455650060753
0,0.0,0.11274638633377135
0,0.0,0.1876270391410851
0,0.0,0.20584022547705955
0,0.0,0.14234692786415448
0,0.0,0.21910112359550563
0,0.0,0.5321637426900585
0,0.0,0.1724137931034483
0,0.0,0.16199376947040497
0,0.0,0.5013774104683195
0,0.0,0.12805035785116842
0,0.0,0.23085460599334073
0,0.0,0.1847545219638243
0,0.0,0.5303867403314917
0,0.0,0.14295304384694202
0,0.0,0.6149068322981367
0,0.0,0.15850241694633455
0,0.0,0.1888351983723296
0,0.0,0.18969555035128804
0,0.0,0.19209789604317584
0,0.0,0.15884108040201006
0,0.0,0.53125
0,0.0,0.21665754808299315
0,0.0,0.1330507598469968
0,0.0,0.1686728668812245
0,0.0,0.1592416636787379
0,0.0,0.21789373751923266
0,0.0,0.4355329949238579
0,0.0,0.1396598030438675
0,0.0,0.3471902074556871
0,0.0,0.24454405173047247
0,0.0,0.24885964256337395
0,0.0,0.12367909931856338
0,0.0,0.12274167728445882
0,0.0,0.13374764470596012
0,0.0,0.19125096591396926
0,0.0,0.10987413798435229
0,0.0,0.2066971814020718
0,0.0,0.18491379310344827
0,0.0,0.2746625406818546
0,0.0,0.22586696410464407
0,0.0,0.11570099339236752
0,0.0,0.1756936623323436
0,0.0,0.35291622481442203
0,0.0,0.1372287679266407
0,0.0,0.22466544505525016
0,0.0,0.12219873150105708
0,0.0,0.3009858008501402
0,0.0,0.15636010205321346
0,0.0,0.14670428314952552
0,0.0,0.12617348854675178
0,0.0,0.2371130348046026
0,0.0,0.16036883586181117
0,0.0,0.1289116113093604
0,0.0,0.14230521571152607
0,0.0,0.13465512280609976
0,0.0,0.19280898876404495
0,0.0,0.16270543615676358
0,0.0,0.2076949480450588
0,0.0,0.1915065024743929
0,0.0,0.169018893694514
0,0.0,0.1475113900111751
0,0.0,0.1218617094251612
0,0.0,0.09801047120418849
0,0.0,0.19020172910662825
0,0.0,0.12376487558600793
0,0.0,0.14597215527263446
0,0.0,0.18199172764874325
0,0.0,0.3452691486838985
0,0.0,0.48847036098032115
0,0.0,0.32042448720994693
0,0.0,0.16350594477743932
0,0.0,0.17859187178019462
0,0.0,0.13147746137147234
0,0.0,0.12236457417223265
0,0.0,0.17258725302079553
0,0.0,0.14341821459614332
0,0.0,0.15934627170582227
0,0.0,0.16463138851198553
0,0.0,0.1363900384810862
0,0.0,0.14658731740653208
0,0.0,0.18108906711692696
0,0.0,0.20152597795809615
0,0.0,0.25694873378628785
0,0.0,0.17650083999040012
0,0.0,0.15262598924252288
0,0.0,0.23095072866065233
0,0.0,0.16597884962599949
0,0.0,0.13787931542437795
0,0.0,0.270360290832284
0,0.0,0.27210661869915376
0,0.0,0.1807565923471743
0,0.0,0.2116981012054324
0,0.0,0.20219158713326263
0,0.0,0.4788144737788648
0,0.0,0.16527201847391554
0,0.0,0.13197446167268112
0,0.0,0.13754880967376243
0,0.0,0.21686029192731607
0,0.0,0.12502124972678924
0,0.0,0.3459998960336851
0,0.0,0.14189245059397482
0,0.0,0.15575784522500175
0,0.0,0.13833523849111504
0,0.0,0.19774800202026205
0,0.0,0.19008233947494738
0,0.0,0.1928157589803013
0,0.0,0.2321266652716747
0,0.0,0.26975476839237056
0,0.0,0.2794173208513496
0,0.0,0.15484569572279372
