spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share,spare_cap_x_wl_max,item_vol_cv,long_item_share,wl_cv,fragile_share,spare_cap_cubed,wl_max_to_avg,tight_x_high_wl,sku_counts_x_lL,spare_cap_x_wl_cv,near_h_limit_share,wl_total_sq,load_util_ratio,multi_dim_tight_share,dim_l_tail_ratio
16961818.3325237,194312,589955521,0.09119791652499999,0.25,3886240.0,0.3142496084502118,0.25,0.3782797363298444,0.0,14329429649569,1.8329355397913663,0,3.4,9188.036619919765,0.75,487669.44439788896,0.0,0.125,1.2188679244823069
10444425.419537,120554,74149321,0.0793197281612245,0.14285714285714285,1377760.0,0.3864513206782065,0.14285714285714285,0.3255897055943056,0.0,638499803131,1.8467880240694323,0,5.300000006,2803.6529869099113,0.5714285714285714,1471166.8410863888,0.0,0.07142857142857142,1.2078431372075358
15934390.416054102,165393,337714129,0.09469135816049382,0.3333333333333333,3185346.6660541,0.5386631445980082,0.3333333333333333,0.3944009756650771,0.0,6206172548633,1.7991350122630636,0,3.899999997,7247.9068042753715,0.7777777777777778,751833.5068866389,0.0,0.2222222222222222,1.2307692307218936
16724910.4160887,173390,300640921,0.07833333340000001,0.2,3005426.6660887,0.5788734773746345,0.2,0.3740893021908354,0.0,5212812929219,1.796976222987615,0,3.91666667,6486.334477259381,0.7,930421.006880139,0.0,0.2,1.2307692307218936
13786548.75,137709,156725361,0.09127640025087236,0.36363636363636365,2169959.9995827,0.5030552309430603,0.36363636363636365,0.3530276094033918,0.0,1962044794359,1.7313658538591865,0,4.73333333,4419.55268582497,0.7272727272727273,1212751.5625,0.0,0.2727272727272727,1.2307692307218936
13213616.670835,125050,156375025,0.0826388888261111,0.3,2167533.3329165,0.4877197077939429,0.3,0.33394746676581344,0.0,1955469687625,1.640378532538885,0,3.9666666699999995,4176.013111031919,0.6,1116544.4451488887,0.0,0.2,1.211320754671271
14990239.995069,147930,218832849,0.079266666735,0.2,2366880.0,0.3779201536584013,0.2,0.28391845179814634,0.0,3237194335257,1.578947353358726,0,3.8666666700000003,4200.005698482929,0.6,1026844.443768889,0.0,0.1,1.2346153845678995
13457211.662458,138886,159415876,0.08553719002644627,0.2727272727272727,2188506.6662458,0.5512125222211459,0.2727272727272727,0.36365648727024585,0.0,2012784850376,1.788897557497713,0,4.499999999,4591.526855187395,0.6363636363636364,1136000.693733889,0.0,0.2727272727272727,1.2307692307218936
18491802.0826825,175725,381225625,0.07870370381296296,0.1111111111111111,3384333.3326824997,0.5707366747969583,0.1111111111111111,0.33500643393482554,0.0,7443430328125,1.6471623242597575,0,3.750000003,6541.000684114098,0.7777777777777778,896966.840214639,0.0,0.1111111111111111,1.1692307691857988
18148130.0008008,192192,577152576,0.0734635415375,0.25,3843840.0,0.47027582028592013,0.25,0.35275733764679296,0.0,13865513485824,1.6944291051160534,0,3.1,8474.642368477078,0.625,570654.3403281388,0.0,0.125,1.2423076922599112
15644730.8340726,177424,491863684,0.10740885431875,0.375,2661360.0,0.3951617288586919,0.375,0.32296872885272915,0.0,10908552783752,1.3608977991481748,0,3.65,7162.800548915503,0.75,497612.67365813884,0.0,0.125,1.2074074073626886
12265485.837198,115940,134420836,0.09388888896111111,0.3,2009626.6662802,0.5097573461462557,0.3,0.3189962468093317,0.0,1558475172584,1.6384403145201576,0,4.33333333,3698.4425201174713,0.8,1119187.6743163888,0.0,0.2,1.207547169765753
12711180.0,145866,108555561,0.08119331046621316,0.14285714285714285,1354470.0,0.42806883885912256,0.14285714285714285,0.334776807792226,0.0,1131040390059,1.4918032616183823,0,5.616666664,3488.0396000136197,0.5714285714285714,1488400.0,0.0,0.07142857142857142,1.207692307645858
17376218.3326663,220121,400440121,0.07925619854683195,0.18181818181818182,2601430.0,0.40599835057454814,0.18181818181818182,0.3376421348334191,0.0,8013207261331,1.6468329925610652,0,4.200000002,6756.55684488733,0.45454545454545453,754002.777719889,0.0,0.09090909090909091,1.5238095237369615
15730333.33388,147600,268960000,0.09460905341687242,0.3333333333333333,2842666.6661199997,0.47741933600828806,0.3333333333333333,0.3641022851344454,0.0,4410944000000,1.6264117998430558,0,4.033333332,5971.277531673974,0.8888888888888888,920000.6945083888,0.0,0.2222222222222222,1.1925925925484226
18126678.75,203607,511800129,0.07379286684417011,0.2222222222222222,2940990.0,0.5000670690568447,0.2222222222222222,0.3466429130649372,0.0,11578454318367,1.460218392298072,0,3.383333334,7842.102709473234,0.4444444444444444,642001.5625,0.0,0.1111111111111111,1.619999999919
13707048.337476,149136,154455184,0.08852623463765431,0.25,1615640.0,0.4253365276995034,0.25,0.3241667303108216,0.0,1919569026752,1.4144314164544385,0,4.966666668,4028.744167698264,0.6666666666666666,1216425.1743463888,0.0,0.08333333333333333,1.2307692307218936
13223586.670877999,126340,159617956,0.094250000145,0.2,2189893.3329122,0.4452518983364459,0.2,0.28508187903263116,0.0,2016613256104,1.656050938745994,0,4.35,3601.724493765528,0.8,1095511.1118088888,0.0,0.2,1.1636363635940496
9870737.49753,103740,54908100,0.08603316352397959,0.21428571428571427,963300.0,0.4146883152689664,0.21428571428571427,0.3049676347125816,0.0,406869021000,1.3662808740281034,0,5.916666672,2259.810196733,0.7142857142857143,1774446.006056389,0.0,0.07142857142857142,1.2307692307218936
16820910.0,144696,581581456,0.09992283969938272,0.3333333333333333,3135080.0,0.3755298650940139,0.3333333333333333,0.09703932802546815,0.0,14025418392896,1.1182795602728641,0,2.916666666,2340.200454591639,1.0,486506.25,0.0,0.16666666666666666,1.0847457626750934
16563928.75,147469,443818489,0.1040816325755102,0.2857142857142857,3651613.3326311,0.47632814670202195,0.2857142857142857,0.2910677961135922,0.0,9349924107763,1.5431902346442357,0,3.400000002,6131.925314771777,1.0,618189.0625,0.0,0.2857142857142857,1.103448275824019
16663689.999141602,206016,663165504,0.06226128476111111,0.0,3186810.0,0.5112201590454257,0.0,0.23973622005777298,0.0,17077838059008,1.5299420286717302,0,2.516666664,6173.687214490839,0.375,418716.84023463895,0.0,0.0,1.5470588234384084
17174602.0826555,183015,413512225,0.0774074074,0.3333333333333333,3524733.3326554997,0.6531269396132781,0.3333333333333333,0.417143906859917,0.0,8408771095375,1.8470646075416084,0,3.4833333329999996,8482.62143548451,0.4444444444444444,713321.006888139,0.0,0.2222222222222222,1.619999999919
15694252.500689099,186057,427372929,0.09712620016824418,0.2222222222222222,2584125.0,0.42180804277718853,0.2222222222222222,0.28874277703551354,0.0,8835080561217,1.481888017590831,0,3.966666669,5969.179499712764,0.6666666666666666,576334.0278283888,0.0,0.2222222222222222,1.1571428571015305
11062056.669572,113308,75968656,0.08102892831081525,0.23076923076923078,1510773.3330428,0.5711088207649656,0.23076923076923078,0.37379594234689234,0.0,662142805696,1.7754431856423991,0,5.233333339,3258.0054665333573,0.6153846153846154,1610784.0286238887,0.0,0.07692307692307693,1.2307692307218936
11007008.3322116,134608,1132457104,0.10345486088888887,0.0,4374760.0,0.36607318635587116,0.0,0.362220508481878,0.0,38109446463808,1.589808897820011,0,1.683333332,12189.44469900984,0.75,106983.50692263889,0.0,0.0,1.0538461538056212
5282160.0,40632,1650959424,0.10111111088888888,0.0,5282160.0,0.0,0.0,0.0,0.0,67081783315968,0.9999999923076924,0,0.433333333,0.0,1.0,16900.0,0.0,0.0,0.9999999999615384
