spare_vol_per_item,bulky_item_share,dim_m_p90_to_vw
3036.125,0.0,0.64
615.0714285714286,0.07142857142857142,0.64
2041.888888888889,0.1111111111111111,0.68
1733.9,0.1,0.644
1138.090909090909,0.09090909090909091,0.68
1250.5,0.2,0.644
1479.3,0.1,0.608
1147.8181818181818,0.09090909090909091,0.68
2169.4444444444443,0.1111111111111111,0.648
3003.0,0.0,0.6
2772.25,0.0,0.6920000000000001
1159.4,0.1,0.684
744.2142857142857,0.0,0.68
1819.1818181818182,0.0,0.68
1822.2222222222222,0.1111111111111111,0.648
2513.6666666666665,0.0,0.68
1035.6666666666667,0.0,0.68
1263.4,0.2,0.68
529.2857142857143,0.0,0.6680000000000001
4019.3333333333335,0.0,0.66
3009.5714285714284,0.14285714285714285,0.6559999999999999
3219.0,0.125,0.624
2259.4444444444443,0.1111111111111111,0.68
2297.0,0.0,0.68
670.4615384615385,0.07692307692307693,0.68
8413.0,0.0,0.64
40632.0,0.0,0.56
2087.777777777778,0.1111111111111111,0.68
2376.0,0.1111111111111111,0.616
912.3333333333334,0.08333333333333333,0.6759999999999999
841.8461538461538,0.07692307692307693,0.68
1262.5454545454545,0.0,0.68
16988.0,0.5,0.632
1939.7777777777778,0.0,0.688
873.3846153846154,0.07692307692307693,0.664
1798.0,0.1,0.68
2434.6666666666665,0.1111111111111111,0.616
1449.8181818181818,0.18181818181818182,0.68
744.5833333333334,0.16666666666666666,0.636
1006.2727272727273,0.0,0.68
1909.111111111111,0.1111111111111111,0.68
581.25,0.0,0.64
1594.4545454545455,0.09090909090909091,0.68
1006.5833333333334,0.16666666666666666,0.68
1192.1818181818182,0.0,0.68
1380.090909090909,0.09090909090909091,0.68
1530.4545454545455,0.09090909090909091,0.68
352.53846153846155,0.0,0.672
4260.666666666667,0.0,0.7
1010.1666666666666,0.08333333333333333,0.68
2854.5,0.125,0.624
2282.4,0.0,0.68
2693.75,0.125,0.68
1233.2727272727273,0.0,0.64
725.25,0.08333333333333333,0.6759999999999999
1538.4,0.1,0.684
1532.1,0.1,0.608
1677.8181818181818,0.0,0.68
1347.0,0.09090909090909091,0.68
1851.8181818181818,0.09090909090909091,0.6
2242.6666666666665,0.0,0.6
1300.4545454545455,0.09090909090909091,0.68
1105.5833333333333,0.08333333333333333,0.6759999999999999
1646.6,0.1,0.68
1096.6666666666667,0.08333333333333333,0.6759999999999999
118.66666666666667,0.06666666666666667,0.68
637.3571428571429,0.07142857142857142,0.68
728.8333333333334,0.0,0.68
2267.222222222222,0.1111111111111111,0.68
1849.2,0.1,0.68
2226.4444444444443,0.0,0.68
375.15384615384613,0.0,0.68
-248.31578947368422,0.0,0.68
1967.7777777777778,0.1111111111111111,0.68
1468.8,0.0,0.684
1944.888888888889,0.1111111111111111,0.68
851.0833333333334,0.0,0.6759999999999999
1175.6363636363637,0.0,0.68
1409.8,0.1,0.684
1032.9166666666667,0.0,0.68
2289.25,0.0,0.6920000000000001
656.2857142857143,0.07142857142857142,0.68
793.3333333333334,0.0,0.6759999999999999
969.0769230769231,0.07692307692307693,0.68
592.9230769230769,0.0,0.672
3047.625,0.125,0.68
1324.5454545454545,0.09090909090909091,0.68
1120.8181818181818,0.0,0.68
1619.8,0.0,0.68
2219.777777777778,0.0,0.616
2223.6666666666665,0.1111111111111111,0.68
1635.9,0.1,0.68
2684.4444444444443,0.0,0.648
2867.1428571428573,0.0,0.696
41160.0,0.0,0.6
1881.111111111111,0.0,0.688
527.0,0.07142857142857142,0.6680000000000001
1309.0,0.0,0.684
741.1818181818181,0.0,0.68
1915.7,0.1,0.68
1725.8181818181818,0.0,0.68
962.3333333333334,0.0,0.6759999999999999
1833.3333333333333,0.0,0.688
1455.1818181818182,0.0,0.68
935.25,0.08333333333333333,0.6
983.3333333333334,0.08333333333333333,0.68
979.25,0.08333333333333333,0.6
962.0833333333334,0.08333333333333333,0.672
11613.0,0.0,0.5760000000000001
38344.0,1.0,0.64
2279.1111111111113,0.1111111111111111,0.68
737.75,0.0,0.68
-4.866666666666666,0.06666666666666667,0.664
3564.8571428571427,0.14285714285714285,0.632
646.4615384615385,0.07692307692307693,0.672
5868.2,0.0,0.648
1707.090909090909,0.0,0.68
40954.0,0.0,0.68
1511.5,0.1,0.68
1465.6363636363637,0.0,0.64
1446.9,0.0,0.684
2608.5,0.0,0.6920000000000001
1540.1818181818182,0.09090909090909091,0.68
12262.333333333334,0.0,0.672
18293.0,0.0,0.6679999999999999
3240.285714285714,0.0,0.696
11802.666666666666,0.0,0.544
2662.25,0.0,0.6920000000000001
1027.3333333333333,0.08333333333333333,0.68
4073.0,0.0,0.7
12354.0,0.0,0.56
552.5,0.14285714285714285,0.68
8346.75,0.0,0.588
865.1538461538462,0.07692307692307693,0.664
8812.5,0.0,0.536
1761.2,0.1,0.608
1772.8,0.0,0.684
1012.4545454545455,0.0,0.68
1667.2,0.1,0.68
2525.125,0.0,0.6920000000000001
1118.75,0.08333333333333333,0.6759999999999999
1604.5,0.0,0.68
1880.0,0.0,0.6
1031.1818181818182,0.0,0.64
2052.8,0.1,0.608
1706.5454545454545,0.09090909090909091,0.64
1035.3636363636363,0.09090909090909091,0.68
1614.4,0.1,0.68
1695.4,0.0,0.684
1730.0,0.0,0.684
1557.8181818181818,0.09090909090909091,0.68
3856.8571428571427,0.0,0.672
927.9166666666666,0.08333333333333333,0.68
3761.5714285714284,0.0,0.696
1383.75,0.0,0.68
2405.7,0.0,0.68
2014.2222222222222,0.2222222222222222,0.68
797.4615384615385,0.07692307692307693,0.6
3558.5714285714284,0.0,0.6559999999999999
752.0833333333334,0.08333333333333333,0.68
608.0833333333334,0.0,0.6759999999999999
429.07142857142856,0.07142857142857142,0.68
1080.2,0.1,0.684
19888.0,0.0,0.46399999999999997
1296.2727272727273,0.0,0.64
1208.2727272727273,0.0,0.68
1015.0833333333334,0.08333333333333333,0.64
1446.909090909091,0.0,0.68
20715.0,0.0,0.532
1356.7272727272727,0.09090909090909091,0.68
1148.25,0.08333333333333333,0.6
1778.3333333333333,0.1111111111111111,0.688
1424.9,0.1,0.684
1910.3333333333333,0.0,0.688
1198.3846153846155,0.0,0.68
1127.6666666666667,0.08333333333333333,0.6759999999999999
1802.7777777777778,0.0,0.688
1281.0,0.0,0.68
-41.25,0.0625,0.66
2868.1111111111113,0.0,0.68
2919.625,0.0,0.624
-103.47058823529412,0.11764705882352941,0.68
