q90_l_to_L,spare_cap_x_n_wide,height_tail_share
0.5383333333333333,24289,0.0
0.5133333333333334,25833,0.0
0.5333333333333333,36754,0.0
0.5333333333333333,52017,0.0
0.5333333333333333,25038,0.0
0.535,37515,0.0
0.535,29586,0.0
0.5333333333333333,25252,0.0
0.5066666666666667,39050,0.0
0.5383333333333333,24024,0.0
0.5433333333333333,0,0.0
0.5333333333333333,11594,0.0
0.5233333333333333,10419,0.0
0.5333333333333333,20011,0.0
0.5366666666666666,32800,0.0
0.54,22623,0.0
0.5333333333333333,12428,0.0
0.5333333333333333,37902,0.0
0.5333333333333333,7410,0.0
0.5333333333333333,0,0.0
0.5333333333333333,21067,0.0
0.43833333333333335,77256,0.0
0.54,40670,0.0
0.54,0,0.0
0.5333333333333333,17432,0.0
0.45666666666666667,0,0.0
0.43333333333333335,0,0.0
0.5533333333333333,56370,0.0
0.4366666666666667,64152,0.0
0.5283333333333333,21896,0.0
0.5266666666666667,21888,0.0
0.5333333333333333,13888,0.0
0.5233333333333333,33976,0.0
0.54,0,0.0
0.5166666666666667,34062,0.0
0.5333333333333333,35960,0.0
0.4666666666666667,65736,0.0
0.5333333333333333,63792,0.0
0.5333333333333333,35740,0.0
0.5333333333333333,0,0.0
0.5333333333333333,17182,0.0
0.5333333333333333,0,0.0
0.45,52617,0.0
0.47833333333333333,48316,0.0
0.5333333333333333,0,0.0
0.5333333333333333,30362,0.0
0.5333333333333333,50505,0.0
0.5466666666666667,4583,0.0
0.55,25564,0.0
0.5333333333333333,24244,0.0
0.5383333333333333,68508,0.0
0.48833333333333334,22824,0.0
0.5333333333333333,21550,0.0
0.5333333333333333,13566,0.0
0.53,17406,0.0
0.535,46152,0.0
0.535,30642,0.0
0.48333333333333334,18456,0.0
0.5333333333333333,29634,0.0
0.43333333333333335,81480,0.0
0.5366666666666666,20184,0.0
0.5333333333333333,14305,0.0
0.48000000000000004,26534,0.0
0.5366666666666666,32932,0.0
0.5283333333333333,26320,0.0
0.5333333333333333,3560,0.0
0.5183333333333334,17846,0.0
0.5333333333333333,0,0.0
0.5333333333333333,40810,0.0
0.535,55476,0.0
0.54,0,0.0
0.5333333333333333,0,0.0
0.5333333333333333,-4718,0.0
0.5333333333333333,17710,0.0
0.5366666666666666,14688,0.0
0.54,17504,0.0
0.5333333333333333,0,0.0
0.5333333333333333,12932,0.0
0.5333333333333333,14098,0.0
0.53,0,0.0
0.5433333333333333,0,0.0
0.5183333333333334,18376,0.0
0.5333333333333333,9520,0.0
0.5233333333333333,37794,0.0
0.5333333333333333,7708,0.0
0.5333333333333333,48762,0.0
0.5333333333333333,14570,0.0
0.5333333333333333,0,0.0
0.5366666666666666,0,0.0
0.5533333333333333,19978,0.0
0.5333333333333333,40026,0.0
0.5366666666666666,32718,0.0
0.45666666666666667,24160,0.0
0.5466666666666666,0,0.0
0.5333333333333333,0,0.0
0.54,0,0.0
0.5183333333333334,22134,0.0
0.5366666666666666,0,0.0
0.55,0,0.0
0.5333333333333333,38314,0.0
0.5333333333333333,18984,0.0
0.53,11548,0.0
0.54,16500,0.0
0.5333333333333333,0,0.0
0.525,33669,0.0
0.5283333333333333,23600,0.0
0.5333333333333333,35253,0.0
0.5483333333333333,34635,0.0
0.5466666666666667,0,0.0
0.5333333333333333,38344,0.0
0.49333333333333335,41024,0.0
0.5333333333333333,0,0.0
0.5433333333333333,-146,0.0
0.44,49908,0.0
0.5333333333333333,25212,0.0
0.52,0,0.0
0.5333333333333333,18778,0.0
