model,fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
logreg,1,539980,135000,186370,47235,0.9325333333333333,0.8702728950179665,0.9485762675981794,0.9870300602284272,0.7625701280829893,0.902081248628878,81086,6679,2429,44806,0.07610095140431836,0.05142373240182068
logreg,2,540070,134910,188474,45131,0.9337928989696835,0.8658164399620025,0.949192351155525,0.9876174874690122,0.7695375684119563,0.8975870828981825,83140,6639,2293,42838,0.07394825070450774,0.05080764884447497
logreg,3,539981,134999,188252,45353,0.9323476470196076,0.8636108099425772,0.9484047361806275,0.9868753504608013,0.7628602297532688,0.8965681320882083,82853,6793,2340,43013,0.07577582937331281,0.051595263819372475
logreg,4,539890,135090,186133,47472,0.9355910874231993,0.8757826584216953,0.9516978429389956,0.9882505959818698,0.7865689248399056,0.8883221887787359,81210,6408,2293,45179,0.07313565705676915,0.04830215706100438
logreg,5,539999,134981,185191,48414,0.9329090760921908,0.8730050418893817,0.9513363903003264,0.9874291071595162,0.7747139257239641,0.8945305381824776,79867,6700,2356,46058,0.07739669851097994,0.04866360969967365
linear_svm,1,539980,135000,186370,47235,0.9335777777777777,0.8721554440424787,0.9493172435693871,0.987547617992709,0.7711654493489997,0.7460579017667097,81192,6573,2394,44841,0.07489318065287985,0.050682756430612895
linear_svm,2,540070,134910,188474,45131,0.934867689570825,0.8676309933238924,0.9502780793689481,0.9880447857419502,0.7800624847665685,0.7252604696940952,83236,6543,2244,42887,0.07287895833101282,0.049721920631051825
linear_svm,3,539981,134999,188252,45353,0.9333476544270698,0.8655899921562318,0.9489559676316892,0.9872098515232931,0.7661235199435539,0.7385677999724978,82963,6683,2315,43038,0.07454878075987774,0.05104403236831081
linear_svm,4,539890,135090,186133,47472,0.9367680805389,0.8780052044898434,0.9523929895517358,0.9886484945550207,0.7892441860465116,0.7085485259727089,81336,6282,2260,45212,0.07169759638430459,0.04760701044826424
linear_svm,5,539999,134981,185191,48414,0.9341166534549307,0.875125766463542,0.952183252778122,0.9878971571189247,0.7814475151815591,0.7201371257568692,79989,6578,2315,46099,0.07598738549331731,0.04781674722187797
random_forest,1,539980,135000,186370,47235,0.9979703703703704,0.996468971350037,0.9977347306023077,0.9999785383457008,0.999872975547793,0.13111024896801987,87598,167,107,47128,0.001902808636700279,0.0022652693976923893
random_forest,2,540070,134910,188474,45131,0.9980209028241049,0.996063688633348,0.9980279630409253,0.9999836601664045,0.9998892114067935,0.12646078619307158,89601,178,89,45042,0.0019826462758551554,0.0019720369590746937
random_forest,3,539981,134999,188252,45353,0.9974962777502056,0.9952036258828189,0.997354089034904,0.9999752060832946,0.9999118029678301,0.1384407563001238,89428,218,120,45233,0.002431787252080405,0.0026459109650960244
random_forest,4,539890,135090,186133,47472,0.9982752239247908,0.9969074116929291,0.9981884057971014,0.9999859602403738,0.9999789349511291,0.12476766293814705,87471,147,86,47386,0.0016777374512086558,0.0018115942028985507
random_forest,5,539999,134981,185191,48414,0.9980589860795223,0.9963919013648922,0.9982029991324823,0.999982705069599,0.999834758540918,0.14226060850430614,86392,175,87,48327,0.00202155555812261,0.0017970008675176601
hist_gbdt,1,539980,135000,186370,47235,0.9972666666666666,0.9957686286125333,0.9964221445961681,0.9999652475629901,0.9996824388694824,0.11538789968469938,87565,200,169,47066,0.0022788127385632087,0.003577855403831904
hist_gbdt,2,540070,134910,188474,45131,0.9972426061818991,0.9958347180680182,0.9959229797700029,0.999967758407978,0.9996454765017394,0.10365273663793069,89591,188,184,44947,0.002094030898094209,0.004077020229997119
hist_gbdt,3,539981,134999,188252,45353,0.9964073807954132,0.9943151771549444,0.99499481842436,0.9999444739737315,0.9993164730006835,0.14759981674789707,89388,258,227,45126,0.002877986747874975,0.005005181575639979
hist_gbdt,4,539890,135090,186133,47472,0.996964986305426,0.9952226618402222,0.9961450960566228,0.9999635048473087,0.9996629592180654,0.12710666323172165,87391,227,183,47289,0.002590791846424251,0.0038549039433771488
hist_gbdt,5,539999,134981,185191,48414,0.9972218312206903,0.9956255287538948,0.9966332052712026,0.9999721055898076,0.9997934481761473,0.12080650965316736,86355,212,163,48251,0.002448970161839962,0.0033667947287974553
