kind,name,meta_model,accuracy,precision,recall,auc,tpr_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
single,gbdt_fallback,,0.9468,0.9554384283660757,0.9803343166175025,0.9845111642844182,0.8131760078662733,373,93,40,1994,0.19957081545064378,0.01966568338249754
single,rf,,0.9436,0.9504997620180866,0.9818092428711898,0.9822660690999785,0.8058013765978368,362,104,37,1997,0.22317596566523606,0.018190757128810225
single,lr,,0.922,0.93974175035868,0.9660766961651918,0.9648824068095593,0.6283185840707964,340,126,69,1965,0.2703862660944206,0.03392330383480826
single,svm,,0.9276,0.9460760712566201,0.9660766961651918,0.9644192504251754,0.6057030481809242,354,112,69,1965,0.24034334763948498,0.03392330383480826
