two_dim_large_share,spare_x_p90long,cube_item_share
0.125,13075.578333333333,0.125
0.07142857142857142,4420.313333333334,0.2857142857142857
0.2222222222222222,9801.066666666666,0.1111111111111111
0.2,9247.466666666667,0.3
0.2727272727272727,6676.8,0.18181818181818182
0.2,6690.175,0.3
0.1,7914.255,0.3
0.2727272727272727,6733.866666666667,0.2727272727272727
0.1111111111111111,9892.666666666666,0.2222222222222222
0.125,12932.92,0.25
0.125,12050.046666666667,0.0
0.2,6183.466666666666,0.1
0.07142857142857142,5452.61,0.21428571428571427
0.09090909090909091,10672.533333333333,0.2727272727272727
0.2222222222222222,8801.333333333334,0.1111111111111111
0.1111111111111111,12216.419999999998,0.3333333333333333
0.08333333333333333,6628.266666666666,0.16666666666666666
0.2,6738.133333333333,0.2
0.07142857142857142,3952.0,0.14285714285714285
0.16666666666666666,12861.866666666667,0.0
0.2857142857142857,11235.733333333334,0.0
0.0,11287.960000000001,0.5
0.2222222222222222,10980.899999999998,0.3333333333333333
0.2222222222222222,11163.419999999998,0.1111111111111111
0.07692307692307693,4648.533333333333,0.23076923076923078
0.0,15367.746666666666,0.0
0.0,17607.2,0.0
0.2222222222222222,10397.133333333333,0.3333333333333333
0.0,9337.68,0.4444444444444444
0.08333333333333333,5784.1933333333345,0.25
0.07692307692307693,5763.840000000001,0.23076923076923078
0.18181818181818182,7406.933333333333,0.09090909090909091
0.5,17780.773333333334,0.0
0.2222222222222222,9427.319999999998,0.0
0.07692307692307693,5866.233333333334,0.38461538461538464
0.1,9589.333333333334,0.2
0.1111111111111111,10225.6,0.4444444444444444
0.09090909090909091,8505.6,0.45454545454545453
0.16666666666666666,4765.333333333333,0.3333333333333333
0.18181818181818182,5903.466666666666,0.09090909090909091
0.1111111111111111,9163.733333333334,0.1111111111111111
0.16666666666666666,3720.0,0.0
0.0,7892.55,0.36363636363636365
0.08333333333333333,5777.788333333334,0.4166666666666667
0.18181818181818182,6994.133333333333,0.0
0.09090909090909091,8096.533333333333,0.18181818181818182
0.09090909090909091,8978.666666666666,0.2727272727272727
0.23076923076923078,2505.373333333333,0.07692307692307693
0.16666666666666666,14060.2,0.16666666666666666
0.16666666666666666,6465.066666666667,0.25
0.125,12293.38,0.375
0.0,11145.72,0.3
0.125,11493.333333333334,0.125
