target,feature_set,model,accuracy_mean,accuracy_std,auc_mean,auc_std,tpr_at_fpr1pct_mean,tpr_at_fpr1pct_std,precision_mean,recall_mean,fpr_mean,fnr_mean,source
label_2ori,base40,random_forest,0.9979643521897988,0.0002863235418366,0.9999812139810746,4.300814032805375e-06,0.9998975366828926,5.34856514569915e-05,0.996207119784805,0.9979016375215444,0.0020033070347934,0.0020983624784558,permin_dataset_processing/experiments/cv_20260527_155315_label_2ori/summary_metrics.csv
label_2ori,base40,hist_gbdt,0.9970206942340192,0.0003638200739803,0.9999626180763632,1.0645949269650818e-05,0.9996201591532236,0.0001793083527433,0.9953533428859226,0.9960236488236712,0.0024581184785593,0.0039763511763287,permin_dataset_processing/experiments/cv_20260527_155315_label_2ori/summary_metrics.csv
label_2ori,base40,xgboost,0.9959183774439776,0.0002674679329247,0.9999367750791396,8.305198918887075e-06,0.9991485245558416,0.0003053391522514,0.99310430564122,0.9950985814756356,0.0036518943112589,0.0049014185243646,permin_dataset_processing/experiments/cv_20260527_165902_label_2ori/summary_metrics.csv
label_2ori,fe111,linear_svm,0.9624696841083368,0.0011743459754721,0.9959697948580172,0.0002397671961876,0.8943120705828594,0.004784976809391,0.917122690876274,0.980040016740932,0.046846870674604,0.0199599832590679,permin_dataset_processing/experiments/cv_20260527_180258_label_2ori/summary_metrics.csv
label_2ori,base40,linear_svm,0.9345355711539008,0.0013782604195788,0.9878695813863796,0.0005424635081346,0.7776086310574386,0.0090769892733523,0.8717014800951978,0.9506255065799764,0.0740011803242784,0.0493744934200235,permin_dataset_processing/experiments/cv_20260527_155315_label_2ori/summary_metrics.csv
label_2ori,base40,logreg,0.933434808567603,0.0013274731357261,0.9874405202599256,0.0005421172997,0.7712501553624168,0.0099414420833134,0.8696975690467246,0.9498415176347308,0.0752714774099776,0.0501584823652692,permin_dataset_processing/experiments/cv_20260527_155315_label_2ori/summary_metrics.csv
label_6ori,base40,random_forest,0.997325817198572,0.0003108063293092,0.9999664448634054,4.2199018078170975e-06,0.9996752253835196,0.0001198210319202,0.9951860373999012,0.9972493692700088,0.0026345089668178,0.0027506307299912,permin_dataset_processing/experiments/cv_20260527_160149_label_6ori/summary_metrics.csv
label_6ori,base40,hist_gbdt,0.9957687911419012,0.0001433233024988,0.9999331202097854,2.6404529271547737e-06,0.998991300898972,7.786959005820874e-05,0.993523609751372,0.994487715289768,0.0035352825161081,0.0055122847102317,permin_dataset_processing/experiments/cv_20260527_160149_label_6ori/summary_metrics.csv
label_6ori,base40,xgboost,0.9945702799433104,0.0002474021662841,0.9998962628132524,8.713070212088916e-06,0.9981500276945656,0.0001850813885821,0.9915083370491872,0.9931153589755342,0.0046391431298967,0.0068846410244658,permin_dataset_processing/experiments/cv_20260527_165225_label_6ori/summary_metrics.csv
label_6ori,fe111,linear_svm,0.9569827084438696,0.0008710004138596,0.9945088179361996,0.0001927615765335,0.8576380811352593,0.0047650104182433,0.9078036878223696,0.977298363032742,0.0541042802965114,0.0227016369672581,permin_dataset_processing/experiments/cv_20260527_175402_label_6ori/summary_metrics.csv
label_6ori,base40,linear_svm,0.9325360237204174,0.000665316372595,0.9863791750826266,0.0002138450626896,0.7616959973773889,0.0010387643811849,0.8722181073653719,0.9475334267867292,0.0756523078310635,0.0524665732132706,permin_dataset_processing/experiments/cv_20260527_160149_label_6ori/summary_metrics.csv
label_6ori,base40,logreg,0.932580442477249,0.0005956226606002,0.9862307739264686,0.0002038809424767,0.7586414279252411,0.0008936751457115,0.872451898639358,0.9473400365026444,0.075478495571103,0.0526599634973557,permin_dataset_processing/experiments/cv_20260527_160149_label_6ori/summary_metrics.csv
