spare_cap_x_wl_cv,near_h_limit_share,wl_total_sq
9188.036619919765,0.75,487669.44439788896
2803.6529869099113,0.5714285714285714,1471166.8410863888
7247.9068042753715,0.7777777777777778,751833.5068866389
6486.334477259381,0.7,930421.006880139
4419.55268582497,0.7272727272727273,1212751.5625
4176.013111031919,0.6,1116544.4451488887
4200.005698482929,0.6,1026844.443768889
4591.526855187395,0.6363636363636364,1136000.693733889
6541.000684114098,0.7777777777777778,896966.840214639
8474.642368477078,0.625,570654.3403281388
7162.800548915503,0.75,497612.67365813884
3698.4425201174713,0.8,1119187.6743163888
3488.0396000136197,0.5714285714285714,1488400.0
6756.55684488733,0.45454545454545453,754002.777719889
5971.277531673974,0.8888888888888888,920000.6945083888
7842.102709473234,0.4444444444444444,642001.5625
4028.744167698264,0.6666666666666666,1216425.1743463888
3601.724493765528,0.8,1095511.1118088888
2259.810196733,0.7142857142857143,1774446.006056389
2340.200454591639,1.0,486506.25
6131.925314771777,1.0,618189.0625
6173.687214490839,0.375,418716.84023463895
8482.62143548451,0.4444444444444444,713321.006888139
5969.179499712764,0.6666666666666666,576334.0278283888
3258.0054665333573,0.6153846153846154,1610784.0286238887
12189.44469900984,0.75,106983.50692263889
0.0,1.0,16900.0
5272.6558660286355,0.6666666666666666,741034.027720389
5925.778687501677,0.4444444444444444,603858.506892639
3213.8831311909485,0.6666666666666666,1364029.3410563888
4119.429287716415,0.6153846153846154,1566669.4452788888
3788.6135871627002,0.8181818181818182,992514.0625
4853.714285074236,1.0,92011.11109088888
4389.687583867881,0.8888888888888888,746064.0625
3715.7340324723355,0.46153846153846156,1323458.5077113889
7752.239224939415,0.6,801025.0
5231.9593138617365,0.4444444444444444,568139.0625
6200.45963799829,0.36363636363636365,1011700.693773889
3195.142556600297,0.5833333333333334,1414117.3619038889
3240.277195406593,0.7272727272727273,1053189.0625
6973.951964137352,0.6666666666666666,796556.25
1885.8286804795355,0.9166666666666666,1596011.110268889
4771.9651693449,0.5454545454545454,868002.7778398888
4381.919844931393,0.5,1255333.5076913887
3736.790243431149,0.8181818181818182,1068639.0625
5390.802889587747,0.7272727272727273,1247875.172866389
6769.024287089427,0.6363636363636364,1056612.6742963889
1402.0569016893337,0.8461538461538461,1621377.776928889
6570.141429808682,0.8333333333333334,361000.69440438895
4733.4473114120965,0.5833333333333334,1275017.3618638888
6820.772621119806,0.625,580136.1111618888
8075.090135081232,0.5,733877.7778348888
9291.84888107102,0.625,581406.25
3944.8554465919206,0.8181818181818182,1054900.172926389
2135.618282212092,0.75,1334025.0
4187.180242927901,0.7,1001667.3604438889
4218.26779312573,0.6,980100.0
6498.679705139395,0.5454545454545454,973511.1111768888
4688.030139101756,0.5454545454545454,1109511.110408889
5595.049497694356,0.36363636363636365,836462.673550139
6666.997536910659,0.6666666666666666,743187.673553639
5922.074917046199,0.5454545454545454,1033611.1117888888
5242.4708231010045,0.5,1241367.3618538887
6319.773536771327,0.6,920000.6945083888
5098.77152313354,0.5833333333333334,1321541.839511389
448.0563538101504,0.6666666666666666,1899802.776858889
3556.071561701244,0.5,1649084.0286338888
2480.406769100731,0.8333333333333334,1354314.0625
7999.846271745645,0.6666666666666666,801771.0070041388
5982.931196874715,0.6,868002.7778398888
6418.454053437756,0.7777777777777778,668987.6736656388
1285.7759054250323,0.9230769230769231,1634136.110258889
-1460.610087040359,0.6842105263157895,2959833.5080913887
7135.4337821511535,0.6666666666666666,755450.6945023888
3045.326579254965,0.8,1132450.6951538888
7087.30446059934,0.6666666666666666,742469.4445018888
2808.186151335844,0.75,1249737.6743563889
3747.461518880944,0.7272727272727273,1080733.506251389
5350.961875855957,0.7,1003336.1117788889
4141.08890160094,0.6666666666666666,1193556.25
4999.717649966528,0.875,596112.673559639
3802.4898948128357,0.5714285714285714,1505733.506126389
2641.8263957846907,0.8333333333333334,1268439.0625
5164.530199528441,0.5384615384615384,1351406.25
2102.3155316127936,0.7692307692307693,1590751.5625
10851.802969942479,0.375,555646.0069941388
6336.594443469069,0.6363636363636364,920800.1735471389
3446.05206169679,0.9090909090909091,1079867.3618038888
4908.781409025991,0.8,854854.340216139
6614.917102136278,0.6666666666666666,730312.673554139
8389.895510139113,0.4444444444444444,766354.3403361388
6086.477705069093,0.7,989196.006878139
7779.778251167272,0.5555555555555556,650039.0625
2122.132171450828,1.0,634677.7778308889
0.0,1.0,11377.777784888887
4516.983222222423,0.8888888888888888,786916.840218639
2274.46035859033,0.6428571428571429,1691083.5078113887
3301.783210237808,0.9,987539.0625
2282.0341171726,0.9090909090909091,1301500.693683889
7584.531956904264,0.5,935250.173546639
6399.571179461607,0.5454545454545454,928011.111046889
3287.298122454239,0.75,1333062.672841389
3597.577560619189,0.8888888888888888,863350.6945063887
5407.1503533194045,0.6363636363636364,921600.0
3452.969512316966,0.5833333333333334,1312934.027013889
4646.253015683275,0.5833333333333334,1345600.0
3486.903249709769,0.5833333333333334,1260006.25
3421.6090744862267,0.5833333333333334,1243225.0
7666.390382903104,1.0,135976.5625
0.0,1.0,30044.444432888886
8326.263802129659,0.5555555555555556,739600.0
2547.075822372788,0.75,1273136.110358889
-21.69565007248782,0.6666666666666666,2005764.0625
6547.344682282545,0.42857142857142855,415487.67356813897
2598.9999660733915,0.6923076923076923,1435004.3410763887
8469.891228588705,0.6,233611.11107888888
6301.044676905972,0.5454545454545454,913617.361047389
0.0,1.0,9834.027778438889
4175.111809160803,0.6,965306.25
4604.310238999692,0.7272727272727273,1065196.006256389
4041.4026277718485,0.9,858711.1111728888
4525.643904417925,0.875,638667.3611643888
