iteration,status,is_success,trial_dir,n_new_features,feature_names,policy_excerpt,rationale_excerpt,error,metric_accuracy,metric_precision,metric_recall,metric_auc,metric_fpr,metric_fnr,metric_tpr_at_fpr1pct,metric_tn,metric_fp,metric_fn,metric_tp,delta_accuracy,delta_recall,delta_auc,delta_tpr_at_fpr1pct
1,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only/by_model/glm-5.1/exp_20260518_221915/trials/iter_001,5,"n_large_dim_l,vol_top2_ratio,flat_frac,max_dim_l_vratio,spare_cap_x_nolarge",,,,0.9284,0.9448441247002398,0.9685349065880039,0.9688398090825072,0.24678111587982832,0.03146509341199607,0.6853490658800393,351,115,64,1970,0.0008000000000000229,0.000491642084562427,0.003699975945408829,0.05063913470993109
2,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only/by_model/glm-5.1/exp_20260518_221915/trials/iter_002,4,"dim_l_occupancy_sum,fragile_vol_share,needle_frac,dim_m_tail_ratio",,,,0.9272,0.9456207892204043,0.9660766961651918,0.9680474846071716,0.24248927038626608,0.03392330383480826,0.6607669616519174,353,113,69,1965,-0.00039999999999995595,-0.001966568338249708,0.0029076514700732137,0.026057030481809185
3,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only/by_model/glm-5.1/exp_20260518_221915/trials/iter_003,3,"cross_sect_pressure,n_half_width,max_face_vratio",,,,0.928,0.9456730769230769,0.9670599803343166,0.9688165985119914,0.24248927038626608,0.032940019665683384,0.6917404129793511,353,113,67,1967,0.00040000000000006697,-0.000983284169124854,0.003676765374893032,0.05703048180924286
