spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share
16961818.3325237,194312,589955521,0.09119791652499999,0.25
10444425.419537,120554,74149321,0.0793197281612245,0.14285714285714285
15934390.416054102,165393,337714129,0.09469135816049382,0.3333333333333333
16724910.4160887,173390,300640921,0.07833333340000001,0.2
13786548.75,137709,156725361,0.09127640025087236,0.36363636363636365
13213616.670835,125050,156375025,0.0826388888261111,0.3
14990239.995069,147930,218832849,0.079266666735,0.2
13457211.662458,138886,159415876,0.08553719002644627,0.2727272727272727
18491802.0826825,175725,381225625,0.07870370381296296,0.1111111111111111
18148130.0008008,192192,577152576,0.0734635415375,0.25
15644730.8340726,177424,491863684,0.10740885431875,0.375
12265485.837198,115940,134420836,0.09388888896111111,0.3
12711180.0,145866,108555561,0.08119331046621316,0.14285714285714285
17376218.3326663,220121,400440121,0.07925619854683195,0.18181818181818182
15730333.33388,147600,268960000,0.09460905341687242,0.3333333333333333
18126678.75,203607,511800129,0.07379286684417011,0.2222222222222222
13707048.337476,149136,154455184,0.08852623463765431,0.25
13223586.670877999,126340,159617956,0.094250000145,0.2
9870737.49753,103740,54908100,0.08603316352397959,0.21428571428571427
16820910.0,144696,581581456,0.09992283969938272,0.3333333333333333
16563928.75,147469,443818489,0.1040816325755102,0.2857142857142857
16663689.999141602,206016,663165504,0.06226128476111111,0.0
17174602.0826555,183015,413512225,0.0774074074,0.3333333333333333
15694252.500689099,186057,427372929,0.09712620016824418,0.2222222222222222
11062056.669572,113308,75968656,0.08102892831081525,0.23076923076923078
11007008.3322116,134608,1132457104,0.10345486088888887,0.0
5282160.0,40632,1650959424,0.10111111088888888,0.0
16175058.332707,169110,353064100,0.08676268854286694,0.3333333333333333
16617149.999287201,192456,457275456,0.06616255153374485,0.0
12786351.670316,131376,119858704,0.08249035473811729,0.16666666666666666
13698240.003648,142272,119771136,0.07766272179881657,0.15384615384615385
13835920.0,152768,192876544,0.09752066108236915,0.2727272727272727
10306053.3322008,67952,1154368576,0.12083333325,0.5
15079347.5,157122,304781764,0.10794238691687243,0.3333333333333333
13061830.837118,147602,128913316,0.07112754745834977,0.15384615384615385
16092100.0,179800,323280400,0.084,0.2
16516170.0,197208,480135744,0.06903292193374487,0.1111111111111111
16041029.994684001,175428,254338704,0.06977043151441689,0.18181818181818182
10625204.169645,107220,79834225,0.07798032411064815,0.25
11359561.25,121759,122522761,0.09710743783801654,0.2727272727272727
15334935.0,154638,295221124,0.09266803859677641,0.2222222222222222
8811749.997675,83700,48650625,0.10225694454999999,0.3333333333333333
16340501.667251298,192929,307616521,0.07190082670523415,0.0
13533512.920692999,144948,145902241,0.07350694452499999,0.08333333333333333
13556597.5,144254,171976996,0.1046143252644628,0.36363636363636365
