n_large_dim_l,vol_top2_ratio,flat_frac,max_dim_l_vratio,spare_cap_x_nolarge
0,0.33417024769446185,0.0,0.55,24289.0
0,0.22567259336612713,0.0,0.55,8611.0
0,0.39424557713255454,0.0,0.5333333333333333,18377.0
0,0.3794512128990275,0.0,0.5333333333333333,17339.0
0,0.3294849296511807,0.0,0.5666666666666667,12519.0
0,0.3419295276196338,0.0,0.55,12505.0
0,0.29208461614857484,0.0,0.55,14793.0
0,0.33057391734107616,0.0,0.5666666666666667,12626.0
0,0.4025907752698724,0.0,0.5333333333333333,19525.0
0,0.37757437070938216,0.0,0.55,24024.0
0,0.402856892472176,0.0,0.5666666666666667,22178.0
0,0.3533496976591032,0.0,0.5333333333333333,11594.0
0,0.24331280182759318,0.0,0.5666666666666667,10419.0
0,0.3040938012725599,0.0,0.5666666666666667,20011.0
0,0.3538811188811189,0.0,0.55,16400.0
0,0.3760110828082406,0.0,0.5666666666666667,22623.0
0,0.29215276924966227,0.0,0.5666666666666667,12428.0
0,0.3242909225730705,0.0,0.5333333333333333,12634.0
0,0.25315243415802074,0.0,0.5333333333333333,7410.0
0,0.4556598352805976,0.0,0.5333333333333333,24116.0
0,0.43855764007855264,0.0,0.5333333333333333,21067.0
0,0.4266417290108063,0.0,0.45,25752.0
0,0.433894182039327,0.0,0.5666666666666667,20335.0
0,0.3241665639001932,0.0,0.5666666666666667,20673.0
0,0.3253224561790321,0.0,0.5333333333333333,8716.0
0,0.609446598519563,0.0,0.4666666666666667,33652.0
0,1.0,0.0,0.43333333333333335,40632.0
0,0.2977107974055704,0.0,0.5666666666666667,18790.0
0,0.37360264227642276,0.0,0.45,21384.0
0,0.24116057793962176,0.0,0.55,10948.0
0,0.30115104533709186,0.0,0.5333333333333333,10944.0
0,0.2955129853432759,0.0,0.5666666666666667,13888.0
0,1.0,0.0,0.5333333333333333,33976.0
0,0.33381744245152856,0.0,0.5666666666666667,17458.0
0,0.24407061760684776,0.0,0.55,11354.0
0,0.3778312361213916,0.0,0.5333333333333333,17980.0
0,0.35927754677754675,0.0,0.5333333333333333,21912.0
0,0.3584262701363073,0.0,0.5333333333333333,15948.0
0,0.308082628587273,0.0,0.55,8935.0
0,0.2830155315198491,0.0,0.5666666666666667,11069.0
0,0.3962901718311884,0.0,0.5333333333333333,17182.0
0,0.25025641025641027,0.0,0.55,6975.0
0,0.2990422781399075,0.0,0.48333333333333334,17539.0
0,0.31630266395309986,0.0,0.5333333333333333,12079.0
0,0.28833971021765037,0.0,0.5666666666666667,13114.0
0,0.34394178208524767,0.0,0.5333333333333333,15181.0
0,0.35448251375821055,0.0,0.5333333333333333,16835.0
0,0.2354454808620135,0.0,0.5666666666666667,4583.0
0,0.48960691500308706,0.0,0.5666666666666667,25564.0
0,0.32550641766530813,0.0,0.5666666666666667,12122.0
0,0.3258437105215665,0.0,0.55,22836.0
0,0.31029040404040403,0.0,0.5333333333333333,22824.0
0,0.43535181236673776,0.0,0.5333333333333333,21550.0
0,0.3027295285359802,0.0,0.5333333333333333,13566.0
0,0.26217042730804196,0.0,0.5333333333333333,8703.0
0,0.3006820637493247,0.0,0.55,15384.0
0,0.27949054887294045,0.0,0.55,15321.0
0,0.29841018685955395,0.0,0.5333333333333333,18456.0
0,0.2720736838617765,0.0,0.55,14817.0
0,0.33341453511977265,0.0,0.45,20370.0
0,0.33426015473887816,0.0,0.55,20184.0
0,0.36198077862844114,0.0,0.5333333333333333,14305.0
0,0.3501402325654681,0.0,0.5333333333333333,13267.0
0,0.375061330342749,0.0,0.5666666666666667,16466.0
0,0.34896356783919597,0.0,0.5333333333333333,13160.0
0,0.22218880148079592,0.0,0.5666666666666667,1780.0
0,0.3079801535604402,0.0,0.5333333333333333,8923.0
0,0.2624813813648149,0.0,0.5666666666666667,8746.0
0,0.40593616588737547,0.0,0.5333333333333333,20405.0
0,0.2724460540214275,0.0,0.55,18492.0
0,0.3370723499719574,0.0,0.5666666666666667,20038.0
0,0.23717070009720112,0.0,0.5666666666666667,4877.0
0,0.18492296552556417,0.0,0.5666666666666667,-4718.0
0,0.3846097471601319,0.0,0.5333333333333333,17710.0
0,0.31393507521773556,0.0,0.5666666666666667,14688.0
0,0.38922025021821355,0.0,0.5666666666666667,17504.0
0,0.276051398510938,0.0,0.5666666666666667,10213.0
0,0.29674441811151303,0.0,0.5666666666666667,12932.0
0,0.38198174875412594,0.0,0.5333333333333333,14098.0
0,0.2918570771354087,0.0,0.5333333333333333,12395.0
0,0.356591471183392,0.0,0.5666666666666667,18314.0
0,0.2850720428906512,0.0,0.5333333333333333,9188.0
0,0.26820744081172493,0.0,0.5666666666666667,9520.0
0,0.31507314363310907,0.0,0.5333333333333333,12598.0
0,0.25517537273409846,0.0,0.5666666666666667,7708.0
0,0.4951258547941219,0.0,0.5333333333333333,24381.0
0,0.3354912914886625,0.0,0.5333333333333333,14570.0
0,0.2575372654647853,0.0,0.5666666666666667,12329.0
0,0.2921324907992501,0.0,0.5666666666666667,16198.0
0,0.339741027895452,0.0,0.5666666666666667,19978.0
0,0.4411894184976188,0.0,0.5333333333333333,20013.0
0,0.37366013756502914,0.0,0.5666666666666667,16359.0
0,0.37346449136276394,0.0,0.48333333333333334,24160.0
0,0.38170878459687124,0.0,0.5666666666666667,20070.0
0,1.0,0.0,0.5333333333333333,41160.0
0,0.33900961881011754,0.0,0.5666666666666667,16930.0
0,0.21827654032215194,0.0,0.55,7378.0
0,0.2982137261046694,0.0,0.5666666666666667,13090.0
0,0.2582571172687057,0.0,0.5666666666666667,8153.0
0,0.3968579499284139,0.0,0.5333333333333333,19157.0
0,0.2841712792127921,0.0,0.5333333333333333,18984.0
0,0.28446729642472796,0.0,0.5666666666666667,11548.0
0,0.33389473684210524,0.0,0.5666666666666667,16500.0
0,0.2831028179215673,0.0,0.5333333333333333,16007.0
0,0.26121325162092546,0.0,0.55,11223.0
0,0.3320481927710843,0.0,0.5333333333333333,11800.0
