dominant_type_share,p90_long_over_bin_long,p90_mid_over_bin_mid,thin_item_share,max_face_area_load_over_floor,tight_bin_large_piece_interaction
0.125,0.5383333333333333,0.5333333333333333,0.75,1.8026666666666666,0.0
0.07142857142857142,0.5133333333333334,0.5333333333333333,0.5,2.8473333333333333,0.0044374814814814876
0.1111111111111111,0.5333333333333333,0.5666666666666667,0.7777777777777778,2.1213333333333333,0.0
0.1,0.5333333333333333,0.5366666666666667,0.6,2.1306666666666665,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.678,0.0
0.1,0.535,0.5366666666666667,0.3,2.188,0.0
0.1,0.535,0.5066666666666666,0.3,2.0893333333333333,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.6363636363636364,2.550666666666667,0.0
0.1111111111111111,0.5066666666666666,0.5399999999999999,0.6666666666666666,1.9486666666666668,0.0
0.125,0.5383333333333333,0.5,0.375,1.5373333333333334,0.0
0.25,0.5433333333333333,0.5766666666666667,0.875,2.052,0.0
0.1,0.5333333333333333,0.5700000000000001,0.5,2.4286666666666665,0.0
0.07142857142857142,0.5233333333333333,0.5666666666666667,0.7142857142857143,2.9046666666666665,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.267333333333333,0.0
0.1111111111111111,0.5366666666666667,0.5399999999999999,0.6666666666666666,2.1846666666666668,0.0
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.5555555555555556,1.766,0.0
0.16666666666666666,0.5333333333333333,0.5666666666666667,0.6666666666666666,2.7226666666666666,0.0
0.1,0.5333333333333333,0.5666666666666667,0.7,2.4066666666666667,0.0
0.14285714285714285,0.5333333333333333,0.5566666666666668,0.7142857142857143,3.052,0.018844444444444455
0.16666666666666666,0.5333333333333333,0.55,0.6666666666666666,1.4613333333333334,0.0
0.14285714285714285,0.5333333333333333,0.5466666666666666,0.8571428571428571,1.8406666666666667,0.0
0.125,0.43833333333333335,0.52,0.25,1.3013333333333332,0.0
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.5555555555555556,1.8646666666666667,0.0
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.8888888888888888,2.1353333333333335,0.0
0.15384615384615385,0.5333333333333333,0.5666666666666667,0.6153846153846154,2.768,0.003365925925925935
0.25,0.45666666666666667,0.5333333333333333,0.75,0.9866666666666667,0.0
1.0,0.43333333333333335,0.4666666666666667,0.0,0.24266666666666667,0.0
0.1111111111111111,0.5533333333333333,0.5666666666666667,0.5555555555555556,2.01,0.0
0.1111111111111111,0.43666666666666665,0.5133333333333333,0.2222222222222222,1.544,0.0
0.08333333333333333,0.5283333333333334,0.5633333333333332,0.5,2.6313333333333335,0.0
0.07692307692307693,0.5266666666666667,0.5666666666666667,0.6923076923076923,2.6586666666666665,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.8181818181818182,2.6046666666666667,0.0
0.5,0.5233333333333333,0.5266666666666667,0.0,0.584,0.0
0.1111111111111111,0.5399999999999999,0.5733333333333334,0.8888888888888888,2.348,0.0
0.07692307692307693,0.5166666666666667,0.5533333333333333,0.38461538461538464,2.3946666666666667,0.0
0.1,0.5333333333333333,0.5666666666666667,0.7,2.0926666666666667,0.0
0.1111111111111111,0.4666666666666667,0.5133333333333333,0.3333333333333333,1.6213333333333333,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.45454545454545453,2.0453333333333332,0.0
0.08333333333333333,0.5333333333333333,0.53,0.3333333333333333,2.4446666666666665,0.0007703703703703694
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.5454545454545454,2.6746666666666665,0.0
0.1111111111111111,0.5333333333333333,0.5666666666666667,0.6666666666666666,2.078666666666667,0.0
0.08333333333333333,0.5333333333333333,0.5333333333333333,0.75,3.0073333333333334,0.024000000000000007
0.09090909090909091,0.45,0.5666666666666667,0.45454545454545453,2.086,0.0
0.08333333333333333,0.4783333333333334,0.5666666666666667,0.5,2.4113333333333333,0.0
0.18181818181818182,0.5333333333333333,0.5666666666666667,0.9090909090909091,2.7666666666666666,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.3673333333333333,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.6363636363636364,2.2293333333333334,0.0
0.07692307692307693,0.5466666666666666,0.56,0.6923076923076923,3.2546666666666666,0.05365837037037037
0.16666666666666666,0.55,0.5833333333333334,0.5,1.3886666666666667,0.0
0.08333333333333333,0.5333333333333333,0.5666666666666667,0.6666666666666666,2.6493333333333333,0.0
0.125,0.5383333333333333,0.52,0.5,1.6246666666666667,0.0
0.1,0.4883333333333333,0.5666666666666667,0.7,1.9226666666666667,0.0
0.125,0.5333333333333333,0.5666666666666667,0.75,1.836,0.0
0.09090909090909091,0.5333333333333333,0.5333333333333333,0.7272727272727273,2.462,0.0
0.08333333333333333,0.53,0.5633333333333332,0.6666666666666666,2.771333333333333,0.003498000000000012
0.1,0.535,0.5700000000000001,0.5,2.1286666666666667,0.0
0.1,0.535,0.5066666666666666,0.4,2.1666666666666665,0.0
0.09090909090909091,0.48333333333333334,0.5666666666666667,0.6363636363636364,2.1653333333333333,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.45454545454545453,2.2653333333333334,0.0
0.09090909090909091,0.43333333333333335,0.5,0.2727272727272727,1.7293333333333334,0.0
0.1111111111111111,0.5366666666666667,0.5,0.4444444444444444,1.8573333333333333,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.5454545454545454,2.3146666666666667,0.0
0.08333333333333333,0.48000000000000004,0.5633333333333332,0.4166666666666667,2.324,0.0
0.1,0.5366666666666667,0.5666666666666667,0.6,2.2306666666666666,0.0
0.08333333333333333,0.5283333333333334,0.5633333333333332,0.5,2.4513333333333334,0.0
0.06666666666666667,0.5333333333333333,0.5666666666666667,0.6,3.3926666666666665,0.08557037037037037
0.07142857142857142,0.5183333333333333,0.5666666666666667,0.5,2.7426666666666666,0.0008869259259259385
0.16666666666666666,0.5333333333333333,0.5666666666666667,0.8333333333333334,3.009333333333333,0.003010370370370374
0.1111111111111111,0.5333333333333333,0.5666666666666667,0.6666666666666666,1.9726666666666666,0.0
0.1,0.535,0.5666666666666667,0.6,2.0433333333333334,0.0
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.8888888888888888,2.1853333333333333,0.0
0.07692307692307693,0.5333333333333333,0.5666666666666667,0.8461538461538461,3.3753333333333333,0.04886518518518519
0.10526315789473684,0.5333333333333333,0.5666666666666667,0.7894736842105263,4.270666666666667,0.16258370370370373
0.1111111111111111,0.5333333333333333,0.5666666666666667,0.7777777777777778,2.156,0.0
0.1,0.5366666666666667,0.5700000000000001,0.6,2.2746666666666666,0.0
0.1111111111111111,0.5399999999999999,0.5666666666666667,0.7777777777777778,2.2213333333333334,0.0
0.08333333333333333,0.5333333333333333,0.5633333333333332,0.6666666666666666,2.8266666666666667,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.6363636363636364,2.624,0.0
0.2,0.5333333333333333,0.5700000000000001,0.7,2.34,0.0
0.16666666666666666,0.53,0.5666666666666667,0.75,2.5953333333333335,0.0
0.125,0.5433333333333333,0.5766666666666667,0.75,2.196,0.0
0.07142857142857142,0.5183333333333333,0.5666666666666667,0.7142857142857143,3.008,0.0
0.08333333333333333,0.5333333333333333,0.5633333333333332,0.75,2.8473333333333333,0.0
0.07692307692307693,0.5233333333333333,0.5666666666666667,0.6153846153846154,2.5206666666666666,0.0
0.07692307692307693,0.5333333333333333,0.56,0.6923076923076923,3.018666666666667,0.015312592592592603
