model,accuracy_mean,accuracy_std,auc_mean,auc_std,tpr_at_fpr1pct_mean,tpr_at_fpr1pct_std,precision_mean,recall_mean,fpr_mean,fnr_mean
random_forest,0.9973258171985719,0.0003108063293092509,0.9999664448634054,4.2199018078170975e-06,0.9996752253835197,0.00011982103192026609,0.9951860373999011,0.9972493692700087,0.0026345089668178287,0.0027506307299912662
hist_gbdt,0.9957687911419013,0.00014332330249886555,0.9999331202097854,2.6404529271547737e-06,0.998991300898972,7.786959005820874e-05,0.9935236097513721,0.994487715289768,0.0035352825161081994,0.005512284710231774
linear_svm,0.9325360237204174,0.0006653163725950436,0.9863791750826266,0.00021384506268964725,0.7616959973773889,0.0010387643811849414,0.8722181073653719,0.9475334267867292,0.07565230783106351,0.05246657321327068
logreg,0.932580442477249,0.0005956226606002402,0.9862307739264686,0.00020388094247678258,0.7586414279252411,0.000893675145711566,0.872451898639358,0.9473400365026443,0.07547849557110305,0.05265996349735573
