pressure_product,max_dim_l_to_min_floor,count_vol_fill_interaction
3.7856,1.32,3.6819555555555556
11.579155555555555,1.32,11.321022222222222
5.232622222222222,1.28,5.3246
6.178933333333332,1.28,6.146888888888888
8.033999999999999,1.36,7.9398
7.147466666666667,1.32,7.221111111111112
6.755511111111111,1.32,6.712666666666667
7.907066666666667,1.36,7.913644444444444
5.066533333333334,1.28,5.095
3.7408444444444444,1.32,3.7290666666666668
4.0356,1.36,4.057244444444445
7.286,1.28,7.423555555555556
10.94091111111111,1.36,10.758533333333332
6.348533333333332,1.36,6.108422222222222
5.680133333333334,1.32,5.72
4.532733333333334,1.36,4.4754000000000005
8.894044444444443,1.36,8.685866666666668
7.139777777777779,1.28,7.192444444444445
11.801066666666667,1.28,11.694666666666667
2.727822222222222,1.28,2.784533333333333
3.6199777777777777,1.28,3.7229111111111113
3.340088888888889,1.08,3.421866666666667
4.848133333333333,1.36,4.933
4.840088888888889,1.36,4.865399999999999
10.2416,1.28,10.482044444444444
1.0195555555555558,1.12,1.0087111111111111
0.09706666666666668,1.04,0.09706666666666666
5.427,1.36,5.242
4.580533333333333,1.08,4.7232
9.297377777777777,1.32,9.080533333333333
9.659822222222221,1.28,9.8384
7.640355555555555,1.36,7.605155555555555
0.48666666666666664,1.28,0.48995555555555553
5.478666666666666,1.36,5.5084
9.578666666666667,1.32,9.719955555555554
5.789711111111111,1.28,6.004444444444444
4.5937777777777775,1.28,4.6176
6.885955555555555,1.28,7.1015999999999995
9.45271111111111,1.32,9.617333333333333
8.380622222222222,1.36,8.294244444444445
5.335244444444445,1.28,5.5636
10.124688888888889,1.32,10.14
6.814266666666666,1.16,6.71268888888889
8.6808,1.28,8.778933333333333
7.746666666666666,1.36,7.794355555555555
7.259822222222223,1.28,7.289088888888889
6.910933333333333,1.28,6.884777777777778
11.825288888888888,1.36,11.676022222222223
2.5921777777777777,1.36,2.591466666666667
8.742799999999999,1.36,8.767466666666666
4.0075111111111115,1.32,3.9402666666666666
5.063022222222222,1.28,4.928
3.9779999999999998,1.28,4.168888888888889
7.632200000000001,1.28,7.683866666666667
9.699666666666666,1.28,9.6792
6.598866666666667,1.32,6.581333333333333
6.716666666666667,1.32,6.595333333333333
6.568177777777778,1.28,6.488533333333333
7.4756,1.32,7.378066666666666
5.9950222222222225,1.08,6.020666666666667
5.0148,1.32,4.9632
7.2526222222222225,1.28,7.503222222222222
8.288933333333333,1.28,8.462133333333334
6.320222222222222,1.36,6.340888888888889
8.497955555555556,1.28,8.490666666666668
14.588466666666665,1.36,14.406666666666666
11.062088888888889,1.28,11.223955555555555
9.629866666666667,1.36,9.667733333333334
4.931666666666667,1.28,4.9190000000000005
5.993777777777778,1.32,5.890666666666666
5.026266666666666,1.36,4.9924
11.588644444444444,1.36,11.591088888888889
21.21097777777778,1.36,20.992044444444446
5.246266666666666,1.28,5.458
6.824,1.36,6.736
5.3312,1.36,5.4992
9.328,1.36,9.276533333333333
8.046933333333333,1.36,7.838844444444445
6.552,1.28,6.867111111111112
8.47808888888889,1.28,8.694666666666667
4.758,1.36,4.744177777777778
11.1296,1.28,11.141511111111111
9.491111111111111,1.36,9.461333333333332
9.242444444444445,1.28,9.360577777777777
10.967822222222223,1.36,10.773244444444444
3.501088888888889,1.28,3.6656
7.223999999999999,1.28,7.4384444444444435
