spare_cap_x_long_item,dim_l_max_to_veh_l,wl_total_x_sku_counts
6072.25,0.55,5586.6666664
1230.142857142857,0.55,16980.833338
6125.666666666666,0.5333333333333333,7803.7499997
3467.8,0.5333333333333333,9645.833333
4552.363636363637,0.5666666666666667,12113.75
3751.5,0.55,10566.666669999999
2958.6000000000004,0.55,10133.333330000001
3443.454545454545,0.5666666666666667,11724.166663
2169.4444444444443,0.5333333333333333,8523.749999700001
6006.0,0.55,6043.3333336
8316.75,0.5666666666666667,5643.3333336
3478.2,0.5333333333333333,10579.166669999999
1488.4285714285713,0.5666666666666667,17080.0
3638.3636363636365,0.5666666666666667,9551.6666663
5466.666666666666,0.55,8632.500000299999
5027.333333333333,0.5666666666666667,7211.25
3107.0,0.5666666666666667,13235.000004
2526.8,0.5333333333333333,10466.666669999999
1587.8571428571427,0.5333333333333333,18649.166662
8038.666666666666,0.5333333333333333,4185.0
6019.142857142857,0.5333333333333333,5503.75
0.0,0.45,5176.6666664
6778.333333333333,0.5666666666666667,7601.2499997
4594.0,0.5666666666666667,6832.5000003
2011.3846153846155,0.5333333333333333,16499.166671
0.0,0.4666666666666667,1308.3333332
0.0,0.43333333333333335,130.0
6263.333333333333,0.5666666666666667,7747.4999997
0.0,0.45,6993.7499997
1824.6666666666665,0.55,14015.000004
1683.6923076923078,0.5333333333333333,16271.666670999999
3787.6363636363635,0.5666666666666667,10958.75
16988.0,0.5333333333333333,606.6666666
5819.333333333333,0.5666666666666667,7773.75
1746.769230769231,0.55,14955.416670999999
3596.0,0.5333333333333333,8950.0
2434.6666666666665,0.5333333333333333,6783.75
2899.6363636363635,0.5333333333333333,11064.166663
2233.75,0.55,14270.000004
3018.8181818181815,0.5666666666666667,11288.75
3818.222222222222,0.5333333333333333,8032.5
2325.0,0.55,15159.999996
0.0,0.48333333333333334,10248.3333337
1006.5833333333333,0.5333333333333333,13445.000004
4768.727272727273,0.5666666666666667,11371.25
2760.1818181818185,0.5333333333333333,12287.916663
3060.909090909091,0.5333333333333333,11307.083337
1762.6923076923078,0.5666666666666667,16553.333329
8521.333333333332,0.5666666666666667,3604.9999998000003
3030.5,0.5666666666666667,13550.000004
5709.0,0.55,6093.3333336
2282.4,0.5333333333333333,8566.666667
5387.5,0.5333333333333333,6100.0
2466.5454545454545,0.5333333333333333,11297.916663
1450.5,0.5333333333333333,13860.0
4615.2,0.55,10008.333330000001
4596.3,0.55,9900.0
1677.8181818181818,0.5333333333333333,10853.3333337
4040.9999999999995,0.55,11586.666663
0.0,0.45,10060.4166663
6728.0,0.55,7758.7499997
2600.909090909091,0.5333333333333333,11183.333337
1105.5833333333333,0.5333333333333333,13370.000004
3293.2000000000003,0.5666666666666667,9591.666667
2193.333333333333,0.5333333333333333,13794.999996
356.0,0.5666666666666667,20674.999995000002
1274.7142857142856,0.5333333333333333,17978.333338
2915.333333333333,0.5666666666666667,13965.0
4534.444444444444,0.5333333333333333,8058.7500003
5547.599999999999,0.55,9316.666667
4452.888888888889,0.5666666666666667,7361.2500003
1125.4615384615386,0.5666666666666667,16618.333329
-993.2631578947368,0.5666666666666667,32687.916673
5903.333333333333,0.5333333333333333,7822.5000003
4406.4,0.5666666666666667,10641.666669999999
5834.666666666666,0.5666666666666667,7755.0000003
2553.25,0.5666666666666667,13415.000004
3526.9090909090905,0.5666666666666667,11435.416663
4229.4,0.5333333333333333,10016.666669999999
2065.833333333333,0.5333333333333333,13110.0
6867.75,0.5666666666666667,6176.6666664
1312.5714285714284,0.5333333333333333,17179.166662
2380.0,0.5666666666666667,13515.0
1938.1538461538462,0.5333333333333333,15112.5
1778.769230769231,0.5666666666666667,16396.25
6095.25,0.5333333333333333,5963.3333336
